,CARABUCO,CHOQUETANGA,KANATA,SAN JOSE 1,SAN JOSE 2,SANTA ISABEL,QOLLPANA I,QOLLPANA II,ORURO I,ORURO II
1997-12-31 23:00:00+00:00,0.414915414,0.38868544,0.319234847,0.399642041,0.347886759,0.424952529,0.296379753,0.200324614,0,0
1998-01-01 00:00:00+00:00,0.409969403,0.384751377,0.349714556,0.40555845,0.353036968,0.429746287,0.294458893,0.204375639,0,0
1998-01-01 01:00:00+00:00,0.409969403,0.384751377,0.349714556,0.40555845,0.353036968,0.429746287,0.250323659,0.170876609,0,0
1998-01-01 02:00:00+00:00,0.409969403,0.384751377,0.349714556,0.40555845,0.353036968,0.429746287,0.185640596,0.118663471,0,0
1998-01-01 03:00:00+00:00,0.409969403,0.384751377,0.349714556,0.40555845,0.353036968,0.429746287,0.123647411,0.069057075,0,0
1998-01-01 04:00:00+00:00,0.409969403,0.384751377,0.349714556,0.40555845,0.353036968,0.429746287,0.080462698,0.040068035,0,0
1998-01-01 05:00:00+00:00,0.409969403,0.384751377,0.349714556,0.40555845,0.353036968,0.429746287,0.057645076,0.028218614,0,0
1998-01-01 06:00:00+00:00,0.409969403,0.384751377,0.349714556,0.40555845,0.353036968,0.429746287,0.044555,0.022916725,0.02141314,0.02141314
1998-01-01 07:00:00+00:00,0.409969403,0.384751377,0.349714556,0.40555845,0.353036968,0.429746287,0.071224272,0.034942796,0.13741266,0.13741266
1998-01-01 08:00:00+00:00,0.409969403,0.384751377,0.349714556,0.40555845,0.353036968,0.429746287,0.149971802,0.089541622,0.32445576,0.32445576
1998-01-01 09:00:00+00:00,0.409969403,0.384751377,0.349714556,0.40555845,0.353036968,0.429746287,0.213799312,0.141728193,0.4326382,0.4326382
1998-01-01 10:00:00+00:00,0.409969403,0.384751377,0.349714556,0.40555845,0.353036968,0.429746287,0.27110022,0.18689798,0.46675558,0.46675558
1998-01-01 11:00:00+00:00,0.409969403,0.384751377,0.349714556,0.40555845,0.353036968,0.429746287,0.326903614,0.227715294,0.47942844,0.47942844
1998-01-01 12:00:00+00:00,0.409969403,0.384751377,0.349714556,0.40555845,0.353036968,0.429746287,0.356059034,0.247807895,0.46196576,0.46196576
1998-01-01 13:00:00+00:00,0.409969403,0.384751377,0.349714556,0.40555845,0.353036968,0.429746287,0.35442243,0.246700909,0.43584076,0.43584076
1998-01-01 14:00:00+00:00,0.409969403,0.384751377,0.349714556,0.40555845,0.353036968,0.429746287,0.341277573,0.237721088,0.39583762,0.39583762
1998-01-01 15:00:00+00:00,0.409969403,0.384751377,0.349714556,0.40555845,0.353036968,0.429746287,0.332194178,0.231421226,0.3218723,0.3218723
1998-01-01 16:00:00+00:00,0.409969403,0.384751377,0.349714556,0.40555845,0.353036968,0.429746287,0.33529202,0.233578617,0.22177606,0.22177606
1998-01-01 17:00:00+00:00,0.409969403,0.384751377,0.349714556,0.40555845,0.353036968,0.429746287,0.308192354,0.21438585,0.1138652,0.1138652
1998-01-01 18:00:00+00:00,0.409969403,0.384751377,0.349714556,0.40555845,0.353036968,0.429746287,0.191985053,0.123882441,0.02551608,0.02551608
1998-01-01 19:00:00+00:00,0.409969403,0.384751377,0.349714556,0.40555845,0.353036968,0.429746287,0.142414732,0.083524344,0,0
1998-01-01 20:00:00+00:00,0.409969403,0.384751377,0.349714556,0.40555845,0.353036968,0.429746287,0.187483687,0.12018007,0,0
1998-01-01 21:00:00+00:00,0.409969403,0.384751377,0.349714556,0.40555845,0.353036968,0.429746287,0.197626851,0.128516642,0,0
1998-01-01 22:00:00+00:00,0.409969403,0.384751377,0.349714556,0.40555845,0.353036968,0.429746287,0.161216507,0.098631215,0,0
1998-01-01 23:00:00+00:00,0.409969403,0.384751377,0.349714556,0.40555845,0.353036968,0.429746287,0.126568186,0.071254177,0,0
1998-01-02 00:00:00+00:00,0.422059653,0.401274442,0.370569094,0.415570834,0.361752708,0.442811627,0.112171297,0.060666005,0,0
1998-01-02 01:00:00+00:00,0.422059653,0.401274442,0.370569094,0.415570834,0.361752708,0.442811627,0.105184369,0.05577228,0,0
1998-01-02 02:00:00+00:00,0.422059653,0.401274442,0.370569094,0.415570834,0.361752708,0.442811627,0.091849219,0.046963302,0,0
1998-01-02 03:00:00+00:00,0.422059653,0.401274442,0.370569094,0.415570834,0.361752708,0.442811627,0.074211674,0.036552323,0,0
1998-01-02 04:00:00+00:00,0.422059653,0.401274442,0.370569094,0.415570834,0.361752708,0.442811627,0.061497921,0.03002724,0,0
1998-01-02 05:00:00+00:00,0.422059653,0.401274442,0.370569094,0.415570834,0.361752708,0.442811627,0.05193109,0.025679435,0,0
1998-01-02 06:00:00+00:00,0.422059653,0.401274442,0.370569094,0.415570834,0.361752708,0.442811627,0.041059333,0.021943433,0.03132448,0.03132448
1998-01-02 07:00:00+00:00,0.422059653,0.401274442,0.370569094,0.415570834,0.361752708,0.442811627,0.068155192,0.033337772,0.23444984,0.23444984
1998-01-02 08:00:00+00:00,0.422059653,0.401274442,0.370569094,0.415570834,0.361752708,0.442811627,0.102603554,0.054010669,0.47001528,0.47001528
1998-01-02 09:00:00+00:00,0.422059653,0.401274442,0.370569094,0.415570834,0.361752708,0.442811627,0.122201865,0.067978313,0.64591566,0.64591566
1998-01-02 10:00:00+00:00,0.422059653,0.401274442,0.370569094,0.415570834,0.361752708,0.442811627,0.141796586,0.083036206,0.76125846,0.76125846
1998-01-02 11:00:00+00:00,0.422059653,0.401274442,0.370569094,0.415570834,0.361752708,0.442811627,0.169844805,0.105680543,0.81600752,0.81600752
1998-01-02 12:00:00+00:00,0.422059653,0.401274442,0.370569094,0.415570834,0.361752708,0.442811627,0.206031597,0.135399124,0.80167766,0.80167766
1998-01-02 13:00:00+00:00,0.422059653,0.401274442,0.370569094,0.415570834,0.361752708,0.442811627,0.240231474,0.162939344,0.7540766,0.7540766
1998-01-02 14:00:00+00:00,0.422059653,0.401274442,0.370569094,0.415570834,0.361752708,0.442811627,0.274851081,0.189742985,0.65877918,0.65877918
