,ZONGO,TIQUIMANI,BOTIJLACA,CUTICUCHO,SANTA ROSA 1,SANTA ROSA 2,SAINANI ,CHURURAQUI,HARCA,CAHUA,HUAJI
4-Jan,,,,,,,,,,,
11-Jan,,,,,,,,,,,
18-Jan,,,,,,,,,,,
25-Jan,,,,,,,,,,,
1-Feb,0.55,0.22,1.17,2.08,,0.99,,,,,
8-Feb,0.69,0.85,1.25,1.83,,0.99,,,,,
15-Feb,0.75,0.76,0.99,1.71,,1.00,,,,,
22-Feb,0.86,1.07,0.74,1.28,,1.01,,,,,
1-Mar,0.96,1.51,0.66,1.31,,1.03,,,,,
8-Mar,1.02,1.94,0.64,1.33,,1.03,,,,,
15-Mar,0.84,0.97,0.62,2.80,,1.03,,,,,
22-Mar,0.66,0.89,0.80,1.50,,1.00,,,,,
29-Mar,0.50,0.43,1.23,1.40,,1.03,,,,,
5-Apr,0.52,0.53,1.10,1.42,,1.03,,,,,
12-Apr,0.47,0.30,1.06,1.69,,1.03,,,,,
19-Apr,0.43,0.50,1.16,1.43,,1.00,,,,,
26-Apr,0.30,0.40,1.14,1.61,,1.03,,,,,
3-May,0.30,0.32,1.11,1.75,,1.03,,,,,
10-May,0.18,0.18,0.96,1.87,,1.03,,,,,
17-May,0.15,0.12,0.74,0.88,,1.00,,,,,
24-May,0.15,0.07,0.68,1.14,,1.00,,,,,
31-May,0.16,0.04,0.65,1.13,,0.96,,,,,
7-Jun,0.21,0.04,0.56,1.01,,0.85,,,,,
14-Jun,0.18,0.02,0.57,0.97,,0.84,,,,,
21-Jun,0.12,0.05,0.47,1.00,,0.77,,,,,
28-Jun,0.19,0.04,0.44,0.84,,0.68,,,,,
5-Jul,0.10,0.14,0.46,1.01,,0.78,,,,,
12-Jul,0.10,0.07,0.35,0.92,,0.68,,,,,
19-Jul,0.13,0.12,0.31,0.86,,0.69,,,,,
26-Jul,0.27,0.14,0.23,0.74,,0.57,,,,,
2-Aug,0.15,0.21,0.27,0.83,,0.73,,,,,
9-Aug,0.12,0.21,0.24,0.81,,0.68,,,,,
16-Aug,0.15,0.11,0.20,0.71,,0.57,,,,,
23-Aug,0.13,0.16,0.24,0.65,,0.56,,,,,
30-Aug,0.16,0.17,0.26,0.65,,0.62,,,,,
6-Sep,0.36,0.22,0.39,0.81,,0.76,,,,,
13-Sep,0.34,0.18,0.57,0.93,,0.78,,,,,
20-Sep,0.24,0.25,0.51,1.09,,0.97,,,,,
27-Sep,0.30,0.25,0.03,1.07,,0.87,,,,,
4-Oct,0.29,0.16,0.45,0.97,,0.88,,,,,
11-Oct,0.37,0.23,0.49,1.09,,0.77,,,,,
18-Oct,0.41,0.50,0.67,1.23,,0.98,,,,,
25-Oct,0.31,0.34,0.61,1.32,,0.99,,,,,
1-Nov,0.56,0.53,0.83,1.15,0.17,1.27,0.10,2.80,1.81,2.45,0.89
8-Nov,0.36,0.41,0.80,1.20,0.03,1.07,0.32,3.37,1.30,2.50,0.61
15-Nov,0.35,0.01,0.81,1.02,0.02,0.54,1.02,2.29,2.01,1.96,1.43
22-Nov,0.41,0.24,0.85,1.03,0.29,0.79,0.57,2.18,1.80,4.55,7.10
29-Nov,0.63,0.66,0.63,1.18,0.19,1.43,0.21,3.82,1.02,2.71,5.93
6-Dec,0.66,0.64,0.97,1.28,0.30,1.02,0.12,3.61,1.09,2.73,5.86
13-Dec,0.28,0.37,1.14,1.49,0.16,1.02,0.12,3.72,0.90,2.77,6.06
20-Dec,0.42,0.45,1.12,1.47,0.34,1.02,0.10,3.54,1.26,2.86,6.12
27-Dec,0.53,0.55,1.08,1.45,0.15,0.99,0.36,3.67,1.13,1.42,1.80
3-Jan,0.48,0.29,1.12,1.43,0.45,1.03,0.13,3.19,1.43,2.22,1.12
10-Jan,0.58,0.26,1.21,1.79,0.07,1.03,0.13,3.60,1.09,2.42,0.53
17-Jan,0.92,1.05,0.95,1.20,0.26,0.95,0.49,3.45,1.25,2.46,0.86
24-Jan,1.22,2.35,0.60,1.27,0.25,0.86,0.40,2.50,0.91,2.11,1.00
31-Jan,0.82,1.70,0.88,1.19,0.03,0.96,0.14,3.58,0.50,2.08,1.52
7-Feb,0.61,0.46,1.70,1.23,0.26,1.17,0.28,3.76,0.03,4.00,0.62
14-Feb,0.56,0.91,1.63,1.26,0.38,1.20,0.36,3.46,0.28,3.88,1.02
21-Feb,0.72,1.12,1.07,1.03,2.14,,0.03,1.05,0.19,1.13,0.30
28-Feb,0.52,1.00,1.67,1.37,3.76,,0.11,6.09,0.65,0.43,4.83
7-Mar,0.85,1.52,1.05,1.32,,,4.53,2.60,0.60,0.54,9.38
14-Mar,0.67,0.74,1.22,1.43,,,4.44,2.81,0.68,0.71,10.64
21-Mar,0.77,1.19,1.12,1.39,,,4.52,2.62,0.70,0.56,9.77
28-Mar,0.56,0.88,1.33,1.38,,,4.44,2.46,0.46,1.48,9.46
4-Apr,0.40,0.57,1.66,1.40,,,4.48,2.45,0.52,2.96,10.21
11-Apr,0.24,0.30,1.58,1.67,,,3.94,2.73,0.51,2.23,8.40
18-Apr,0.15,0.12,1.22,1.36,,,4.52,2.43,0.81,3.08,7.72
25-Apr,0.16,0.07,1.08,1.04,,,4.12,1.88,0.75,3.98,5.40
2-May,0.29,0.08,0.98,0.82,,,3.67,1.69,0.77,3.15,3.86
9-May,0.27,0.05,0.22,1.36,,,3.19,1.76,2.22,1.64,3.92
16-May,0.18,0.03,0.80,0.56,,,2.56,1.76,2.07,0.84,2.52
23-May,0.12,0.03,0.67,0.05,,,2.20,1.73,1.95,0.65,2.12
30-May,0.13,0.03,0.61,0.31,,,2.03,1.62,1.61,0.59,1.64
6-Jun,0.16,0.10,0.51,0.34,,,0.53,1.45,1.51,0.85,0.70
13-Jun,0.17,0.09,0.47,0.34,,,0.43,1.47,1.33,0.97,1.06
20-Jun,0.17,0.06,0.48,0.29,,,0.54,1.27,1.13,0.81,0.87
27-Jun,0.13,0.01,0.41,0.23,,,0.52,1.23,0.90,0.71,0.75
4-Jul,0.12,0.01,0.38,0.24,,,0.50,1.23,0.74,0.73,0.58
11-Jul,0.17,0.01,0.42,0.19,,,0.45,1.27,0.65,0.76,0.48
18-Jul,0.16,0.01,0.38,0.20,,,0.50,1.19,0.68,0.75,0.52
25-Jul,0.20,0.03,0.38,0.19,,,0.45,1.27,0.53,0.69,0.34
1-Aug,0.31,0.07,0.37,0.22,,,0.67,1.31,0.82,1.18,0.85
8-Aug,0.08,0.01,0.37,0.20,,,0.63,1.27,0.79,1.05,1.01
15-Aug,0.12,0.06,0.36,0.22,,,0.44,1.30,0.83,0.95,1.06
22-Aug,0.24,0.02,0.36,0.18,,,0.25,1.26,0.56,0.66,0.59
29-Aug,0.15,0.04,0.34,0.19,,,0.16,1.17,0.87,0.64,0.80
5-Sep,0.13,0.02,0.33,0.20,,,0.23,1.16,0.73,0.65,0.48
12-Sep,0.09,0.05,0.34,0.33,,,0.26,1.30,1.04,0.74,0.51
19-Sep,0.10,0.03,0.37,0.47,,,0.61,1.35,1.58,1.04,0.62
26-Sep,0.11,0.01,0.36,0.38,,,0.35,1.23,0.84,0.67,0.43
3-Oct,0.18,0.02,0.36,0.34,,,0.22,1.29,0.74,0.83,0.49
10-Oct,0.22,0.02,0.36,0.30,,,0.26,1.26,0.58,0.74,0.43
17-Oct,0.40,0.06,0.42,0.43,,,0.53,1.68,1.46,1.42,0.98
24-Oct,0.54,0.04,0.46,0.34,,,0.33,1.40,0.86,1.00,0.85
31-Oct,0.35,0.08,0.50,0.65,,,0.90,1.70,1.38,1.22,0.90
7-Nov,0.45,0.31,0.87,1.36,,,0.24,0.37,4.79,1.66,2.21
14-Nov,0.57,0.31,1.03,1.32,,,1.40,1.42,3.74,1.99,2.64
21-Nov,0.45,0.16,0.60,0.85,,,0.90,1.54,2.21,4.59,2.35
28-Nov,0.65,0.04,0.52,0.60,,,0.63,1.28,0.11,2.87,1.47
5-Dec,0.75,0.10,0.54,0.56,,,0.63,1.38,0.23,2.69,2.46
12-Dec,0.82,0.10,0.54,0.61,,,0.99,1.87,0.57,3.10,2.18
19-Dec,0.66,0.53,1.06,1.62,,,1.41,3.33,2.08,3.54,4.61
26-Dec,0.86,1.00,1.23,1.66,,,1.51,3.13,1.76,2.20,1.86
2-Jan,0.88,1.65,1.59,1.39,,,1.22,3.23,1.00,2.39,2.59
9-Jan,0.89,1.76,1.51,1.02,,,1.18,3.33,1.88,3.10,1.51
16-Jan,0.68,1.56,1.73,1.34,,,1.20,3.24,1.14,3.33,1.56
23-Jan,0.75,1.28,1.46,1.21,,,1.29,3.29,1.51,3.35,1.39
30-Jan,0.67,0.85,1.32,1.23,,,1.28,3.32,1.45,3.15,1.34
6-Feb,1.09,1.55,0.07,1.48,,,1.21,3.27,2.18,2.85,1.53
13-Feb,0.69,0.68,0.82,1.61,,,1.34,3.07,1.44,3.44,1.45
20-Feb,0.50,0.68,0.48,1.24,,,1.40,1.55,1.16,3.04,1.50
27-Feb,0.46,0.16,1.15,1.34,,,1.33,2.10,1.87,2.81,1.68
5-Mar,0.39,0.26,1.57,1.51,,,1.74,2.77,3.08,2.76,7.05
12-Mar,0.58,0.23,1.21,1.31,,,1.83,3.43,3.33,2.02,5.01
19-Mar,0.67,0.33,2.66,1.85,,,1.77,5.87,2.66,3.11,8.94
26-Mar,0.56,0.57,2.25,1.74,,,1.43,5.49,2.51,2.93,8.33
2-Apr,0.39,0.29,1.24,1.29,,,1.57,3.26,3.08,2.14,4.74
9-Apr,0.32,0.14,1.18,1.17,,,1.58,2.80,3.90,1.85,4.00
16-Apr,0.18,0.18,1.48,1.21,,,1.91,3.09,3.17,1.97,4.46
23-Apr,0.28,0.08,1.03,0.91,,,1.52,2.41,3.06,1.55,3.90
30-Apr,0.16,0.10,0.68,0.79,,,1.47,1.69,4.00,0.64,3.65
7-May,0.16,0.02,0.62,0.62,,,1.05,1.55,3.21,0.57,3.27
14-May,0.18,0.02,0.59,0.67,,,0.96,1.51,2.63,1.35,2.00
21-May,0.15,0.08,0.45,0.46,,,0.86,1.61,2.66,1.54,2.78
28-May,0.16,0.03,0.50,0.46,,,0.73,1.46,2.25,1.41,2.47
4-Jun,0.12,0.04,0.46,0.35,,,0.64,1.44,1.72,0.16,1.65
11-Jun,0.11,0.01,0.46,0.33,,,0.56,1.43,1.46,1.01,1.87
18-Jun,0.12,0.06,0.39,0.29,,,0.48,1.41,1.21,0.81,1.38
