,CORANI,MISICUNI,MIGUILLA,ANGOSTURA
2019-12-31 23:00:00+00:00,0.188912331,0.466320922,0.191952514,0.175626681
2020-01-01 00:00:00+00:00,0.185124145,0.464863609,0.188585336,0.173106125
2020-01-01 01:00:00+00:00,0.18152583,0.463479225,0.185386747,0.170711746
2020-01-01 02:00:00+00:00,0.178150107,0.462180365,0.182385842,0.168465324
2020-01-01 03:00:00+00:00,0.175025868,0.460978152,0.179608315,0.166386094
2020-01-01 04:00:00+00:00,0.172178309,0.459882291,0.177076579,0.164490837
2020-01-01 05:00:00+00:00,0.169629068,0.458901116,0.174809888,0.162793969
2020-01-01 06:00:00+00:00,0.167396358,0.45804165,0.172824453,0.161307626
2020-01-01 07:00:00+00:00,0.165495097,0.457309648,0.171133559,0.160041757
2020-01-01 08:00:00+00:00,0.163937048,0.456709651,0.169747689,0.159004214
2020-01-01 09:00:00+00:00,0.16273095,0.45624504,0.168674641,0.158200836
2020-01-01 10:00:00+00:00,0.161882652,0.455918085,0.167919644,0.157635542
2020-01-01 11:00:00+00:00,0.161395248,0.455729997,0.167485482,0.157310421
2020-01-01 12:00:00+00:00,0.161269213,0.455680978,0.167372608,0.157225817
2020-01-01 13:00:00+00:00,0.161502532,0.455770277,0.167579268,0.15738042
2020-01-01 14:00:00+00:00,0.162090839,0.455996235,0.168101616,0.157771357
2020-01-01 15:00:00+00:00,0.163027551,0.456356342,0.168933835,0.158394276
2020-01-01 16:00:00+00:00,0.164303996,0.456847285,0.170068254,0.159243442
2020-01-01 17:00:00+00:00,0.165909558,0.457465003,0.171495471,0.160311821
2020-01-01 18:00:00+00:00,0.167831799,0.458204732,0.173204467,0.161591168
2020-01-01 19:00:00+00:00,0.170056604,0.459061064,0.175182728,0.163072121
2020-01-01 20:00:00+00:00,0.172568307,0.460027993,0.177416364,0.164744287
2020-01-01 21:00:00+00:00,0.17534983,0.461098971,0.179890228,0.166596331
2020-01-01 22:00:00+00:00,0.178382814,0.462266954,0.182588032,0.168616065
2020-01-01 23:00:00+00:00,0.181647757,0.463524458,0.18549247,0.170790538
2020-01-02 00:00:00+00:00,0.185124145,0.464863609,0.188585336,0.173106125
2020-01-02 01:00:00+00:00,0.188790586,0.466276193,0.19184764,0.175548614
2020-01-02 02:00:00+00:00,0.192624945,0.467753709,0.195259731,0.178103298
2020-01-02 03:00:00+00:00,0.196604481,0.469287421,0.198801414,0.180755063
2020-01-02 04:00:00+00:00,0.200705976,0.470868407,0.202452069,0.183488474
2020-01-02 05:00:00+00:00,0.204905873,0.472487615,0.20619077,0.186287871
2020-01-02 06:00:00+00:00,0.209180407,0.474135909,0.209996405,0.189137449
2020-01-02 07:00:00+00:00,0.213505743,0.475804122,0.213847793,0.192021355
2020-01-02 08:00:00+00:00,0.217858107,0.477483112,0.217723806,0.194923773
2020-01-02 09:00:00+00:00,0.222213923,0.479163806,0.221603484,0.197829013
2020-01-02 10:00:00+00:00,0.226549942,0.480837258,0.225466158,0.200721603
2020-01-02 11:00:00+00:00,0.230843383,0.482494695,0.229291567,0.203586373
2020-01-02 12:00:00+00:00,0.235072062,0.484127575,0.233059976,0.206408549
2020-01-02 13:00:00+00:00,0.239214528,0.485727631,0.236752296,0.209173838
2020-01-02 14:00:00+00:00,0.243250198,0.487286927,0.240350205,0.211868523
2020-01-02 15:00:00+00:00,0.247159488,0.48879791,0.243836263,0.214479543
2020-01-02 16:00:00+00:00,0.250923953,0.490253458,0.247194035,0.216994591
2020-01-02 17:00:00+00:00,0.254526414,0.491646934,0.250408207,0.219402196
2020-01-02 18:00:00+00:00,0.257951098,0.492972238,0.253464705,0.221691818
2020-01-02 19:00:00+00:00,0.261183768,0.494223856,0.256350817,0.223853933
2020-01-02 20:00:00+00:00,0.26421186,0.495396913,0.259055309,0.225880122
2020-01-02 21:00:00+00:00,0.267024617,0.496487223,0.261568546,0.227763163
2020-01-02 22:00:00+00:00,0.26961322,0.497491344,0.263882608,0.229497118
2020-01-02 23:00:00+00:00,0.271970927,0.498406626,0.265991413,0.231077421
2020-01-03 00:00:00+00:00,0.274093203,0.499231262,0.267890833,0.23250097
2020-01-03 01:00:00+00:00,0.275977853,0.499964342,0.269578812,0.233766212
2020-01-03 02:00:00+00:00,0.277625088,0.500605876,0.271055424,0.234873187
2020-01-03 03:00:00+00:00,0.279037419,0.501156753,0.272322779,0.23582346
2020-01-03 04:00:00+00:00,0.280219485,0.501618679,0.273384875,0.236620006
2020-01-03 05:00:00+00:00,0.28117788,0.50199411,0.274247446,0.237267101
2020-01-03 06:00:00+00:00,0.281920976,0.502286186,0.274917806,0.237770202
2020-01-03 07:00:00+00:00,0.282458754,0.502498664,0.275404695,0.238135836
2020-01-03 08:00:00+00:00,0.282802624,0.502635856,0.275718132,0.238371486
2020-01-03 09:00:00+00:00,0.282965256,0.502702559,0.275869257,0.238485475
2020-01-03 10:00:00+00:00,0.282960402,0.502703993,0.27587018,0.238486854
2020-01-03 11:00:00+00:00,0.282802723,0.50264573,0.275733827,0.238385283
2020-01-03 12:00:00+00:00,0.282507614,0.502533634,0.275473788,0.238190925
2020-01-03 13:00:00+00:00,0.282091032,0.502373791,0.275104164,0.237914324
2020-01-03 14:00:00+00:00,0.281569322,0.502172447,0.274639415,0.237566295
2020-01-03 15:00:00+00:00,0.280959037,0.501935937,0.274094205,0.237157808
2020-01-03 16:00:00+00:00,0.280276772,0.501670624,0.27348325,0.236699875
2020-01-03 17:00:00+00:00,0.279538985,0.501382832,0.272821165,0.236203435
2020-01-03 18:00:00+00:00,0.278761822,0.501078777,0.272122313,0.235679239
2020-01-03 19:00:00+00:00,0.277960946,0.500764507,0.271400648,0.235137739
2020-01-03 20:00:00+00:00,0.277151362,0.50044583,0.270669566,0.23458897
2020-01-03 21:00:00+00:00,0.276347239,0.500128253,0.26994175,0.234042437
2020-01-03 22:00:00+00:00,0.275561743,0.499816914,0.269229018,0.233507002
2020-01-03 23:00:00+00:00,0.274806855,0.499516516,0.268542169,0.23299077
2020-01-04 00:00:00+00:00,0.274093203,0.499231262,0.267890833,0.23250097
2020-01-04 01:00:00+00:00,0.273429886,0.49896479,0.267283315,0.23204385
2020-01-04 02:00:00+00:00,0.272824364,0.49872013,0.266726498,0.231624596
2020-01-04 03:00:00+00:00,0.272282492,0.498499714,0.266225873,0.231247354
2020-01-04 04:00:00+00:00,0.271808615,0.498305411,0.265785615,0.230915292
2020-01-04 05:00:00+00:00,0.27140567,0.498138558,0.265408665,0.230630653
2020-01-04 06:00:00+00:00,0.271075277,0.497999998,0.265096811,0.230394824
2020-01-04 07:00:00+00:00,0.270817844,0.497890113,0.26485077,0.230208386
2020-01-04 08:00:00+00:00,0.270632658,0.497808854,0.26467027,0.230071183
2020-01-04 09:00:00+00:00,0.270517985,0.497755781,0.264554126,0.229982376
2020-01-04 10:00:00+00:00,0.270471171,0.497730092,0.264500329,0.229940505
2020-01-04 11:00:00+00:00,0.270488733,0.49773066,0.264506119,0.229943551
2020-01-04 12:00:00+00:00,0.270566463,0.497756064,0.264568073,0.229988991
2020-01-04 13:00:00+00:00,0.270699522,0.497804629,0.264682182,0.230073862
2020-01-04 14:00:00+00:00,0.270882538,0.497874451,0.264843931,0.23019482
