,SISTEMA ZONGO,VALLE DE ZONGO - TIQUIMANI,VALLE DE ZONGO - SANTA ROSA,CHOJLLA
2019-12-31 23:00:00+00:00,0.254215583,0.240175527,0.497549196,0.335611443
2020-01-01 00:00:00+00:00,0.250779286,0.238566733,0.493862909,0.331552054
2020-01-01 01:00:00+00:00,0.247515228,0.23703841,0.490361401,0.327696174
2020-01-01 02:00:00+00:00,0.244453088,0.235604462,0.48707651,0.324078862
2020-01-01 03:00:00+00:00,0.241619075,0.234277172,0.48403635,0.320731076
2020-01-01 04:00:00+00:00,0.239036045,0.233067258,0.48126544,0.317679814
2020-01-01 05:00:00+00:00,0.236723625,0.231983925,0.478784834,0.314948255
2020-01-01 06:00:00+00:00,0.234698335,0.23103493,0.476612251,0.312555912
2020-01-01 07:00:00+00:00,0.232973707,0.230226632,0.474762207,0.310518764
2020-01-01 08:00:00+00:00,0.231560412,0.229564051,0.473246147,0.30884941
2020-01-01 09:00:00+00:00,0.230466374,0.229050925,0.472072572,0.307557208
2020-01-01 10:00:00+00:00,0.229696899,0.228689767,0.471247171,0.306648417
2020-01-01 11:00:00+00:00,0.229254794,0.228481922,0.470772953,0.306126346
2020-01-01 12:00:00+00:00,0.229140487,0.22842762,0.470650376,0.305991494
2020-01-01 13:00:00+00:00,0.229352151,0.228526038,0.470877477,0.306241695
2020-01-01 14:00:00+00:00,0.229885824,0.228775355,0.471450006,0.306872261
2020-01-01 15:00:00+00:00,0.230735532,0.229172807,0.472361552,0.307876129
2020-01-01 16:00:00+00:00,0.231893412,0.229714744,0.473603676,0.309243998
2020-01-01 17:00:00+00:00,0.233349828,0.23039669,0.475166041,0.310964482
2020-01-01 18:00:00+00:00,0.235093501,0.231213397,0.477036545,0.313024246
2020-01-01 19:00:00+00:00,0.237111623,0.232158899,0.479201447,0.315408154
2020-01-01 20:00:00+00:00,0.239389985,0.233226576,0.481645501,0.318099411
2020-01-01 21:00:00+00:00,0.241913093,0.234409204,0.484352084,0.321079708
2020-01-01 22:00:00+00:00,0.244664293,0.235699015,0.487303332,0.324329366
2020-01-01 23:00:00+00:00,0.247625894,0.237087754,0.490480261,0.327827478
2020-01-02 00:00:00+00:00,0.250779286,0.238566733,0.493862909,0.331552054
2020-01-02 01:00:00+00:00,0.254105064,0.240126891,0.497430457,0.335480165
2020-01-02 02:00:00+00:00,0.257583151,0.241758849,0.501161364,0.339588088
2020-01-02 03:00:00+00:00,0.261192914,0.243452967,0.505033498,0.343851446
2020-01-02 04:00:00+00:00,0.264913294,0.2451994,0.509024265,0.348245356
2020-01-02 05:00:00+00:00,0.26872292,0.246988156,0.51311074,0.35274457
2020-01-02 06:00:00+00:00,0.272600236,0.248809153,0.517269797,0.357323621
2020-01-02 07:00:00+00:00,0.276523621,0.250652273,0.521478242,0.361956965
2020-01-02 08:00:00+00:00,0.280471508,0.252507424,0.525712939,0.366619126
2020-01-02 09:00:00+00:00,0.284422511,0.254364589,0.529950947,0.371284838
2020-01-02 10:00:00+00:00,0.288355543,0.25621389,0.534169643,0.375929193
2020-01-02 11:00:00+00:00,0.292249936,0.258045643,0.53834686,0.380527779
2020-01-02 12:00:00+00:00,0.29608557,0.25985041,0.542461011,0.385056829
2020-01-02 13:00:00+00:00,0.299842986,0.261619062,0.546491225,0.389493361
2020-01-02 14:00:00+00:00,0.303503513,0.263342834,0.550417473,0.393815325
2020-01-02 15:00:00+00:00,0.307049389,0.265013377,0.554220704,0.398001745
2020-01-02 16:00:00+00:00,0.310463881,0.266622822,0.557882968,0.402032861
2020-01-02 17:00:00+00:00,0.313731409,0.268163833,0.561387554,0.405890279
2020-01-02 18:00:00+00:00,0.316837664,0.269629662,0.564719117,0.409557107
2020-01-02 19:00:00+00:00,0.319769735,0.27101421,0.567863809,0.413018104
2020-01-02 20:00:00+00:00,0.322516227,0.272312079,0.570809408,0.416259824
2020-01-02 21:00:00+00:00,0.325067382,0.273518635,0.573545451,0.419270755
2020-01-02 22:00:00+00:00,0.327415204,0.274630057,0.576063366,0.422041469
2020-01-02 23:00:00+00:00,0.329553578,0.2756434,0.578356596,0.424564762
2020-01-03 00:00:00+00:00,0.331478393,0.27655665,0.580420738,0.426835798
2020-01-03 01:00:00+00:00,0.333187662,0.277368777,0.582253664,0.428852251
2020-01-03 02:00:00+00:00,0.334681577,0.278079766,0.583855589,0.430614375
2020-01-03 03:00:00+00:00,0.335962421,0.278690573,0.585228965,0.432124889
2020-01-03 04:00:00+00:00,0.337034403,0.279203053,0.586378317,0.433388796
