,SAN JACINTO
2019-12-31 23:00:00+00:00,0.406976404
2020-01-01 00:00:00+00:00,0.404756907
2020-01-01 01:00:00+00:00,0.402648481
2020-01-01 02:00:00+00:00,0.400670307
2020-01-01 03:00:00+00:00,0.398839325
2020-01-01 04:00:00+00:00,0.397170316
2020-01-01 05:00:00+00:00,0.395675976
2020-01-01 06:00:00+00:00,0.394366997
2020-01-01 07:00:00+00:00,0.393252145
2020-01-01 08:00:00+00:00,0.392338339
2020-01-01 09:00:00+00:00,0.391630726
2020-01-01 10:00:00+00:00,0.391132763
2020-01-01 11:00:00+00:00,0.390846296
2020-01-01 12:00:00+00:00,0.390771633
2020-01-01 13:00:00+00:00,0.39090763
2020-01-01 14:00:00+00:00,0.391251761
2020-01-01 15:00:00+00:00,0.391800203
2020-01-01 16:00:00+00:00,0.392547911
2020-01-01 17:00:00+00:00,0.393488699
2020-01-01 18:00:00+00:00,0.394615314
2020-01-01 19:00:00+00:00,0.395919518
2020-01-01 20:00:00+00:00,0.397392166
2020-01-01 21:00:00+00:00,0.399023284
2020-01-01 22:00:00+00:00,0.400802144
2020-01-01 23:00:00+00:00,0.40271735
2020-01-02 00:00:00+00:00,0.404756907
2020-01-02 01:00:00+00:00,0.406908307
2020-01-02 02:00:00+00:00,0.409158605
2020-01-02 03:00:00+00:00,0.411494493
2020-01-02 04:00:00+00:00,0.413902386
2020-01-02 05:00:00+00:00,0.416368494
2020-01-02 06:00:00+00:00,0.418878905
2020-01-02 07:00:00+00:00,0.42141966
2020-01-02 08:00:00+00:00,0.423976831
2020-01-02 09:00:00+00:00,0.426536602
2020-01-02 10:00:00+00:00,0.429085349
2020-01-02 11:00:00+00:00,0.431609711
2020-01-02 12:00:00+00:00,0.434096675
2020-01-02 13:00:00+00:00,0.436533653
2020-01-02 14:00:00+00:00,0.438908558
2020-01-02 15:00:00+00:00,0.441209885
2020-01-02 16:00:00+00:00,0.443426789
2020-01-02 17:00:00+00:00,0.445549161
2020-01-02 18:00:00+00:00,0.447567708
2020-01-02 19:00:00+00:00,0.449474033
2020-01-02 20:00:00+00:00,0.451260711
2020-01-02 21:00:00+00:00,0.452921367
2020-01-02 22:00:00+00:00,0.454450756
2020-01-02 23:00:00+00:00,0.455844843
2020-01-03 00:00:00+00:00,0.457100875
2020-01-03 01:00:00+00:00,0.458217465
2020-01-03 02:00:00+00:00,0.459194627
2020-01-03 03:00:00+00:00,0.460033714
2020-01-03 04:00:00+00:00,0.460737323
2020-01-03 05:00:00+00:00,0.461309194
2020-01-03 06:00:00+00:00,0.461754107
2020-01-03 07:00:00+00:00,0.462077785
2020-01-03 08:00:00+00:00,0.462286793
2020-01-03 09:00:00+00:00,0.462388436
2020-01-03 10:00:00+00:00,0.462390662
2020-01-03 11:00:00+00:00,0.462301958
2020-01-03 12:00:00+00:00,0.462131254
2020-01-03 13:00:00+00:00,0.461887818
2020-01-03 14:00:00+00:00,0.461581161
2020-01-03 15:00:00+00:00,0.461220933
2020-01-03 16:00:00+00:00,0.460816823
2020-01-03 17:00:00+00:00,0.460378462
2020-01-03 18:00:00+00:00,0.45991532
2020-01-03 19:00:00+00:00,0.459436604
