,0
[85] - GCH11,84593.8466436788
[32] - CHOQUETANGA,40509.245882855765
[88] - SCZ02,738.2205709576529
[117] - KILPANI,59502.73575055527
[52] - MOS10,0.8459999999999999
[25] - CORANI,328740.59976559045
[35] - ALT01,30510.751327244718
[78] - SISTEMA QUEHATA,4289.949244893942
[9] - QOLLPANA II,16562.249053584026
[104] - ARJ11,133.70579194601598
[22] - CCERI50-51-52,55168.9286650292
[13] - BUL01,31622.009876967517
[21] - CCERI40-41-42,1004561.0919588014
[70] - VALLE DE ZONGO - SANTA ROSA,50424.913990166446
[30] - MIGUILLA,10572.903971071486
[89] - UNA01,57875.400000003065
[106] - ARJ13,3140.300263928871
[108] - ARJ15,2206.0229597300136
[112] - SUR04,13406.131959842582
[23] - ORURO I,102648.56089505741
[109] - SUR01,3150.7302077704217
[8] - QOLLPANA I,3229.8755226107073
[73] - VALLE DE ZONGO - HARCA,169835.88608681792
[67] - VALLE DE ZONGO - TIQUIMANI,24246.474201854086
[107] - ARJ14,2671.6498959730984
[81] - GCH04,130.96951450430956
[94] - WAR03,59474.83259389528
[93] - WAR02,75530.65731080736
[33] - CARABUCO,44829.5106939911
[28] - SAN JOSE 2,344707.20476776385
[37] - SBU01,8530.0
[29] - MISICUNI,267415.1654002485
[31] - ANGOSTURA,34511.01193945227
[119] - PUNUTUMA,21886.772622624056
[80] - GCH02,395.5795145043091
[71] - VALLE DE ZONGO - SAINANI,76458.38869158784
[86] - GCH12,693524.1959071624
[113] - CCSUR30-31-32,406621.4064576638
[26] - SANTA ISABEL,476551.0017686399
[98] - CCWAR40-41-42,776751.9759142591
[24] - ORURO II,102648.56089505741
[77] - YANACACHI,206070.3523543743
[15] - BUL03,39678.94926679193
[105] - ARJ12,2709.89444592061
[4] - VHE05,8894.132913625946
[16] - ERI01,383.1513863219968
[27] - SAN JOSE 1,316271.9774604279
[75] - VALLE DE ZONGO - HUAJI,166875.34536345015
[74] - VALLE DE ZONGO - CAHUA,175880.6865977375
[92] - WAR01,54698.01753873811
[103] - ARJ09,1902.4935692338906
[95] - WAR04,745.7882315152913
[14] - BUL02,27387.855612151263
[114] - CCSUR40-41-42,626750.9060194656
[34] - KANATA,34470.893812732764
[97] - CCWAR30-31-32,189221.14389133028
[20] - CCERI30-31-32,541600.0698697863
[11] - CAR02,656.1559438125703
[66] - SISTEMA ZONGO,10104.047413668011
[82] - GCH06,199.87891908405174
[90] - GBE01,73584.0
[7] - VHE08,7098.326480372654
[6] - VHE07,6113.876017934963
[72] - VALLE DE ZONGO - CHURURAQUI,159950.28941948153
[115] - UYUNI_COLCHAK,111778.97536587768
[84] - GCH10,358495.34269754216
[96] - WAR05,38376.693327251094
[99] - ARJ08,43262.674967284205
[87] - SCZ01,48.984
[110] - SUR02,9897.780751413628
[111] - SUR03,37806.560119095244
[118] - LANDARA,21250.802697011964
[76] - CHOJLLA,132890.23815743922
[12] - CAR03,22383.927623380947
[69] - VALLE DE ZONGO - CUTICUCHO,119094.31502838786
[68] - VALLE DE ZONGO - BOTIJILACA,40098.23934848765
[83] - GCH09,239604.79311442655
[116] - YUNCHARA,7757.85182106987
[5] - VHE06,8017.162299498549
[120] - SAN JACINTO,25649.006094168904
