,0
[17] - BUL03,72888.98186203757
[75] - GBE01,73584.0
[101] - SUR04,81460.5555647141
[96] - PUN01,4954.892249998833
[33] - ALT01,71508.98340119125
[16] - BUL02,86280.90671967306
[94] - KIL01_KIL02_KIL03,42474.64756000317
[23] - CCERI40-41-42,1022183.4123441929
[66] - GCH04,90.00491908405158
[68] - GCH09,344486.08879857487
[95] - LAN01_LAND02_LAND03,733.8813182003136
[84] - ARJ08,92376.6208474438
[71] - GCH12,696741.3000001067
[65] - GCH02,12.933369605934114
[26] - ORURO I,102490.5349261834
[74] - UNA01,57875.400000003065
[35] - SBU01,8530.0
[79] - WAR03,91935.67788730578
[69] - GCH10,444440.19060893706
[93] - ARJ15,5463.119642386108
[10] - QOLLPANA I,3223.458829501707
[30] - SISTEMA ZONGO,318270.34130146535
[32] - SISTEMA QUEHATA,4316.4714898093935
[99] - SUR02,96114.77244776905
[100] - SUR03,117884.52980084578
[89] - ARJ11,500.3420000000021
[91] - ARJ13,6291.154591262907
[90] - ARJ12,6829.760000000385
[105] - YUNCHARA,7739.594185999993
[24] - CCERI50-51-52,71165.44666499188
[15] - BUL01,106603.88500171622
[25] - SISTEMA CORANI,779600.5076908584
[70] - GCH11,219026.03686792756
[77] - WAR01,95774.88816645848
[7] - VHE08,25106.607214173215
[6] - VHE07,24337.78203468011
[22] - CCERI30-31-32,552537.5719360363
[78] - WAR02,133853.60458644916
[72] - SCZ01,1571.539539841856
[83] - CCWAR40-41-42,986941.9358531913
[8] - SISTEMA MIGUILLA,50517.93800753247
[4] - VHE05,30837.290123274506
[27] - SISTEMA MISICUNI,34518.983978685734
[81] - WAR05,68774.40716735729
[14] - CAR03,75868.43932963244
[31] - SISTEMA TAQUESI,184155.06031466112
[5] - VHE06,25342.723682580592
[88] - ARJ09,5108.515011658911
[92] - ARJ14,6075.696242067329
[97] - SJA01_SJA02,7245.675109757996
[28] - ORURO II,102490.5349261834
[102] - CCSUR30-31-32,530637.3507912062
[104] - UYUNI_COLCHAK,111353.06970946143
[9] - KANATA,14676.165852116845
[29] - SAN JOSE I_SAN JOSE II,130650.16507313086
[82] - CCWAR30-31-32,263746.59598229744
[103] - CCSUR40-41-42,815063.9946464073
[11] - QOLLPANA II,16526.39192702403
