Dia/Mes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,CORANI
1/1,79.34,38.50,55.05,53.00,39.12,50.14,36.49,46.92,53.42,53.75,41.11,39.34,40.21,57.86,47.63,47.53,40.25,52.03,49.10,46.77,47.41,41.94,40.26,39.02,57.65,44.43,43.55,47.31,63.05,39.62,55.86,43.71,42.39,44.30,40.01,43.75,
2/1,79.34,38.44,54.76,52.11,42.90,51.82,36.21,51.80,52.85,53.64,40.51,39.40,40.47,61.37,47.19,50.17,39.69,51.74,49.65,46.41,46.46,42.27,40.34,39.94,58.27,44.32,43.01,47.34,61.71,40.19,54.56,43.57,42.55,44.64,40.98,44.15,
3/1,78.07,39.94,53.82,51.03,43.66,51.57,36.28,56.12,52.44,53.78,41.30,40.39,41.37,60.41,47.50,53.21,39.21,51.22,49.77,45.90,45.53,41.84,40.46,41.14,57.19,44.09,42.56,48.39,60.63,43.76,55.61,42.76,42.00,44.61,41.66,50.81,26.68
4/1,77.09,43.25,52.73,50.18,43.41,51.33,37.10,54.86,51.64,53.36,42.09,42.40,41.68,59.05,47.32,53.79,38.80,50.51,50.00,45.22,44.70,42.88,39.96,46.05,55.83,43.74,43.19,50.53,59.56,50.25,56.83,42.13,41.39,43.90,42.36,56.11,
5/1,76.43,44.95,51.48,49.44,43.50,50.51,38.06,53.67,51.06,53.29,41.89,43.53,41.12,60.63,46.49,54.44,38.59,49.58,50.20,44.99,44.28,44.39,41.57,49.64,54.96,43.09,43.60,51.97,59.33,51.95,55.96,41.65,40.73,43.27,42.34,54.70,
6/1,75.89,46.02,51.10,48.61,44.23,51.10,38.26,54.36,51.88,52.47,41.63,43.87,40.55,64.48,45.65,54.95,38.47,48.80,50.12,45.07,43.97,44.73,43.70,48.50,53.97,43.27,42.90,51.61,59.25,50.44,54.85,43.63,40.12,42.82,41.87,53.40,
7/1,75.96,47.11,51.29,47.63,44.62,52.37,37.94,55.33,53.14,51.42,41.06,44.57,40.12,68.60,44.85,54.04,38.15,49.00,50.20,48.97,43.32,44.75,43.87,47.46,52.97,43.35,42.19,51.06,58.08,49.23,53.74,45.46,39.58,42.44,41.39,52.77,
8/1,76.19,46.86,51.15,46.87,44.37,52.70,37.50,55.34,52.78,54.71,40.46,45.15,40.39,72.57,44.17,54.37,37.81,49.93,49.89,51.90,42.62,45.11,43.51,47.07,52.55,43.24,41.53,50.56,57.49,48.36,55.22,45.45,39.25,42.05,41.27,51.97,
9/1,75.71,46.30,52.51,48.14,44.02,52.21,37.18,55.92,53.46,58.13,40.00,45.40,41.00,73.18,44.14,56.59,38.49,50.49,49.89,50.84,41.96,46.48,42.85,46.86,52.23,43.49,41.02,49.99,58.35,48.96,56.55,45.32,38.89,42.01,42.18,51.10,
10/1,75.16,45.64,54.19,50.32,43.46,51.19,36.89,55.73,54.12,58.77,41.99,45.71,41.12,72.93,44.45,58.13,40.14,50.46,49.53,50.50,41.94,47.55,42.20,46.28,52.72,45.24,41.20,49.42,58.82,49.75,55.47,44.50,38.52,42.71,42.76,50.27,25.35
