Dia/Mes,1980,1985,1990,1995,2000,2005,2010,2015,CORANI
01-Jan,65.89,36.69,27.66,34.08,33.96,30.98,42.41,30.30,
02-Jan,65.89,38.37,27.06,36.72,33.01,30.87,41.11,30.70,
03-Jan,64.62,38.12,27.85,39.76,32.08,30.64,42.16,37.36,26.68
04-Jan,63.64,37.88,28.64,40.34,31.25,30.29,43.38,42.66,
05-Jan,62.98,37.06,28.44,40.99,30.83,29.64,42.51,41.25,
06-Jan,62.44,37.65,28.18,41.50,30.52,29.82,41.40,39.95,
07-Jan,62.51,38.92,27.61,40.59,29.87,29.90,40.29,39.32,
08-Jan,62.74,39.25,27.01,40.92,29.17,29.79,41.77,38.52,
09-Jan,62.26,38.76,26.55,43.14,28.51,30.04,43.10,37.65,
10-Jan,61.71,37.74,28.54,44.68,28.49,31.79,42.02,36.82,25.35
11-Jan,61.81,36.58,30.70,47.67,28.85,34.02,41.43,36.05,
12-Jan,61.71,36.85,31.07,50.79,29.00,34.25,41.31,37.22,
13-Jan,61.18,37.19,31.04,53.20,28.79,33.84,43.07,38.58,
14-Jan,60.71,36.18,35.84,54.72,28.27,36.00,44.99,38.03,
15-Jan,60.12,35.27,40.55,54.06,28.87,39.33,44.53,38.60,
16-Jan,59.65,34.64,40.21,53.12,30.20,40.21,43.14,39.44,
17-Jan,59.24,34.06,39.69,52.18,30.67,39.52,41.93,39.21,24.63
18-Jan,58.93,33.34,44.99,51.99,30.26,38.29,42.23,39.22,
19-Jan,57.60,32.51,49.13,51.05,30.37,37.05,45.91,38.81,
20-Jan,55.22,31.88,46.98,49.51,30.73,35.91,48.92,38.03,
21-Jan,53.41,32.07,44.96,48.27,30.45,34.81,48.18,37.60,
22-Jan,51.82,32.28,43.41,46.56,30.19,33.79,46.29,36.94,
23-Jan,50.10,31.81,42.19,44.88,30.60,34.96,44.50,35.80,
24-Jan,48.63,31.11,40.96,44.06,30.98,37.30,42.98,34.90,16.80
25-Jan,49.46,30.50,40.55,43.15,30.89,37.54,41.71,34.43,
26-Jan,50.51,31.99,40.51,42.43,31.34,37.62,40.53,34.65,
27-Jan,50.04,33.45,39.58,42.02,32.44,37.45,41.45,34.90,
28-Jan,52.43,32.85,38.35,43.89,33.28,36.25,42.19,34.45,
29-Jan,55.24,32.05,37.22,49.44,33.34,35.24,40.90,33.78,
30-Jan,54.97,31.26,37.19,56.74,33.39,36.13,39.79,34.08,
31-Jan,53.33,30.55,39.30,59.31,33.83,39.80,39.16,34.87,15.61
01-Feb,51.43,29.96,42.43,59.35,34.64,41.28,40.12,34.53,
02-Feb,49.71,29.56,45.30,59.25,34.76,39.96,41.92,33.52,
03-Feb,47.90,29.13,46.59,59.05,34.00,38.70,42.11,32.67,
04-Feb,46.04,29.35,46.28,57.94,36.26,37.47,40.87,31.95,
05-Feb,44.62,31.09,45.26,56.87,38.76,36.32,43.73,31.40,
06-Feb,46.72,32.76,45.08,55.75,38.34,35.43,48.60,32.92,
07-Feb,48.30,32.80,47.07,53.29,37.40,34.81,49.69,34.38,21.67
08-Feb,46.96,32.01,50.97,51.25,36.56,34.04,48.36,33.70,
09-Feb,46.49,31.21,52.61,50.75,35.82,33.75,47.43,32.86,
10-Feb,45.81,30.63,51.37,51.54,34.89,33.76,47.82,32.56,
11-Feb,46.38,30.10,49.91,54.59,33.93,34.84,48.38,35.98,
12-Feb,47.21,29.60,48.43,58.66,33.34,35.81,48.11,38.90,
13-Feb,48.27,29.19,46.85,58.82,32.83,35.44,46.73,38.41,
14-Feb,48.49,29.55,45.08,56.99,32.68,35.11,45.19,37.68,30.94
15-Feb,46.88,29.72,43.52,55.38,36.75,36.28,44.46,39.62,
16-Feb,45.53,29.16,42.39,54.72,39.77,37.03,45.22,43.23,
17-Feb,44.15,28.97,41.60,57.29,38.45,35.99,47.31,44.99,
18-Feb,42.85,28.85,40.69,59.71,37.19,35.28,49.77,45.73,
19-Feb,41.90,29.09,41.30,60.08,36.35,34.61,50.04,45.03,
20-Feb,42.23,29.42,41.78,59.49,35.65,33.83,48.22,43.75,
21-Feb,42.35,29.12,40.53,58.88,35.00,33.06,47.54,42.73,25.61
22-Feb,41.61,28.65,40.00,56.98,34.73,32.33,47.20,41.75,
23-Feb,40.66,28.14,39.55,55.23,34.73,32.22,45.94,41.16,
24-Feb,40.30,27.56,38.97,56.92,34.87,33.69,45.72,40.63,
25-Feb,40.96,27.05,39.67,58.90,34.46,34.41,46.77,41.04,
26-Feb,40.81,26.66,39.83,58.58,34.78,33.63,47.59,40.99,
27-Feb,39.78,26.76,38.63,57.77,35.05,33.71,46.87,40.23,
28-Feb,40.72,26.76,37.41,58.27,34.06,33.89,45.77,39.83,27.82
29/2,40.72,26.36,36.26,58.94,34.06,34.41,44.96,38.98,
01-Mar,42.63,26.48,35.19,57.90,34.06,34.63,43.56,38.12,
02-Mar,42.61,26.77,34.30,56.43,36.24,33.74,41.99,37.17,
03-Mar,41.97,27.35,33.58,55.67,38.16,32.78,42.79,37.39,
04-Mar,41.20,28.04,32.76,55.59,37.64,31.87,45.43,38.43,
05-Mar,40.37,27.90,32.13,55.38,39.44,31.02,45.64,38.89,
06-Mar,39.79,27.35,31.55,54.44,42.93,30.24,44.01,38.55,16.54
07-Mar,40.19,27.03,30.83,53.33,47.78,29.87,43.02,37.69,
08-Mar,41.17,26.82,30.15,52.30,49.79,29.51,43.23,36.86,
09-Mar,42.11,26.62,29.45,51.05,48.69,28.92,42.86,35.96,
10-Mar,43.32,26.42,28.88,49.07,48.90,29.08,41.34,35.26,
11-Mar,43.58,26.71,28.34,47.92,49.49,30.24,40.07,34.51,
12-Mar,43.53,26.99,27.89,47.04,50.89,30.72,38.93,34.11,
13-Mar,43.09,26.90,27.50,45.68,54.08,30.14,37.78,33.88,10.17
14-Mar,42.88,26.72,26.97,44.81,55.53,29.49,37.14,33.25,
