,CORANI,SANTA ISABEL,SAN JOSE 1,SAN JOSE 2,KANATA,MISICUNI,MIGUILLA,ANGOSTURA,CHOQUETANGA,CARABUCO
03-Jan,26.68,28.18,38.65,38.65,0.35,10.98,0.68,2.40,3.09,4.03
10-Jan,25.35,26.59,38.39,38.39,0.44,15.38,0.72,2.99,4.05,4.72
17-Jan,24.63,26.43,40.66,40.66,0.37,9.97,0.84,3.31,4.25,4.96
24-Jan,16.80,18.07,32.01,32.01,0.42,10.50,0.72,3.32,4.31,5.04
31-Jan,15.61,17.01,27.99,27.99,0.32,6.27,0.48,2.59,3.59,4.41
07-Feb,21.67,23.64,38.18,38.18,0.56,11.47,0.51,1.59,2.52,3.64
14-Feb,30.94,32.77,46.87,46.87,0.65,21.94,1.50,3.89,5.17,6.16
21-Feb,25.61,27.48,42.14,42.14,0.49,14.30,0.72,3.48,4.50,5.13
28-Feb,27.82,29.75,44.41,44.41,0.70,20.50,0.94,3.37,4.26,4.90
06-Mar,16.54,17.50,29.91,29.91,0.63,5.21,0.45,1.31,2.10,2.73
13-Mar,10.17,10.81,19.97,19.97,0.51,3.19,0.41,1.34,2.23,2.79
20-Mar,7.81,8.45,16.67,16.67,0.42,5.41,0.54,1.70,2.40,3.01
27-Mar,10.57,11.10,19.70,19.70,0.53,7.59,0.46,1.31,2.20,2.87
03-Apr,7.93,8.41,17.51,17.51,0.41,6.00,0.59,1.42,2.02,2.68
10-Apr,9.81,10.42,19.94,19.94,0.49,6.93,0.41,1.14,1.59,2.36
17-Apr,5.42,5.79,13.08,13.08,0.44,4.84,0.26,0.66,1.24,2.24
24-Apr,3.88,4.11,9.80,9.80,0.33,4.69,0.30,0.81,1.28,2.27
01-May,3.08,3.26,8.39,8.39,0.30,3.50,0.22,0.53,0.93,1.86
08-May,3.19,3.50,9.47,9.47,0.30,1.00,0.18,0.43,0.84,1.65
15-May,2.04,2.20,7.18,7.18,0.31,3.24,0.17,0.32,0.63,1.36
22-May,2.30,2.53,6.81,6.81,0.27,0.87,0.14,0.25,0.40,1.13
29-May,1.30,1.40,5.23,5.23,0.21,0.58,0.15,0.21,0.37,1.05
05-Jun,3.41,3.52,7.23,7.23,0.23,0.81,0.12,0.15,0.36,1.06
12-Jun,2.43,2.62,6.34,6.34,0.22,0.71,0.13,0.14,0.28,0.95
19-Jun,1.60,1.81,5.41,5.41,0.22,0.64,0.12,0.13,0.28,0.95
26-Jun,1.00,1.13,4.07,4.07,0.20,0.63,0.08,0.09,0.14,0.83
03-Jul,1.05,1.22,3.98,3.98,0.24,0.52,0.05,0.06,0.11,0.69
10-Jul,0.90,1.05,3.66,3.66,0.23,0.55,0.08,0.09,0.19,0.85
17-Jul,0.66,0.83,3.28,3.28,0.22,0.47,0.08,0.09,0.17,0.80
24-Jul,0.89,1.06,3.33,3.33,0.34,0.48,0.05,0.06,0.10,0.77
31-Jul,0.63,0.77,2.95,2.95,0.22,0.47,0.07,0.08,0.10,0.69
07-Aug,0.48,0.62,2.66,2.66,0.25,0.50,0.06,0.07,0.12,0.72
14-Aug,0.43,0.59,2.58,2.58,0.22,0.41,0.11,0.12,0.19,0.76
21-Aug,1.46,1.68,4.63,4.63,0.23,0.66,0.12,0.13,0.20,0.82
28-Aug,1.05,1.26,3.50,3.50,0.23,0.33,0.12,0.13,0.21,0.69
04-Sep,0.75,0.94,2.79,2.79,0.21,0.37,0.11,0.12,0.40,0.79
11-Sep,0.42,0.61,2.33,2.33,0.21,0.29,0.14,0.15,0.28,0.67
18-Sep,0.77,1.00,2.61,2.61,0.22,0.39,0.11,0.12,0.21,0.59
25-Sep,0.76,1.31,2.99,2.99,0.25,0.32,0.11,0.14,0.26,0.68
02-Oct,1.60,1.85,4.30,4.30,0.22,0.52,0.09,0.10,0.21,0.60
09-Oct,2.04,2.36,4.68,4.68,0.22,1.61,0.11,0.12,0.26,0.70
16-Oct,1.41,1.76,3.89,3.89,0.30,1.95,0.11,0.13,0.23,0.60
23-Oct,1.93,2.20,4.84,4.84,0.29,1.69,0.22,0.38,0.55,1.13
30-Oct,2.23,2.60,5.61,5.61,0.23,1.07,0.15,0.31,0.51,1.07
06-Nov,1.53,1.86,4.46,4.46,0.25,0.93,0.18,0.34,0.53,0.92
13-Nov,1.31,1.52,3.65,3.65,0.25,1.00,0.15,0.32,0.51,0.79
20-Nov,1.08,1.33,3.60,3.60,0.25,1.15,0.17,0.33,0.48,0.84
27-Nov,0.70,0.82,3.08,3.08,0.25,0.94,0.18,0.34,0.49,0.86
04-Dec,3.78,4.25,6.97,6.97,0.29,1.22,0.30,0.76,1.01,1.35
11-Dec,9.48,10.60,17.33,17.33,0.27,1.39,0.42,1.48,1.95,2.61
18-Dec,5.04,5.89,11.68,11.68,0.22,1.46,0.20,1.49,1.82,2.59
