,KILPANI,LANDARA,PUNUTUMA,SAN JACINTO
03-Jan,2.35,2.35,2.35,15.91
10-Jan,2.27,2.27,2.27,8.40
17-Jan,2.29,2.29,2.29,39.40
24-Jan,2.54,2.54,2.54,18.86
31-Jan,2.33,2.33,2.33,14.68
07-Feb,2.18,2.18,2.18,21.23
14-Feb,2.21,2.21,2.21,15.31
21-Feb,2.53,2.53,2.53,12.86
28-Feb,3.31,3.31,3.31,14.43
06-Mar,3.15,3.15,3.15,15.15
13-Mar,2.76,2.76,2.76,13.72
20-Mar,3.56,3.56,3.56,21.61
27-Mar,3.79,3.79,3.79,15.09
03-Apr,3.23,3.23,3.23,14.61
10-Apr,3.07,3.07,3.07,13.25
17-Apr,2.76,2.76,2.76,7.85
24-Apr,2.77,2.77,2.77,6.24
01-May,2.61,2.61,2.61,5.44
08-May,2.55,2.55,2.55,4.17
15-May,2.46,2.46,2.46,3.39
22-May,2.47,2.47,2.47,2.68
29-May,2.42,2.42,2.42,3.53
05-Jun,2.37,2.37,2.37,2.14
12-Jun,2.39,2.39,2.39,1.99
19-Jun,2.39,2.39,2.39,1.53
26-Jun,2.35,2.35,2.35,1.38
03-Jul,2.25,2.25,2.25,1.08
10-Jul,2.27,2.27,2.27,1.41
17-Jul,2.33,2.33,2.33,0.95
24-Jul,2.34,2.34,2.34,1.22
31-Jul,2.29,2.29,2.29,1.25
07-Aug,2.27,2.27,2.27,1.22
14-Aug,2.24,2.24,2.24,1.24
21-Aug,2.08,2.08,2.08,1.33
28-Aug,2.23,2.23,2.23,1.21
04-Sep,2.20,2.20,2.20,1.14
11-Sep,2.19,2.19,2.19,0.59
18-Sep,2.28,2.28,2.28,1.32
25-Sep,2.19,2.19,2.19,1.06
02-Oct,2.24,2.24,2.24,1.07
09-Oct,2.19,2.19,2.19,0.72
16-Oct,2.17,2.17,2.17,0.87
23-Oct,2.17,2.17,2.17,0.95
30-Oct,2.12,2.12,2.12,1.61
06-Nov,2.07,2.07,2.07,0.78
13-Nov,2.08,2.08,2.08,1.09
20-Nov,2.09,2.09,2.09,0.70
27-Nov,2.14,2.14,2.14,1.21
04-Dec,2.11,2.11,2.11,3.06
11-Dec,2.07,2.07,2.07,4.43
18-Dec,2.07,2.07,2.07,2.25
