TIMESTAMP,CORANI,SANTA ISABEL,SAN JOSE 1,MISICUNI,KANATA,SAN JOSE 2,MIGUILLA,ANGOSTURA,CHOQUETANGA,CARABUCO
31/12/1979,79.34,81.31,100.26,100.26,0.351,107.35,3.79,11.69,23.37,37.34
01/01/1980,79.34,81.31,100.26,100.26,0.351,107.35,3.79,11.69,23.37,37.34
02/01/1980,79.34,81.31,100.26,100.26,0.373,99.47,3.39,10.46,20.92,33.42
03/01/1980,78.07,80,98.49,98.49,0.315,97.34,3.36,10.37,20.74,33.14
04/01/1980,77.09,78.98,97.11,97.11,0.315,87.44,2.93,9.03,18.05,28.84
05/01/1980,76.43,78.29,96.19,96.19,0.315,82,2.79,8.62,17.23,27.53
06/01/1980,75.89,77.73,95.43,95.43,0.315,82.43,2.53,7.8,15.6,24.92
07/01/1980,75.96,77.8,95.53,95.53,0.315,79.46,2.52,7.77,15.53,24.81
08/01/1980,76.19,78.04,95.85,95.85,0.562,72.88,2.35,7.24,14.47,23.12
09/01/1980,75.71,77.54,95.18,95.18,0.494,69.03,2.18,6.72,13.45,21.49
10/01/1980,75.16,76.98,94.42,94.42,0.351,72.96,2.19,6.75,13.49,21.56
11/01/1980,75.26,77.07,94.54,94.54,0.351,64.92,2.06,6.35,12.7,20.29
12/01/1980,75.16,76.97,94.41,94.41,0.351,62.62,1.95,6.01,12.03,19.21
13/01/1980,74.63,76.42,93.67,93.67,0.436,63.11,1.96,6.06,12.12,19.35
14/01/1980,74.16,75.93,93.01,93.01,0.436,57.28,1.75,5.41,10.82,17.28
15/01/1980,73.57,75.32,92.18,92.18,0.436,58.86,1.73,5.33,10.65,17.02
16/01/1980,73.1,74.84,91.53,91.53,0.436,55.61,1.69,5.21,10.42,16.65
17/01/1980,72.69,74.41,90.96,90.96,0.373,54.68,1.61,4.96,9.93,15.86
18/01/1980,72.38,74.09,90.53,90.53,0.373,51.82,1.52,4.68,9.36,14.96
19/01/1980,71.05,72.71,88.67,88.67,0.373,49.91,1.55,4.77,9.55,15.25
20/01/1980,68.67,70.24,85.34,85.34,0.373,50.96,1.51,4.66,9.31,14.87
21/01/1980,66.86,68.36,82.8,82.8,0.373,48.06,1.42,4.38,8.76,13.99
22/01/1980,65.27,66.71,80.57,80.57,0.373,47.46,1.35,4.17,8.35,13.34
23/01/1980,63.55,64.92,78.17,78.17,0.373,49.47,1.38,4.26,8.52,13.62
24/01/1980,62.08,63.4,76.11,76.11,0.421,49.37,1.37,4.21,8.43,13.46
25/01/1980,62.91,64.26,77.27,77.27,0.421,51.05,1.42,4.37,8.74,13.97
26/01/1980,63.96,65.35,78.75,78.75,0.421,47.68,1.33,4.11,8.22,13.13
27/01/1980,63.49,64.87,78.09,78.09,0.315,54.69,1.43,4.41,8.82,14.09
28/01/1980,65.88,67.35,81.44,81.44,0.315,55.11,1.44,4.44,8.89,14.2
29/01/1980,68.69,70.26,85.36,85.36,0.315,50.99,1.33,4.11,8.21,13.12
30/01/1980,68.42,69.98,84.98,84.98,0.315,48.19,1.28,3.95,7.89,12.61
31/01/1980,66.78,68.27,82.68,82.68,0.315,46.36,1.21,3.72,7.44,11.88
01/02/1980,64.88,66.31,80.03,80.03,0.351,46.73,1.18,3.65,7.29,11.65
02/02/1980,63.16,64.52,77.62,77.62,0.373,43.42,1.12,3.45,6.91,11.03
03/02/1980,61.35,62.65,75.1,75.1,0.315,41.64,1.07,3.31,6.62,10.58
04/02/1980,59.49,60.71,72.49,72.49,0.315,40.99,1.03,3.18,6.36,10.16
05/02/1980,58.07,59.24,70.51,70.51,0.315,42.02,1.01,3.12,6.24,9.96
06/02/1980,60.17,61.42,73.44,73.44,0.315,38.97,0.97,2.98,5.97,9.53
07/02/1980,61.75,63.05,75.64,75.64,0.562,38.4,0.93,2.87,5.74,9.17
08/02/1980,60.41,61.66,73.77,73.77,0.562,36.92,0.89,2.74,5.49,8.77
09/02/1980,59.94,61.18,73.12,73.12,0.494,36.46,0.86,2.66,5.32,8.49
10/02/1980,59.26,60.47,72.16,72.16,0.351,36.74,0.83,2.56,5.11,8.17
11/02/1980,59.83,61.07,72.97,72.97,0.351,35.3,0.8,2.47,4.94,7.89
12/02/1980,60.66,61.93,74.13,74.13,0.351,34.97,0.77,2.38,4.77,7.61
13/02/1980,61.72,63.03,75.61,75.61,0.436,33.76,0.76,2.33,4.67,7.46
14/02/1980,61.94,63.26,75.92,75.92,0.436,33.4,0.79,2.43,4.86,7.77
15/02/1980,60.33,61.59,73.66,73.66,0.436,32.58,0.79,2.44,4.87,7.78
16/02/1980,58.98,60.19,71.78,71.78,0.436,31.66,0.8,2.45,4.9,7.84
17/02/1980,57.6,58.75,69.85,69.85,0.373,30.76,0.81,2.49,4.98,7.95
18/02/1980,56.3,57.4,68.03,68.03,0.373,30,0.8,2.47,4.94,7.88
19/02/1980,55.35,56.42,66.69,66.69,0.373,29.8,0.78,2.41,4.82,7.7
20/02/1980,55.68,56.77,67.17,67.17,0.373,28.76,0.76,2.33,4.67,7.45
21/02/1980,55.8,56.88,67.33,67.33,0.373,28.1,0.74,2.28,4.55,7.27
22/02/1980,55.06,56.12,66.29,66.29,0.373,27.29,0.72,2.23,4.46,7.13
23/02/1980,54.11,55.13,64.96,64.96,0.373,26.84,0.71,2.19,4.38,7
24/02/1980,53.75,54.76,64.46,64.46,0.421,26.73,0.72,2.21,4.41,7.05
25/02/1980,54.41,55.45,65.39,65.39,0.421,26.53,0.75,2.32,4.64,7.41
26/02/1980,54.26,55.29,65.18,65.18,0.315,26.13,0.77,2.37,4.73,7.56
27/02/1980,53.23,54.21,63.73,63.73,0.315,26.48,0.76,2.33,4.66,7.45
28/02/1980,54.17,55.19,65.05,65.05,0.315,26.04,0.72,2.23,4.46,7.12
29/02/1980,54.17,55.19,65.05,65.05,0.315,26.04,0.72,2.23,4.46,7.12
01/03/1980,56.08,57.18,67.72,67.72,0.351,26.38,0.74,2.29,4.59,7.33
02/03/1980,56.06,57.16,67.69,67.69,0.373,26.41,0.74,2.29,4.59,7.33
03/03/1980,55.42,56.49,66.8,66.8,0.315,28.08,0.8,2.46,4.92,7.86
04/03/1980,54.65,55.69,65.71,65.71,0.315,30.46,0.87,2.67,5.35,8.54
05/03/1980,53.82,54.83,64.56,64.56,0.315,29.29,0.88,2.7,5.4,8.63
06/03/1980,53.24,54.23,63.75,63.75,0.315,31.6,0.91,2.8,5.59,8.93
07/03/1980,53.64,54.64,64.3,64.3,0.562,33.23,0.9,2.79,5.58,8.91
08/03/1980,54.62,55.66,65.67,65.67,0.494,32.39,0.89,2.75,5.5,8.78
09/03/1980,55.56,56.64,67,67,0.494,32.93,0.98,3.01,6.02,9.62
10/03/1980,56.77,57.89,68.68,68.68,0.351,32.5,0.94,2.89,5.78,9.24
11/03/1980,57.03,58.16,69.04,69.04,0.351,31.87,0.91,2.79,5.58,8.92
12/03/1980,56.98,58.11,68.98,68.98,0.351,32.03,0.89,2.74,5.48,8.76
13/03/1980,56.54,57.65,68.36,68.36,0.436,30.99,0.84,2.6,5.19,8.29
14/03/1980,56.33,57.44,68.08,68.08,0.436,29.46,0.8,2.47,4.94,7.9
15/03/1980,56.19,57.29,67.88,67.88,0.436,29.32,0.79,2.44,4.88,7.79
16/03/1980,55.17,56.23,66.45,66.45,0.436,28.91,0.78,2.4,4.8,7.66
