TIMESTAMP,SAN JACINTO,KILPANI,LANDARA,PUNUTUMA
31/12/1979,109,0.9,0.9,0.9
01/01/1980,109,0.9,0.9,0.9
02/01/1980,53.63,0.81,0.81,0.81
03/01/1980,39.5,0.73,0.73,0.73
04/01/1980,33.68,0.65,0.65,0.65
05/01/1980,32.45,0.58,0.58,0.58
06/01/1980,34.83,0.53,0.53,0.53
07/01/1980,35.73,0.49,0.49,0.49
08/01/1980,37.9,0.46,0.46,0.46
09/01/1980,43.62,0.43,0.43,0.43
10/01/1980,53.62,0.42,0.42,0.42
11/01/1980,54.14,0.4,0.4,0.4
12/01/1980,42.28,0.4,0.4,0.4
13/01/1980,57.24,0.41,0.41,0.41
14/01/1980,61.55,0.4,0.4,0.4
15/01/1980,50.19,0.38,0.38,0.38
16/01/1980,41.74,0.36,0.36,0.36
17/01/1980,36.21,0.36,0.36,0.36
18/01/1980,40.43,0.36,0.36,0.36
19/01/1980,48.33,0.38,0.38,0.38
20/01/1980,68.31,0.48,0.48,0.48
21/01/1980,62.56,0.51,0.51,0.51
22/01/1980,40.46,0.51,0.51,0.51
23/01/1980,39.01,0.52,0.52,0.52
24/01/1980,41.38,0.5,0.5,0.5
25/01/1980,37.98,0.49,0.49,0.49
26/01/1980,31.78,0.46,0.46,0.46
27/01/1980,29.6,0.44,0.44,0.44
28/01/1980,41.12,0.49,0.49,0.49
29/01/1980,44.16,0.5,0.5,0.5
30/01/1980,34.07,0.46,0.46,0.46
31/01/1980,26.34,0.42,0.42,0.42
01/02/1980,22.08,0.41,0.41,0.41
02/02/1980,21.37,0.4,0.4,0.4
03/02/1980,23.05,0.39,0.39,0.39
04/02/1980,24.36,0.37,0.37,0.37
05/02/1980,23.17,0.35,0.35,0.35
06/02/1980,21.16,0.34,0.34,0.34
07/02/1980,19.84,0.34,0.34,0.34
08/02/1980,18.37,0.32,0.32,0.32
09/02/1980,16.93,0.31,0.31,0.31
10/02/1980,16.73,0.3,0.3,0.3
11/02/1980,16.6,0.32,0.32,0.32
12/02/1980,15.73,0.34,0.34,0.34
13/02/1980,15,0.34,0.34,0.34
14/02/1980,19.28,0.34,0.34,0.34
15/02/1980,37.89,0.39,0.39,0.39
16/02/1980,46.39,0.46,0.46,0.46
17/02/1980,35.19,0.47,0.47,0.47
18/02/1980,30.13,0.54,0.54,0.54
19/02/1980,47.59,0.57,0.57,0.57
20/02/1980,58.2,0.52,0.52,0.52
21/02/1980,49.31,0.48,0.48,0.48
22/02/1980,36.74,0.46,0.46,0.46
23/02/1980,27.01,0.43,0.43,0.43
24/02/1980,26.56,0.41,0.41,0.41
25/02/1980,33.72,0.39,0.39,0.39
26/02/1980,33.9,0.38,0.38,0.38
27/02/1980,28.37,0.37,0.37,0.37
28/02/1980,23.18,0.34,0.34,0.34
29/02/1980,23.18,0.34,0.34,0.34
01/03/1980,43.29,0.34,0.34,0.34
02/03/1980,52.54,0.35,0.35,0.35
03/03/1980,35.32,0.41,0.41,0.41
04/03/1980,25.19,0.45,0.45,0.45
05/03/1980,19.86,0.46,0.46,0.46
06/03/1980,34.34,0.48,0.48,0.48
07/03/1980,68.98,0.5,0.5,0.5
08/03/1980,75.77,0.53,0.53,0.53
09/03/1980,52.91,0.55,0.55,0.55
10/03/1980,42.71,0.55,0.55,0.55
11/03/1980,47.25,0.52,0.52,0.52
