,1980,1985,1990,1995,2000,2005,2010,2015,Baseline,Observed
Dec,0.191274457,0.188997267,0.188890373,0.189023338,0.188963374,0.189007696,0.188855015,0.18910416,0.189211054,0.191952514
Jan,0.193963578,0.189409198,0.189195411,0.189461341,0.189341412,0.189430055,0.18948334,0.189622985,0.189836772,0.188585336
Jan,0.1966527,0.189821129,0.189500448,0.189899343,0.18971945,0.189852415,0.190111665,0.190141809,0.190462489,0.185386747
Jan,0.199341821,0.19023306,0.189805486,0.190337346,0.190097487,0.190274774,0.19073999,0.190660633,0.191088207,0.182385842
Jan,0.202030942,0.19064499,0.190110523,0.190775348,0.190475525,0.190697134,0.191368315,0.191179458,0.191713925,0.179608315
Jan,0.204720063,0.191056921,0.190415561,0.191213351,0.190853563,0.191119493,0.19199664,0.191698282,0.192339643,0.177076579
Jan,0.207409184,0.191468852,0.190720598,0.191651353,0.191231601,0.191541853,0.192624965,0.192217107,0.192965361,0.174809888
Jan,0.210098306,0.191880783,0.191025635,0.192089356,0.191609639,0.191964212,0.19325329,0.192735931,0.193591079,0.172824453
Jan,0.212787427,0.192292714,0.191330673,0.192527358,0.191987677,0.192386572,0.193881615,0.193254755,0.194216796,0.171133559
Jan,0.215476548,0.192704645,0.19163571,0.192965361,0.192365714,0.192808931,0.19450994,0.19377358,0.194842514,0.169747689
Jan,0.218165669,0.193116576,0.191940748,0.193403363,0.192743752,0.193231291,0.195138265,0.194292404,0.195468232,0.168674641
Jan,0.22085479,0.193528507,0.192245785,0.193841366,0.19312179,0.19365365,0.19576659,0.194811228,0.19609395,0.167919644
Jan,0.223543912,0.193940438,0.192550823,0.194279368,0.193499828,0.19407601,0.196394915,0.195330053,0.196719668,0.167485482
Jan,0.226233033,0.194352369,0.19285586,0.194717371,0.193877866,0.194498369,0.19702324,0.195848877,0.197345385,0.167372608
Jan,0.228922154,0.194764299,0.193160898,0.195155373,0.194255904,0.194920729,0.197651565,0.196367701,0.197971103,0.167579268
Jan,0.231611275,0.19517623,0.193465935,0.195593376,0.194633942,0.195343088,0.19827989,0.196886526,0.198596821,0.168101616
Jan,0.234300396,0.195588161,0.193770972,0.196031378,0.195011979,0.195765448,0.198908215,0.19740535,0.199222539,0.168933835
Jan,0.236989518,0.196000092,0.19407601,0.196469381,0.195390017,0.196187807,0.19953654,0.197924174,0.199848257,0.170068254
Jan,0.239678639,0.196412023,0.194381047,0.196907383,0.195768055,0.196610167,0.200164865,0.198442999,0.200473975,0.171495471
Jan,0.24236776,0.196823954,0.194686085,0.197345385,0.196146093,0.197032527,0.200434544,0.198961823,0.201099692,0.173204467
Jan,0.245056881,0.197235885,0.194991122,0.197783388,0.196524131,0.197454886,0.200704222,0.199480648,0.20172541,0.175182728
Jan,0.247746002,0.197647816,0.19529616,0.19822139,0.196902169,0.197877246,0.200973901,0.199999472,0.202351128,0.177416364
Jan,0.250435124,0.198059747,0.195601197,0.198659393,0.197280207,0.198299605,0.20124358,0.200518296,0.202976846,0.179890228
Jan,0.253124245,0.198471678,0.195906234,0.199097395,0.197658244,0.198721965,0.201513259,0.201037121,0.203602564,0.182588032
Jan,0.255492686,0.198888823,0.196208665,0.199532791,0.198025854,0.199170396,0.202204156,0.201631553,0.204228281,0.18549247
Jan,0.257861126,0.199305968,0.196511095,0.199968186,0.198393463,0.199618827,0.202895053,0.202225984,0.204853999,0.188585336
Jan,0.260229567,0.199723113,0.196813525,0.200403581,0.198761072,0.200067258,0.20358595,0.202820416,0.205479717,0.19184764
Jan,0.262598008,0.200140258,0.197115956,0.200838977,0.199128681,0.200515689,0.204276846,0.203414848,0.206105435,0.195259731
Jan,0.264966449,0.200557404,0.197418386,0.201274372,0.19949629,0.20096412,0.204967743,0.20400928,0.206731153,0.198801414
Jan,0.26733489,0.200974549,0.197720816,0.201709767,0.1998639,0.201412551,0.20565864,0.204603712,0.207356871,0.202452069
Jan,0.269703331,0.201391694,0.198023246,0.202145163,0.200231509,0.201860982,0.206349537,0.205198144,0.207982588,0.20619077
Jan,0.272071771,0.201808839,0.198325677,0.202580558,0.200599118,0.202309413,0.207040433,0.205792576,0.208608306,0.209996405
Jan,0.274440212,0.202225984,0.198628107,0.203015953,0.200966727,0.202757845,0.20773133,0.206387008,0.209234024,0.213847793
Jan,0.276808653,0.20264313,0.198930537,0.203451349,0.201334337,0.203206276,0.208422227,0.20698144,0.209859742,0.217723806
Jan,0.279177094,0.203060275,0.199232968,0.203886744,0.201701946,0.203654707,0.209113124,0.207575872,0.21048546,0.221603484
Jan,0.281545535,0.20347742,0.199535398,0.204322139,0.202069555,0.204103138,0.20980402,0.208170304,0.211111177,0.225466158
Jan,0.283913975,0.203894565,0.199837828,0.204757534,0.202437164,0.204551569,0.210494917,0.208764736,0.211736895,0.229291567
Jan,0.286282416,0.204311711,0.200140258,0.20519293,0.202804773,0.205,0.211185814,0.209359168,0.212362613,0.233059976
Jan,0.288650857,0.204728856,0.200442689,0.205628325,0.203172383,0.205448431,0.211876711,0.2099536,0.212988331,0.236752296
Jan,0.291019298,0.205146001,0.200745119,0.20606372,0.203539992,0.205896862,0.212518474,0.210548031,0.213614049,0.240350205
Jan,0.293387739,0.205563146,0.201047549,0.206499116,0.203907601,0.206345293,0.213160238,0.211142463,0.214239767,0.243836263
