,1980,1985,1990,1995,2000,2005,2010,2015,Baseline,Observed
Dec,0.187066282,0.186219881,0.185958134,0.186144227,0.186140748,0.186054369,0.186385683,0.186034658,0.185765727,0.188912331
Jan,0.18900842,0.187315617,0.186792123,0.187164308,0.187157351,0.186984593,0.187647221,0.186945171,0.186539082,0.185124145
Jan,0.190950557,0.188411353,0.187626113,0.18818439,0.188173955,0.187914817,0.188908759,0.187855685,0.187312438,0.18152583
Jan,0.192892694,0.189507089,0.188460102,0.189204471,0.189190558,0.188845041,0.190170296,0.188766198,0.188085794,0.178150107
Jan,0.194834832,0.190602825,0.189294091,0.190224553,0.190207161,0.189775264,0.191431834,0.189676711,0.18885915,0.175025868
Jan,0.196776969,0.191698561,0.19012808,0.191244634,0.191223764,0.190705488,0.192693372,0.190587224,0.189632505,0.172178309
Jan,0.198719106,0.192794297,0.19096207,0.192264716,0.192240368,0.191635712,0.19395491,0.191497737,0.190405861,0.169629068
Jan,0.200661243,0.193890033,0.191796059,0.193284798,0.193256971,0.192565936,0.195216448,0.19240825,0.191179217,0.167396358
Jan,0.202603381,0.194985769,0.192630048,0.194304879,0.194273574,0.19349616,0.196477986,0.193318764,0.191952573,0.165495097
Jan,0.204545518,0.196081504,0.193464037,0.195324961,0.195290177,0.194426384,0.197739524,0.194229277,0.192725929,0.163937048
Jan,0.206487655,0.19717724,0.194298026,0.196345042,0.19630678,0.195356608,0.199001061,0.19513979,0.193499284,0.16273095
Jan,0.208429793,0.198272976,0.195132016,0.197365124,0.197323384,0.196286832,0.200262599,0.196050303,0.19427264,0.161882652
Jan,0.21037193,0.199368712,0.195966005,0.198385205,0.198339987,0.197217056,0.201524137,0.196960816,0.195045996,0.161395248
Jan,0.212314067,0.200464448,0.196799994,0.199405287,0.19935659,0.19814728,0.202785675,0.19787133,0.195819352,0.161269213
Jan,0.214256205,0.201560184,0.197633983,0.200425369,0.200373193,0.199077503,0.204047213,0.198781843,0.196592707,0.161502532
Jan,0.216198342,0.20265592,0.198467973,0.20144545,0.201389796,0.200007727,0.205308751,0.199692356,0.197366063,0.162090839
Jan,0.218140479,0.203751656,0.199301962,0.202465532,0.2024064,0.200937951,0.206570289,0.200602869,0.198139419,0.163027551
Jan,0.220082617,0.204847392,0.200135951,0.203485613,0.203423003,0.201868175,0.207831826,0.201513382,0.198912775,0.164303996
Jan,0.222024754,0.205943128,0.20096994,0.204505695,0.204439606,0.202798399,0.209093364,0.202423895,0.19968613,0.165909558
Jan,0.223966891,0.207038864,0.201803929,0.205525777,0.205456209,0.203728623,0.210354902,0.203334409,0.200324721,0.167831799
Jan,0.225909028,0.2081346,0.202637919,0.206545858,0.206472813,0.204658847,0.21161644,0.204244922,0.201098076,0.170056604
Jan,0.227851166,0.209230336,0.203471908,0.20756594,0.207489416,0.205589071,0.212877978,0.205155435,0.201819004,0.172568307
Jan,0.229793303,0.210326072,0.204305897,0.208586021,0.208506019,0.206519295,0.214139516,0.206065948,0.20259236,0.17534983
Jan,0.23173544,0.211421808,0.205139886,0.209606103,0.209522622,0.207449519,0.215401054,0.206976461,0.203365716,0.178382814
Jan,0.233677578,0.212566241,0.205956484,0.210702708,0.210511688,0.208376554,0.216624909,0.207898569,0.204139072,0.181647757
Jan,0.235619715,0.213710674,0.206773081,0.211799314,0.211500755,0.209303589,0.217848765,0.208820677,0.204912428,0.185124145
Jan,0.237561852,0.214855107,0.207589679,0.212895919,0.212489821,0.210230625,0.21907262,0.209742785,0.205685783,0.188790586
Jan,0.23950399,0.21599954,0.208406276,0.213992525,0.213478887,0.21115766,0.220296476,0.210664892,0.206459139,0.192624945
Jan,0.241446127,0.217143973,0.209222873,0.215089131,0.214467953,0.212084696,0.221520332,0.211587,0.207232495,0.196604481
Jan,0.243388264,0.218288406,0.210039471,0.216185736,0.215457019,0.213011731,0.222744187,0.212509108,0.208005851,0.200705976
Jan,0.245330402,0.219432839,0.210856068,0.217282342,0.216446085,0.213938766,0.223968043,0.213431215,0.208779206,0.204905873
Jan,0.247272539,0.220577272,0.211672666,0.218378947,0.217435152,0.214865802,0.225191898,0.214353323,0.209552562,0.209180407
Jan,0.249214676,0.221721705,0.212489263,0.219475553,0.218424218,0.215792837,0.226415754,0.215275431,0.210325918,0.213505743
Jan,0.251156814,0.222866138,0.21330586,0.220572158,0.219413284,0.216719873,0.22763961,0.216197539,0.211099274,0.217858107
Jan,0.253098951,0.224010571,0.214122458,0.221668764,0.22040235,0.217646908,0.228863465,0.217119646,0.211872629,0.222213923
Jan,0.255041088,0.225155004,0.214939055,0.222765369,0.221391416,0.218573943,0.230087321,0.218041754,0.212645985,0.226549942
Jan,0.256983225,0.226299437,0.215755653,0.223861975,0.222380483,0.219500979,0.231311176,0.218963862,0.213419341,0.230843383
Jan,0.258925363,0.22744387,0.21657225,0.22495858,0.223369549,0.220428014,0.232535032,0.219885969,0.214192697,0.235072062
Jan,0.2608675,0.228588303,0.217388848,0.226055186,0.224358615,0.22135505,0.233758888,0.220808077,0.214966053,0.239214528
Jan,0.262809637,0.229732736,0.218205445,0.227151791,0.225347681,0.222282085,0.234982743,0.221730185,0.215739408,0.243250198
Jan,0.264751775,0.230877169,0.219022042,0.228248397,0.226336747,0.22320912,0.236206599,0.222652293,0.216512764,0.247159488
Jan,0.266693912,0.232021602,0.21983864,0.229345002,0.227325813,0.224136156,0.237430454,0.2235744,0.21728612,0.250923953
Jan,0.268636049,0.233166035,0.220655237,0.230441608,0.22831488,0.225063191,0.23865431,0.224496508,0.218059476,0.254526414
Jan,0.270578187,0.234310468,0.221471835,0.231538214,0.229303946,0.225990227,0.239878166,0.225418616,0.218475192,0.257951098
Jan,0.272520324,0.235454901,0.222288432,0.232634819,0.230293012,0.226917262,0.241102021,0.226340723,0.218890908,0.261183768
Jan,0.274462461,0.236599334,0.223105029,0.233731425,0.231282078,0.227844297,0.242325877,0.227262831,0.219664264,0.26421186
Jan,0.276404599,0.237743767,0.223921627,0.23482803,0.232271144,0.228771333,0.243549732,0.228184939,0.22043762,0.267024617
Jan,0.278346736,0.2388882,0.224738224,0.235924636,0.233260211,0.229698368,0.244773588,0.229107047,0.221210975,0.26961322
Jan,0.28025206,0.240025386,0.225577721,0.23710936,0.234222319,0.230618737,0.246027879,0.230222203,0.221984414,0.271970927
Jan,0.282157385,0.241162573,0.226417217,0.238294084,0.235184428,0.231539105,0.247282171,0.23133736,0.222757852,0.274093203
Jan,0.28406271,0.242299759,0.227256714,0.239478808,0.236146537,0.232459474,0.248536462,0.232452517,0.223531291,0.275977853
Jan,0.285968034,0.243436946,0.228096211,0.240663532,0.237108646,0.233379842,0.249790753,0.233567674,0.22430473,0.277625088
Jan,0.287873359,0.244574132,0.228935707,0.241848256,0.238070755,0.234300211,0.251045044,0.234682831,0.225078168,0.279037419
Jan,0.289778684,0.245711318,0.229775204,0.24303298,0.239032864,0.235220579,0.252299336,0.235797987,0.225851607,0.280219485
Jan,0.291684008,0.246848505,0.230614701,0.244217704,0.239994973,0.236140948,0.253553627,0.236913144,0.226625045,0.28117788
Jan,0.293589333,0.247985691,0.231454197,0.245402428,0.240957082,0.237061316,0.254807918,0.238028301,0.227398484,0.281920976
Jan,0.295494658,0.249122878,0.232293694,0.246587152,0.241919191,0.237981685,0.256062209,0.239143458,0.228171923,0.282458754
Jan,0.297399982,0.250260064,0.233133191,0.247771876,0.242881299,0.238902054,0.257316501,0.240258615,0.228945361,0.282802624
Jan,0.299305307,0.251397251,0.233972687,0.2489566,0.243843408,0.239822422,0.258570792,0.241373771,0.2297188,0.282965256
Jan,0.301210632,0.252534437,0.234812184,0.250141324,0.244805517,0.240742791,0.259825083,0.242488928,0.230492238,0.282960402
Jan,0.303115956,0.253671623,0.23565168,0.251326048,0.245767626,0.241663159,0.261079375,0.243604085,0.231265677,0.282802723
Jan,0.305021281,0.25480881,0.236491177,0.252510772,0.246729735,0.242583528,0.262333666,0.244719242,0.232039116,0.282507614
Jan,0.306926606,0.255945996,0.237330674,0.253695496,0.247691844,0.243503896,0.263587957,0.245834399,0.232812554,0.282091032
