,1980,1985,1990,1995,2000,2005,2010,2015,Baseline,Observed
Dec,0.19282908,0.188430826,0.18909489,0.188471054,0.189215574,0.189296029,0.188792878,0.188605147,0.189497169,0.191952514
Jan,0.197072825,0.188276317,0.189604444,0.189195157,0.189845811,0.190006723,0.189000419,0.188624959,0.190409002,0.188585336
Jan,0.201316569,0.188121807,0.190113997,0.18991926,0.190476049,0.190717416,0.189207961,0.18864477,0.191320835,0.185386747
Jan,0.205560313,0.187967297,0.190623551,0.190643363,0.191106286,0.19142811,0.190253887,0.188664581,0.192232669,0.182385842
Jan,0.209804058,0.188651172,0.191133105,0.191367465,0.191736524,0.192138803,0.191299814,0.189522777,0.193144502,0.179608315
Jan,0.214047802,0.189335047,0.191642659,0.192091568,0.192366762,0.192849497,0.19234574,0.190380973,0.194056335,0.177076579
Jan,0.218291546,0.190018922,0.192152213,0.192815671,0.192996999,0.19356019,0.193391666,0.191239169,0.194968168,0.174809888
Jan,0.22253529,0.190702797,0.192661767,0.193539774,0.193627237,0.194270884,0.194437592,0.192097365,0.195880001,0.172824453
Jan,0.226779035,0.191386671,0.19317132,0.194263877,0.194257475,0.194981577,0.195483519,0.192955561,0.196791834,0.171133559
Jan,0.231022779,0.192070546,0.193680874,0.194987979,0.194887712,0.195692271,0.196529445,0.193813757,0.197703668,0.169747689
Jan,0.235266523,0.192754421,0.194190428,0.195712082,0.19551795,0.196402964,0.197575371,0.194671953,0.198615501,0.168674641
Jan,0.239510268,0.193438296,0.194699982,0.196436185,0.196148187,0.197113658,0.198621297,0.195530149,0.199527334,0.167919644
Jan,0.243754012,0.194122171,0.195209536,0.197160288,0.196778425,0.197824351,0.199667224,0.196388344,0.200439167,0.167485482
Jan,0.247997756,0.194806046,0.19571909,0.197884391,0.197408663,0.198535045,0.20071315,0.19724654,0.201351,0.167372608
Jan,0.252241501,0.195489921,0.196228643,0.198608493,0.1980389,0.199245738,0.201759076,0.197697109,0.202262833,0.167579268
Jan,0.256485245,0.196173795,0.196738197,0.199332596,0.198669138,0.199956432,0.202805002,0.19771692,0.203174666,0.168101616
Jan,0.260728989,0.19685767,0.197247751,0.200056699,0.199299376,0.200667125,0.203850929,0.197736731,0.2040865,0.168933835
Jan,0.264972734,0.197541545,0.197757305,0.200780802,0.199929613,0.201377819,0.204896855,0.197756542,0.204998333,0.170068254
Jan,0.269216478,0.19822542,0.198266859,0.201504905,0.200559851,0.202088512,0.205104397,0.197776354,0.205910166,0.171495471
Jan,0.273460222,0.19807091,0.198776412,0.202229007,0.201190088,0.202799206,0.205311938,0.197796165,0.206821999,0.173204467
Jan,0.277703966,0.197916401,0.199285966,0.20295311,0.201820326,0.203509899,0.20551948,0.197815976,0.207733832,0.175182728
Jan,0.281947711,0.197761891,0.19979552,0.203677213,0.202450564,0.204220593,0.205727022,0.197835788,0.208645665,0.177416364
Jan,0.286191455,0.198445766,0.200305074,0.204401316,0.203080801,0.204931286,0.205934563,0.197855599,0.209557499,0.179890228
Jan,0.290435199,0.199129641,0.200814628,0.205125419,0.203711039,0.20564198,0.206142105,0.19787541,0.210469332,0.182588032
Jan,0.294142571,0.199826925,0.201310772,0.205849521,0.204327867,0.206392901,0.207295306,0.198029315,0.211381165,0.18549247
Jan,0.297849943,0.200524209,0.201806917,0.206573624,0.204944696,0.207143823,0.208448506,0.199021604,0.212292998,0.188585336
Jan,0.301557315,0.201221493,0.202303061,0.207297727,0.205561524,0.207894744,0.209601707,0.200013893,0.213204831,0.19184764
Jan,0.305264687,0.201918777,0.202799206,0.20802183,0.206178352,0.208645665,0.210754908,0.201006182,0.214116664,0.195259731
Jan,0.308972059,0.202616061,0.20329535,0.208745933,0.20679518,0.209396587,0.211908109,0.201998471,0.215028497,0.198801414
Jan,0.312679431,0.203313346,0.203791495,0.209470035,0.207412009,0.210147508,0.213061309,0.20299076,0.215940331,0.202452069
Jan,0.316386802,0.20401063,0.204287639,0.210194138,0.208028837,0.21089843,0.21421451,0.203983049,0.216852164,0.20619077
Jan,0.320094174,0.204707914,0.204783784,0.210918241,0.208645665,0.211649351,0.215367711,0.204975338,0.217763997,0.209996405
Jan,0.323801546,0.205405198,0.205279928,0.211642344,0.209262494,0.212400273,0.215682527,0.205967627,0.21867583,0.213847793
Jan,0.327508918,0.206102482,0.205776073,0.212366447,0.209879322,0.213151194,0.215997343,0.206959916,0.219587663,0.217723806
Jan,0.33121629,0.206799767,0.206272217,0.213090549,0.21049615,0.213902115,0.216312159,0.207952205,0.220499496,0.221603484
Jan,0.334923662,0.207497051,0.206768362,0.213814652,0.211112979,0.214653037,0.216626976,0.208944494,0.22141133,0.225466158
Jan,0.338631034,0.208194335,0.207264506,0.214538755,0.211729807,0.215403958,0.216941792,0.209936783,0.222323163,0.229291567
Jan,0.342338405,0.208891619,0.207760651,0.215262858,0.212346635,0.21615488,0.217256608,0.210929072,0.223234996,0.233059976
Jan,0.346045777,0.209588903,0.208256795,0.215986961,0.212963464,0.216905801,0.217571424,0.211921361,0.223308444,0.236752296
