,1980,1985,1990,1995,2000,2005,2010,2015,Baseline,Observed
Dec,0.413034014,0.404157669,0.404270573,0.403534013,0.404025053,0.405638852,0.405264631,0.406204264,0.404685447,0.406976404
Jan,0.42131112,0.403558432,0.403784238,0.40231112,0.403293199,0.406520797,0.405772355,0.407651622,0.404613987,0.404756907
Jan,0.429588227,0.402959194,0.403297904,0.401088226,0.402561344,0.407402742,0.40628008,0.409098979,0.404542527,0.402648481
Jan,0.437865334,0.402359956,0.402811569,0.399865332,0.403326577,0.408284688,0.40686043,0.410546336,0.404471067,0.400670307
Jan,0.446142441,0.401760718,0.402325235,0.398642439,0.40409181,0.409166633,0.407440781,0.411993694,0.404399607,0.398839325
Jan,0.454419547,0.401998916,0.4018389,0.398285513,0.404857043,0.410914546,0.408021399,0.413441051,0.404328147,0.397170316
Jan,0.462696654,0.402896765,0.401608241,0.398559706,0.405622276,0.413293578,0.409166561,0.416385496,0.405753775,0.395675976
Jan,0.472470848,0.403794615,0.401121906,0.3988339,0.406387509,0.41567261,0.410311722,0.41932994,0.407179402,0.394366997
Jan,0.482245042,0.404692464,0.400635572,0.399108093,0.407152742,0.418051643,0.411456883,0.422274385,0.408605029,0.393252145
Jan,0.490522149,0.405590314,0.400149237,0.399382287,0.407917975,0.420430675,0.412602045,0.425218829,0.410030657,0.392338339
Jan,0.498799255,0.406488163,0.399662903,0.399656481,0.408683208,0.422297003,0.413747206,0.428163274,0.411456284,0.391630726
Jan,0.507076362,0.407386013,0.399176568,0.398433587,0.409448441,0.423178948,0.414892367,0.429610631,0.412881911,0.391132763
Jan,0.515353469,0.408283862,0.398690234,0.39870778,0.410213674,0.424060893,0.416037529,0.431057989,0.414307539,0.390846296
Jan,0.523630576,0.409181712,0.398203899,0.398981974,0.410978907,0.424942838,0.41718269,0.432505346,0.414236079,0.390771633
Jan,0.531907682,0.410079561,0.397717565,0.399256168,0.41174414,0.425824783,0.418327852,0.433952703,0.414164619,0.39090763
Jan,0.540184789,0.410977411,0.39723123,0.399530361,0.412509373,0.426706728,0.419473013,0.435400061,0.414093159,0.391251761
Jan,0.548461896,0.41187526,0.396744896,0.399804555,0.413274606,0.427588673,0.420618174,0.436847418,0.414021699,0.391800203
Jan,0.556739003,0.41277311,0.396258561,0.400078748,0.414039839,0.428470619,0.421763336,0.438294775,0.413950239,0.392547911
Jan,0.565016109,0.412173872,0.395772227,0.398855855,0.413307985,0.429352564,0.42141141,0.439742133,0.413878779,0.393488699
