,1980,1985,1990,1995,2000,2005,2010,2015,Baseline,Observed
Dec,0.254755036,0.249878205,0.251425308,0.250009626,0.251322388,0.251593147,0.250118879,0.250046044,0.251798987,0.254215583
Jan,0.258730786,0.248977123,0.25207133,0.249848907,0.251865489,0.252407008,0.250067415,0.249921743,0.252818688,0.250779286
Jan,0.262706536,0.249824235,0.252717352,0.25082744,0.252408591,0.253220869,0.250459351,0.250936694,0.253838389,0.247515228
Jan,0.266682286,0.250671347,0.253363373,0.251805973,0.252951693,0.254034729,0.251547138,0.251951645,0.254858091,0.244453088
Jan,0.270658036,0.251518459,0.254009395,0.252784506,0.253494794,0.25484859,0.252634925,0.252966596,0.255877792,0.241619075
Jan,0.274633787,0.252365571,0.254655417,0.253763039,0.254037896,0.255662451,0.253722712,0.253981547,0.256897493,0.239036045
Jan,0.278609537,0.253212683,0.255301439,0.254741573,0.254580998,0.256476312,0.254810498,0.254996498,0.257917194,0.236723625
Jan,0.282585287,0.254059795,0.255947461,0.255720106,0.2551241,0.257290173,0.255898285,0.256011449,0.258936895,0.234698335
Jan,0.286561037,0.254906907,0.256593483,0.256698639,0.255667201,0.258104034,0.256986072,0.2570264,0.259956596,0.232973707
Jan,0.290536787,0.255754019,0.257239504,0.257677172,0.256210303,0.258917895,0.258073859,0.258041351,0.260976297,0.231560412
Jan,0.294512537,0.256601131,0.257885526,0.258655705,0.256753405,0.259731755,0.259161646,0.259056302,0.261995999,0.230466374
Jan,0.298488287,0.257448243,0.258531548,0.259634238,0.257296506,0.260545616,0.260249432,0.260071253,0.2630157,0.229696899
Jan,0.302464037,0.258295355,0.25917757,0.260612771,0.257839608,0.261359477,0.261337219,0.261086204,0.264035401,0.229254794
Jan,0.306439787,0.259142467,0.259823592,0.261591304,0.25838271,0.262173338,0.262425006,0.262101155,0.265055102,0.229140487
Jan,0.310415537,0.259989579,0.260469614,0.262569837,0.258925811,0.262987199,0.263512793,0.263116106,0.266074803,0.229352151
Jan,0.314391287,0.260836691,0.261115636,0.26354837,0.259468913,0.26380106,0.264600579,0.264131057,0.267094504,0.229885824
Jan,0.318367037,0.261683803,0.261761657,0.264526903,0.260012015,0.26461492,0.265688366,0.265146008,0.268114205,0.230735532
Jan,0.322342788,0.262530915,0.262407679,0.264312459,0.260555117,0.265428781,0.266776153,0.266160959,0.269133907,0.231893412
Jan,0.326318538,0.263378027,0.263053701,0.263542798,0.261098218,0.266242642,0.266115746,0.266036658,0.270153608,0.233349828
Jan,0.330294288,0.262476945,0.263699723,0.262773138,0.26164132,0.267056503,0.26545534,0.265303416,0.269425115,0.235093501
Jan,0.334270038,0.261575864,0.264345745,0.262003477,0.262184422,0.267870364,0.264794933,0.264570173,0.268696623,0.237111623
Jan,0.338245788,0.262422976,0.264991767,0.26298201,0.262727523,0.268684225,0.264743468,0.265585124,0.267968131,0.239389985
Jan,0.342221538,0.263270088,0.265637788,0.263960544,0.263270625,0.269498086,0.264692003,0.266600075,0.268987832,0.241913093
Jan,0.346197288,0.2641172,0.26628381,0.264939077,0.263813727,0.270311946,0.26577979,0.267615026,0.270007533,0.244664293
Jan,0.349324343,0.26500548,0.266952,0.266014196,0.264361579,0.271132141,0.266934079,0.268702813,0.271027234,0.247625894
Jan,0.352451397,0.26589376,0.267620189,0.267089316,0.26490943,0.271952335,0.268088368,0.2697906,0.272046935,0.250779286
Jan,0.355578452,0.26678204,0.268288378,0.268164436,0.265457282,0.27277253,0.269242657,0.270878386,0.273066637,0.254105064
Jan,0.358705507,0.26767032,0.268956567,0.269239555,0.266005134,0.273592724,0.270396946,0.271966173,0.274086338,0.257583151
Jan,0.361832562,0.2685586,0.269624757,0.270314675,0.266552986,0.274412918,0.271551235,0.27305396,0.275106039,0.261192914
Jan,0.364959616,0.26944688,0.270292946,0.271389795,0.267100838,0.275233113,0.272705524,0.274141747,0.27612574,0.264913294
Jan,0.368086671,0.27033516,0.270961135,0.272464914,0.26764869,0.276053307,0.273859813,0.275229534,0.277145441,0.26872292
