,1980,1985,1990,1995,2000,2005,2010,2015,Baseline,Observed
Dec,0.252507979,0.25118058,0.251083564,0.251242318,0.251035056,0.251162941,0.251295236,0.251259957,0.251392252,0.254215583
Jan,0.254236672,0.251581875,0.251387842,0.25170535,0.251290826,0.251546596,0.251811186,0.251740628,0.252005218,0.250779286
Jan,0.255965365,0.251983169,0.25169212,0.252168381,0.251546596,0.251930251,0.252327135,0.252221299,0.252618184,0.247515228
Jan,0.257694058,0.252384463,0.251996398,0.252631413,0.251802366,0.252313906,0.252843085,0.252701971,0.25323115,0.244453088
Jan,0.259422752,0.252785757,0.252300676,0.253094445,0.252058136,0.252697561,0.253359035,0.253182642,0.253844116,0.241619075
Jan,0.261151445,0.253187052,0.252604954,0.253557477,0.252313906,0.253081216,0.253874985,0.253663313,0.254457082,0.239036045
Jan,0.262880138,0.253588346,0.252909232,0.254020509,0.252569676,0.253464871,0.254390934,0.254143984,0.255070048,0.236723625
Jan,0.264608831,0.25398964,0.25321351,0.254483541,0.252825446,0.253848526,0.254906884,0.254624655,0.255683014,0.234698335
Jan,0.266337524,0.254390934,0.253517789,0.254946572,0.253081216,0.254232181,0.255422834,0.255105326,0.25629598,0.232973707
Jan,0.268066217,0.254792229,0.253822067,0.255409604,0.253336986,0.254615835,0.255938784,0.255585997,0.256908945,0.231560412
Jan,0.26979491,0.255193523,0.254126345,0.255872636,0.253592756,0.25499949,0.256454733,0.256066669,0.257521911,0.230466374
Jan,0.271523603,0.255594817,0.254430623,0.256335668,0.253848526,0.255383145,0.256970683,0.25654734,0.258134877,0.229696899
Jan,0.273252296,0.255996111,0.254734901,0.2567987,0.254104296,0.2557668,0.257486633,0.257028011,0.258747843,0.229254794
Jan,0.274980989,0.256397406,0.255039179,0.257261732,0.254360065,0.256150455,0.258002583,0.257508682,0.259360809,0.229140487
Jan,0.276709683,0.2567987,0.255343457,0.257724763,0.254615835,0.25653411,0.258518532,0.257989353,0.259973775,0.229352151
Jan,0.278438376,0.257199994,0.255647735,0.258187795,0.254871605,0.256917765,0.259034482,0.258470024,0.260586741,0.229885824
Jan,0.280167069,0.257601288,0.255952013,0.258650827,0.255127375,0.25730142,0.259550432,0.258950695,0.261199707,0.230735532
Jan,0.281895762,0.258002583,0.256256291,0.259113859,0.255383145,0.257685075,0.260066382,0.259431366,0.261812673,0.231893412
Jan,0.283624455,0.258403877,0.256560569,0.259576891,0.255638915,0.25806873,0.260582331,0.259912038,0.262425639,0.233349828
Jan,0.285353148,0.258805171,0.256864847,0.260039923,0.255894685,0.258452385,0.261098281,0.260392709,0.263038605,0.235093501
Jan,0.287081841,0.259206465,0.257169125,0.260502954,0.256150455,0.25883604,0.261614231,0.26087338,0.263651571,0.237111623
Jan,0.288810534,0.25960776,0.257473403,0.260965986,0.256406225,0.259219695,0.262130181,0.261354051,0.264264537,0.239389985
Jan,0.290539227,0.260009054,0.257777681,0.261429018,0.256661995,0.25960335,0.26264613,0.261834722,0.264877503,0.241913093
Jan,0.29226792,0.260410348,0.258081959,0.26189205,0.256917765,0.259987005,0.26316208,0.262315393,0.265490469,0.244664293
Jan,0.293595319,0.260833691,0.258399467,0.26240359,0.257177945,0.260375069,0.263708899,0.262831343,0.266103435,0.247625894
Jan,0.294922718,0.261257035,0.258716974,0.26291513,0.257438125,0.260763134,0.264255717,0.263347293,0.266716401,0.250779286
Jan,0.296250117,0.261680378,0.259034482,0.26342667,0.257698304,0.261151199,0.264802536,0.263863243,0.267329367,0.254105064
Jan,0.297577516,0.262103722,0.25935199,0.26393821,0.257958484,0.261539264,0.265349354,0.264379192,0.267942332,0.257583151
Jan,0.298904915,0.262527065,0.259669497,0.26444975,0.258218664,0.261927329,0.265896173,0.264895142,0.268555298,0.261192914
Jan,0.300232314,0.262950408,0.259987005,0.264961289,0.258478844,0.262315393,0.266442991,0.265411092,0.269168264,0.264913294
Jan,0.301559712,0.263373752,0.260304512,0.265472829,0.258739024,0.262703458,0.26698981,0.265927042,0.26978123,0.26872292
Jan,0.302887111,0.263797095,0.26062202,0.265984369,0.258999203,0.263091523,0.267536628,0.266442991,0.270394196,0.272600236
Jan,0.30421451,0.264220439,0.260939527,0.266495909,0.259259383,0.263479588,0.268083447,0.266958941,0.271007162,0.276523621
Jan,0.305541909,0.264643782,0.261257035,0.267007449,0.259519563,0.263867652,0.268630265,0.267474891,0.271620128,0.280471508
Jan,0.306869308,0.265067125,0.261574542,0.267518989,0.259779743,0.264255717,0.269177084,0.267990841,0.272233094,0.284422511
Jan,0.308196707,0.265490469,0.26189205,0.268030529,0.260039923,0.264643782,0.269723903,0.26850679,0.27284606,0.288355543
Jan,0.309524106,0.265913812,0.262209557,0.268542069,0.260300102,0.265031847,0.270270721,0.26902274,0.273459026,0.292249936
Jan,0.310851504,0.266337155,0.262527065,0.269053609,0.260560282,0.265419911,0.27081754,0.26953869,0.274071992,0.29608557
Jan,0.312178903,0.266760499,0.262844573,0.269565149,0.260820462,0.265807976,0.271364358,0.27005464,0.274684958,0.299842986
Jan,0.313506302,0.267183842,0.26316208,0.270076689,0.261080642,0.266196041,0.271911177,0.270570589,0.275297924,0.303503513
Jan,0.314833701,0.267607186,0.263479588,0.270588229,0.261340822,0.266584106,0.272457995,0.271086539,0.27591089,0.307049389
Jan,0.3161611,0.268030529,0.263797095,0.271099769,0.261601001,0.266972171,0.273004814,0.271602489,0.276523856,0.310463881
Jan,0.317488499,0.268453872,0.264114603,0.271611309,0.261861181,0.267360235,0.273551632,0.272118439,0.277136822,0.313731409
Jan,0.318815897,0.268877216,0.26443211,0.272122848,0.262121361,0.2677483,0.274098451,0.272634388,0.277749788,0.316837664
Jan,0.320143296,0.269300559,0.264749618,0.272634388,0.262381541,0.268136365,0.274645269,0.273150338,0.278362754,0.319769735
Jan,0.321470695,0.269723903,0.265067125,0.273145928,0.26264172,0.26852443,0.275192088,0.273666288,0.27897572,0.322516227
Jan,0.322798094,0.270147246,0.265384633,0.273657468,0.2629019,0.268912494,0.275738907,0.274182238,0.279588685,0.325067382
Jan,0.324125493,0.270570589,0.26570214,0.274169008,0.26316208,0.269300559,0.276285725,0.274698187,0.280201651,0.327415204
Jan,0.325285318,0.271029211,0.266024058,0.274693778,0.263435489,0.269679804,0.27692515,0.275183268,0.280813531,0.329553578
Jan,0.326445144,0.271487833,0.266345975,0.275218547,0.263708899,0.270059049,0.277564575,0.275668349,0.28142541,0.331478393
Jan,0.327604969,0.271946455,0.266667892,0.275743316,0.263982308,0.270438295,0.278204,0.27615343,0.282037289,0.333187662
Jan,0.328764795,0.272405077,0.26698981,0.276268086,0.264255717,0.27081754,0.278843425,0.276638511,0.282649169,0.334681577
Jan,0.32992462,0.272863699,0.267311727,0.276792855,0.264529126,0.271196785,0.27948285,0.277123592,0.283261048,0.335962421
Jan,0.331084445,0.273322321,0.267633645,0.277317625,0.264802536,0.27157603,0.280122275,0.277608673,0.283872927,0.337034403
Jan,0.332244271,0.273780943,0.267955562,0.277842394,0.265075945,0.271955275,0.280761699,0.278093754,0.284484806,0.337903508
Jan,0.333404096,0.274239565,0.268277479,0.278367163,0.265349354,0.27233452,0.281401124,0.278578835,0.285096686,0.338577335
Jan,0.334563922,0.274698187,0.268599397,0.278891933,0.265622763,0.272713765,0.282040549,0.279063916,0.285708565,0.33906494
Jan,0.335723747,0.275156809,0.268921314,0.279416702,0.265896173,0.27309301,0.282679974,0.279548997,0.286320444,0.339376677
Jan,0.336883573,0.275615431,0.269243231,0.279941472,0.266169582,0.273472255,0.283319399,0.280034078,0.286932324,0.33952404
Jan,0.338043398,0.276074053,0.269565149,0.280466241,0.266442991,0.273851501,0.283958824,0.280519159,0.287544203,0.339519508
Jan,0.339203223,0.276532675,0.269887066,0.28099101,0.266716401,0.274230746,0.284598249,0.28100424,0.288156082,0.339376382
Jan,0.340363049,0.276991297,0.270208984,0.28151578,0.26698981,0.274609991,0.285237674,0.281489321,0.288767961,0.339108631
Jan,0.341522874,0.277449919,0.270530901,0.282040549,0.267263219,0.274989236,0.285877099,0.281974402,0.289379841,0.33873073
Jan,0.3426827,0.277908541,0.270852818,0.282565319,0.267536628,0.275368481,0.286516524,0.282459483,0.28999172,0.338257506
Jan,0.343842525,0.278367163,0.271174736,0.283090088,0.267810038,0.275747726,0.287155948,0.282944564,0.290603599,0.337703979
Jan,0.345002351,0.278825785,0.271496653,0.283614857,0.268083447,0.276126971,0.287795373,0.283429645,0.291215479,0.337085202
Jan,0.346162176,0.279284407,0.27181857,0.284139627,0.268356856,0.276506216,0.288434798,0.283914726,0.291827358,0.336416103
Jan,0.347322001,0.279743029,0.272140488,0.284664396,0.268630265,0.276885462,0.289074223,0.284399807,0.292439237,0.33571133
Jan,0.348481827,0.280201651,0.272462405,0.285189166,0.268903675,0.277264707,0.289713648,0.284884888,0.293051117,0.334985089
Jan,0.349641652,0.280660273,0.272784322,0.285713935,0.269177084,0.277643952,0.290353073,0.285369969,0.293662996,0.33425099
Jan,0.350801478,0.281118895,0.27310624,0.286238705,0.269450493,0.278023197,0.290992498,0.28585505,0.294274875,0.333521884
Jan,0.351961303,0.281577517,0.273428157,0.286763474,0.269723903,0.278402442,0.291631923,0.286340131,0.294886754,0.332809711
Jan,0.353107899,0.282058189,0.273763304,0.287270604,0.270014951,0.278768458,0.292288987,0.286811982,0.295498634,0.332125335
Jan,0.354254495,0.28253886,0.274098451,0.287777734,0.270306,0.279134473,0.292946051,0.287283833,0.296110513,0.331478393
Jan,0.355401091,0.283019531,0.274433598,0.288284864,0.270597048,0.279500489,0.293603115,0.287755685,0.296722392,0.330877133
Jan,0.356547687,0.283500202,0.274768745,0.288791994,0.270888097,0.279866505,0.29426018,0.288227536,0.297334272,0.330328316
Jan,0.357694283,0.283980873,0.275103891,0.289299124,0.271179145,0.28023252,0.294917244,0.288699388,0.297946151,0.329837245
Jan,0.358840879,0.284461544,0.275439038,0.289806255,0.271470194,0.280598536,0.295574308,0.289171239,0.29855803,0.329407855
Jan,0.359987475,0.284942215,0.275774185,0.290313385,0.271761243,0.280964551,0.296231372,0.289643091,0.299169909,0.329042801
Jan,0.361134071,0.285422887,0.276109332,0.290820515,0.272052291,0.281330567,0.296888437,0.290114942,0.299781789,0.328743547
Jan,0.362280667,0.285903558,0.276444479,0.291327645,0.27234334,0.281696583,0.297545501,0.290586794,0.300393668,0.32851045
Jan,0.363427263,0.286384229,0.276779626,0.291834775,0.272634388,0.282062598,0.298202565,0.291058645,0.301005547,0.328342856
Jan,0.364573859,0.2868649,0.277114773,0.292341905,0.272925437,0.282428614,0.298859629,0.291530497,0.301617427,0.328239185
Jan,0.365720454,0.287345571,0.277449919,0.292849035,0.273216486,0.28279463,0.299516693,0.292002348,0.302229306,0.328197019
Jan,0.36686705,0.287826242,0.277785066,0.293356165,0.273507534,0.283160645,0.300173758,0.2924742,0.302841185,0.328213191
Jan,0.368013646,0.288306913,0.278120213,0.293863295,0.273798583,0.283526661,0.300830822,0.292946051,0.303453064,0.328283876
Jan,0.369160242,0.288787584,0.27845536,0.294370425,0.274089631,0.283892677,0.301487886,0.293417903,0.304064944,0.328404677
Jan,0.370306838,0.289268256,0.278790507,0.294877555,0.27438068,0.284258692,0.30214495,0.293889754,0.304676823,0.328570715
Jan,0.371453434,0.289748927,0.279125654,0.295384686,0.274671728,0.284624708,0.302802014,0.294361606,0.305288702,0.328776717
Jan,0.37260003,0.290229598,0.2794608,0.295891816,0.274962777,0.284990723,0.303459079,0.294833457,0.305900582,0.329017105
Jan,0.373746626,0.290710269,0.279795947,0.296398946,0.275253826,0.285356739,0.304116143,0.295305309,0.306512461,0.329286085
Jan,0.374893222,0.29119094,0.280131094,0.296906076,0.275544874,0.285722755,0.304773207,0.29577716,0.30712434,0.329577736
Jan,0.376039818,0.291671611,0.280466241,0.297413206,0.275835923,0.28608877,0.305430271,0.296249012,0.30773622,0.329886097
Jan,0.377186414,0.292152282,0.280801388,0.297920336,0.276126971,0.286454786,0.306087336,0.296720863,0.308348099,0.330205258
Jan,0.37833301,0.292632954,0.281136535,0.298427466,0.27641802,0.286820802,0.3067444,0.297192715,0.308959978,0.330529446
Jan,0.379479606,0.293113625,0.281471682,0.298934596,0.276709068,0.287186817,0.307401464,0.297664566,0.309571857,0.330853117
Jan,0.38040571,0.293620755,0.281824468,0.299432907,0.277004527,0.287539603,0.30800561,0.298171696,0.310183737,0.331171041
Jan,0.381331815,0.294127885,0.282177254,0.299931217,0.277299985,0.28789239,0.308609757,0.298678826,0.310795616,0.331478393
Jan,0.38225792,0.294635015,0.28253004,0.300429528,0.277595444,0.288245176,0.309213903,0.299185956,0.311407495,0.331770842
Jan,0.383184024,0.295142145,0.282882826,0.300927838,0.277890902,0.288597962,0.309818049,0.299693087,0.312019375,0.33204461
Jan,0.384110129,0.295649275,0.283235612,0.301426149,0.27818636,0.288950748,0.310422195,0.300200217,0.312631254,0.332296479
