,1980,1985,1990,1995,2000,2005,2010,2015,Baseline,Observed
Dec,0.249973067,0.250912619,0.250879286,0.250934841,0.250868175,0.250901508,0.250945953,0.250934841,0.251490397,0.254215583
Jan,0.250861955,0.251045953,0.250979286,0.251090397,0.250957064,0.25102373,0.251112619,0.251090397,0.252201508,0.250779286
Jan,0.251750844,0.251179286,0.251079286,0.251245952,0.251045953,0.251145953,0.251279286,0.251245952,0.252912618,0.247515228
Jan,0.252639732,0.251312619,0.251179286,0.251401508,0.251134841,0.251268175,0.251445952,0.251401508,0.253623729,0.244453088
Jan,0.253528621,0.251445952,0.251279286,0.251557063,0.25122373,0.251390397,0.251612619,0.251557063,0.25433484,0.241619075
Jan,0.254417509,0.251579286,0.251379286,0.251712619,0.251312619,0.251512619,0.251779286,0.251712619,0.255045951,0.239036045
Jan,0.255306398,0.251712619,0.251479286,0.251868174,0.251401508,0.251634841,0.251945952,0.251868174,0.255757062,0.236723625
Jan,0.256195286,0.251845952,0.251579286,0.25202373,0.251490397,0.251757063,0.252112619,0.25202373,0.256468173,0.234698335
Jan,0.257084175,0.251979286,0.251679286,0.252179285,0.251579286,0.251879286,0.252279285,0.252179285,0.257179283,0.232973707
Jan,0.257973063,0.252112619,0.251779286,0.252334841,0.251668175,0.252001508,0.252445952,0.252334841,0.257890394,0.231560412
Jan,0.258861952,0.252245952,0.251879286,0.252490396,0.251757063,0.25212373,0.252612619,0.252490396,0.258601505,0.230466374
Jan,0.25975084,0.252379285,0.251979286,0.252645952,0.251845952,0.252245952,0.252779285,0.252645952,0.259312616,0.229696899
Jan,0.260639729,0.252512619,0.252079285,0.252801507,0.251934841,0.252368174,0.252945952,0.252801507,0.260023727,0.229254794
Jan,0.261528617,0.252645952,0.252179285,0.252957063,0.25202373,0.252490396,0.253112618,0.252957063,0.260734838,0.229140487
Jan,0.262417506,0.252779285,0.252279285,0.253112618,0.252112619,0.252612619,0.253279285,0.253112618,0.261445948,0.229352151
Jan,0.263306394,0.252912618,0.252379285,0.253268174,0.252201508,0.252734841,0.253445952,0.253268174,0.262157059,0.229885824
