,CORANI,MISICUNI,MIGUILLA,ANGOSTURA
Dec ,0.185124145,0.464863609,0.188585336,0.173106125
Jan ,0.185124145,0.464863609,0.188585336,0.173106125
Jan ,0.185124145,0.464863609,0.188585336,0.173106125
Jan ,0.274093203,0.499231262,0.267890833,0.23250097
Jan ,0.274093203,0.499231262,0.267890833,0.23250097
Jan ,0.274093203,0.499231262,0.267890833,0.23250097
Jan ,0.274093203,0.499231262,0.267890833,0.23250097
Jan ,0.274093203,0.499231262,0.267890833,0.23250097
Jan ,0.274093203,0.499231262,0.267890833,0.23250097
Jan ,0.274093203,0.499231262,0.267890833,0.23250097
Jan ,0.344468568,0.555605381,0.377052144,0.320344168
Jan ,0.344468568,0.555605381,0.377052144,0.320344168
Jan ,0.344468568,0.555605381,0.377052144,0.320344168
Jan ,0.344468568,0.555605381,0.377052144,0.320344168
Jan ,0.344468568,0.555605381,0.377052144,0.320344168
Jan ,0.344468568,0.555605381,0.377052144,0.320344168
Jan ,0.344468568,0.555605381,0.377052144,0.320344168
Jan ,0.421533958,0.59103139,0.4962989,0.420361031
Jan ,0.421533958,0.59103139,0.4962989,0.420361031
Jan ,0.421533958,0.59103139,0.4962989,0.420361031
Jan ,0.421533958,0.59103139,0.4962989,0.420361031
Jan ,0.421533958,0.59103139,0.4962989,0.420361031
Jan ,0.421533958,0.59103139,0.4962989,0.420361031
Jan ,0.421533958,0.59103139,0.4962989,0.420361031
Jan ,0.455392607,0.627930814,0.579201102,0.527490415
Jan ,0.455392607,0.627930814,0.579201102,0.527490415
Jan ,0.455392607,0.627930814,0.579201102,0.527490415
Jan ,0.455392607,0.627930814,0.579201102,0.527490415
Jan ,0.455392607,0.627930814,0.579201102,0.527490415
Jan ,0.455392607,0.627930814,0.579201102,0.527490415
Jan ,0.455392607,0.627930814,0.579201102,0.527490415
Jan ,0.489884637,0.647982063,0.627365262,0.613488594
Feb ,0.489884637,0.647982063,0.627365262,0.613488594
Feb ,0.489884637,0.647982063,0.627365262,0.613488594
Feb ,0.489884637,0.647982063,0.627365262,0.613488594
Feb ,0.489884637,0.647982063,0.627365262,0.613488594
Feb ,0.489884637,0.647982063,0.627365262,0.613488594
Feb ,0.489884637,0.647982063,0.627365262,0.613488594
Feb ,0.553761568,0.688212684,0.716732958,0.654524125
Feb ,0.553761568,0.688212684,0.716732958,0.654524125
Feb ,0.553761568,0.688212684,0.716732958,0.654524125
Feb ,0.553761568,0.688212684,0.716732958,0.654524125
Feb ,0.553761568,0.688212684,0.716732958,0.654524125
Feb ,0.553761568,0.688212684,0.716732958,0.654524125
Feb ,0.553761568,0.688212684,0.716732958,0.654524125
Feb ,0.656353278,0.753619475,0.954666961,0.737979282
Feb ,0.656353278,0.753619475,0.954666961,0.737979282
Feb ,0.656353278,0.753619475,0.954666961,0.737979282
Feb ,0.656353278,0.753619475,0.954666961,0.737979282
Feb ,0.656353278,0.753619475,0.954666961,0.737979282
Feb ,0.656353278,0.753619475,0.954666961,0.737979282
Feb ,0.656353278,0.753619475,0.954666961,0.737979282
Feb ,0.738785841,0.795685886,0.954187639,0.813498806
Feb ,0.738785841,0.795685886,0.954187639,0.813498806
Feb ,0.738785841,0.795685886,0.954187639,0.813498806
Feb ,0.738785841,0.795685886,0.954187639,0.813498806
Feb ,0.738785841,0.795685886,0.954187639,0.813498806
Feb ,0.738785841,0.795685886,0.954187639,0.813498806
Feb ,0.738785841,0.795685886,0.954187639,0.813498806
