,SISTEMA ZONGO,VALLE DE ZONGO - TIQUIMANI,VALLE DE ZONGO - BOTIJILACA,VALLE DE ZONGO - CUTICUCHO,VALLE DE ZONGO - SANTA ROSA,VALLE DE ZONGO - SAINANI,VALLE DE ZONGO - CHURURAQUI,VALLE DE ZONGO - HARCA,VALLE DE ZONGO - CAHUA,VALLE DE ZONGO - HUAJI,CHOJLLA,YANACACHI
2019-12-31 00:00:00+00:00,0.64,0.75,1.22,2.15,0.47,0.67,3.4,3.47,3.35,3.87,9.56,7.87
2020-01-01 00:00:00+00:00,0.22,0.39,0.69,0.63,0.05,0.19,0.5,0.46,0.34,0.32,1.4,0.76
2020-01-02 00:00:00+00:00,0.22,0.39,0.69,0.63,0.05,0.19,0.5,0.46,0.34,0.32,1.4,0.76
2020-01-03 00:00:00+00:00,0.22,0.39,0.69,0.63,0.05,0.19,0.5,0.46,0.34,0.32,1.4,0.76
2020-01-04 00:00:00+00:00,0.22,0.39,0.69,0.63,0.05,0.19,0.5,0.46,0.34,0.32,1.4,0.76
2020-01-05 00:00:00+00:00,0.22,0.39,0.69,0.63,0.05,0.19,0.5,0.46,0.34,0.32,1.4,0.76
2020-01-06 00:00:00+00:00,0.22,0.39,0.69,0.63,0.05,0.19,0.5,0.46,0.34,0.32,1.4,0.76
2020-01-07 00:00:00+00:00,0.22,0.39,0.69,0.63,0.05,0.19,0.5,0.46,0.34,0.32,1.4,0.76
2020-01-08 00:00:00+00:00,0.22,0.39,0.69,0.63,0.05,0.19,0.5,0.46,0.34,0.32,1.4,0.76
2020-01-09 00:00:00+00:00,0.21,0.47,0.9,0.56,0.04,0.17,0.5,0.32,0.34,0.31,1.06,0.47
2020-01-10 00:00:00+00:00,0.21,0.47,0.9,0.56,0.04,0.17,0.5,0.32,0.34,0.31,1.06,0.47
2020-01-11 00:00:00+00:00,0.21,0.47,0.9,0.56,0.04,0.17,0.5,0.32,0.34,0.31,1.06,0.47
2020-01-12 00:00:00+00:00,0.21,0.47,0.9,0.56,0.04,0.17,0.5,0.32,0.34,0.31,1.06,0.47
2020-01-13 00:00:00+00:00,0.21,0.47,0.9,0.56,0.04,0.17,0.5,0.32,0.34,0.31,1.06,0.47
2020-01-14 00:00:00+00:00,0.21,0.47,0.9,0.56,0.04,0.17,0.5,0.32,0.34,0.31,1.06,0.47
2020-01-15 00:00:00+00:00,0.21,0.47,0.9,0.56,0.04,0.17,0.5,0.32,0.34,0.31,1.06,0.47
2020-01-16 00:00:00+00:00,0.22,0.61,0.85,0.56,0.04,0.2,0.5,0.24,0.36,0.35,1.32,0.59
2020-01-17 00:00:00+00:00,0.22,0.61,0.85,0.56,0.04,0.2,0.5,0.24,0.36,0.35,1.32,0.59
2020-01-18 00:00:00+00:00,0.22,0.61,0.85,0.56,0.04,0.2,0.5,0.24,0.36,0.35,1.32,0.59
2020-01-19 00:00:00+00:00,0.22,0.61,0.85,0.56,0.04,0.2,0.5,0.24,0.36,0.35,1.32,0.59
2020-01-20 00:00:00+00:00,0.22,0.61,0.85,0.56,0.04,0.2,0.5,0.24,0.36,0.35,1.32,0.59
2020-01-21 00:00:00+00:00,0.22,0.61,0.85,0.56,0.04,0.2,0.5,0.24,0.36,0.35,1.32,0.59
2020-01-22 00:00:00+00:00,0.22,0.61,0.85,0.56,0.04,0.2,0.5,0.24,0.36,0.35,1.32,0.59
2020-01-23 00:00:00+00:00,0.18,0.25,0.85,0.61,0.04,0.18,0.52,0.29,0.31,0.37,1.09,0.56
2020-01-24 00:00:00+00:00,0.18,0.25,0.85,0.61,0.04,0.18,0.52,0.29,0.31,0.37,1.09,0.56
2020-01-25 00:00:00+00:00,0.18,0.25,0.85,0.61,0.04,0.18,0.52,0.29,0.31,0.37,1.09,0.56
2020-01-26 00:00:00+00:00,0.18,0.25,0.85,0.61,0.04,0.18,0.52,0.29,0.31,0.37,1.09,0.56
2020-01-27 00:00:00+00:00,0.18,0.25,0.85,0.61,0.04,0.18,0.52,0.29,0.31,0.37,1.09,0.56
2020-01-28 00:00:00+00:00,0.18,0.25,0.85,0.61,0.04,0.18,0.52,0.29,0.31,0.37,1.09,0.56
2020-01-29 00:00:00+00:00,0.18,0.25,0.85,0.61,0.04,0.18,0.52,0.29,0.31,0.37,1.09,0.56
2020-01-30 00:00:00+00:00,0.19,0.22,0.82,0.65,0.04,0.2,0.49,0.35,0.28,0.41,0.88,0.57
2020-01-31 00:00:00+00:00,0.19,0.22,0.82,0.65,0.04,0.2,0.49,0.35,0.28,0.41,0.88,0.57
2020-02-01 00:00:00+00:00,0.19,0.22,0.82,0.65,0.04,0.2,0.49,0.35,0.28,0.41,0.88,0.57
2020-02-02 00:00:00+00:00,0.19,0.22,0.82,0.65,0.04,0.2,0.49,0.35,0.28,0.41,0.88,0.57
2020-02-03 00:00:00+00:00,0.19,0.22,0.82,0.65,0.04,0.2,0.49,0.35,0.28,0.41,0.88,0.57
2020-02-04 00:00:00+00:00,0.19,0.22,0.82,0.65,0.04,0.2,0.49,0.35,0.28,0.41,0.88,0.57
2020-02-05 00:00:00+00:00,0.19,0.22,0.82,0.65,0.04,0.2,0.49,0.35,0.28,0.41,0.88,0.57
