TIMESTAMP,CORANI,SANTA ISABEL,SAN JOSE 1,SAN JOSE 2,MISICUNI,MIGUILLA,ANGOSTURA,CHOQUETANGA,CARABUCO,KANATA,QUEHATA
1979-12-31 00:00:00+00:00,79.34,81.31,100.26,107.35,100.26,3.79,11.69,23.37,37.34,0.351,0.34
1980-01-01 00:00:00+00:00,79.34,81.31,100.26,107.35,100.26,3.79,11.69,23.37,37.34,0.351,0.34
1980-01-02 00:00:00+00:00,79.34,81.31,100.26,99.47,100.26,3.39,10.46,20.92,33.42,0.373,0.34
1980-01-03 00:00:00+00:00,78.07,80,98.49,97.34,98.49,3.36,10.37,20.74,33.14,0.315,0.34
1980-01-04 00:00:00+00:00,77.09,78.98,97.11,87.44,97.11,2.93,9.03,18.05,28.84,0.315,0.21
1980-01-05 00:00:00+00:00,76.43,78.29,96.19,82,96.19,2.79,8.62,17.23,27.53,0.315,0.15
1980-01-06 00:00:00+00:00,75.89,77.73,95.43,82.43,95.43,2.53,7.8,15.6,24.92,0.315,0.17
1980-01-07 00:00:00+00:00,75.96,77.8,95.53,79.46,95.53,2.52,7.77,15.53,24.81,0.315,0.33
1980-01-08 00:00:00+00:00,76.19,78.04,95.85,72.88,95.85,2.35,7.24,14.47,23.12,0.562,0.47
1980-01-09 00:00:00+00:00,75.71,77.54,95.18,69.03,95.18,2.18,6.72,13.45,21.49,0.494,0.47
1980-01-10 00:00:00+00:00,75.16,76.98,94.42,72.96,94.42,2.19,6.75,13.49,21.56,0.351,0.47
1980-01-11 00:00:00+00:00,75.26,77.07,94.54,64.92,94.54,2.06,6.35,12.7,20.29,0.351,0.54
1980-01-12 00:00:00+00:00,75.16,76.97,94.41,62.62,94.41,1.95,6.01,12.03,19.21,0.351,0.57
1980-01-13 00:00:00+00:00,74.63,76.42,93.67,63.11,93.67,1.96,6.06,12.12,19.35,0.436,0.52
1980-01-14 00:00:00+00:00,74.16,75.93,93.01,57.28,93.01,1.75,5.41,10.82,17.28,0.436,0.67
1980-01-15 00:00:00+00:00,73.57,75.32,92.18,58.86,92.18,1.73,5.33,10.65,17.02,0.436,0.68
1980-01-16 00:00:00+00:00,73.1,74.84,91.53,55.61,91.53,1.69,5.21,10.42,16.65,0.436,0.68
1980-01-17 00:00:00+00:00,72.69,74.41,90.96,54.68,90.96,1.61,4.96,9.93,15.86,0.373,0.68
1980-01-18 00:00:00+00:00,72.38,74.09,90.53,51.82,90.53,1.52,4.68,9.36,14.96,0.373,0.42
1980-01-19 00:00:00+00:00,71.05,72.71,88.67,49.91,88.67,1.55,4.77,9.55,15.25,0.373,0.6
1980-01-20 00:00:00+00:00,68.67,70.24,85.34,50.96,85.34,1.51,4.66,9.31,14.87,0.373,0.67
1980-01-21 00:00:00+00:00,66.86,68.36,82.8,48.06,82.8,1.42,4.38,8.76,13.99,0.373,0.55
1980-01-22 00:00:00+00:00,65.27,66.71,80.57,47.46,80.57,1.35,4.17,8.35,13.34,0.373,0.54
1980-01-23 00:00:00+00:00,63.55,64.92,78.17,49.47,78.17,1.38,4.26,8.52,13.62,0.373,0.54
1980-01-24 00:00:00+00:00,62.08,63.4,76.11,49.37,76.11,1.37,4.21,8.43,13.46,0.421,0.54
1980-01-25 00:00:00+00:00,62.91,64.26,77.27,51.05,77.27,1.42,4.37,8.74,13.97,0.421,0.35
1980-01-26 00:00:00+00:00,63.96,65.35,78.75,47.68,78.75,1.33,4.11,8.22,13.13,0.421,0.34
