,CORANI,SANTA ISABEL,SAN JOSE 1,SAN JOSE 2,KANATA,MISICUNI,MIGUILLA,ANGOSTURA,CHOQUETANGA,CARABUCO
2019-12-31 00:00:00+00:00,26.68,28.18,38.65,38.65,0.35,10.98,0.68,2.4,3.09,4.03
2020-01-01 00:00:00+00:00,26.68,28.18,38.65,38.65,0.35,10.98,0.68,2.4,3.09,4.03
2020-01-02 00:00:00+00:00,26.68,28.18,38.65,38.65,0.35,10.98,0.68,2.4,3.09,4.03
2020-01-03 00:00:00+00:00,26.68285714,28.17571429,38.65285714,38.65285714,0.351,10.9798125,0.675194443,2.403149379,3.08961433,4.032626784
2020-01-04 00:00:00+00:00,26.68285714,28.17571429,38.65285714,38.65285714,0.351,10.9798125,0.675194443,2.403149379,3.08961433,4.032626784
2020-01-05 00:00:00+00:00,26.68285714,28.17571429,38.65285714,38.65285714,0.351,10.9798125,0.675194443,2.403149379,3.08961433,4.032626784
2020-01-06 00:00:00+00:00,26.68285714,28.17571429,38.65285714,38.65285714,0.351,10.9798125,0.675194443,2.403149379,3.08961433,4.032626784
2020-01-07 00:00:00+00:00,26.68285714,28.17571429,38.65285714,38.65285714,0.351,10.9798125,0.675194443,2.403149379,3.08961433,4.032626784
2020-01-08 00:00:00+00:00,26.68285714,28.17571429,38.65285714,38.65285714,0.351,10.9798125,0.675194443,2.403149379,3.08961433,4.032626784
2020-01-09 00:00:00+00:00,26.68285714,28.17571429,38.65285714,38.65285714,0.351,10.9798125,0.675194443,2.403149379,3.08961433,4.032626784
2020-01-10 00:00:00+00:00,25.34857143,26.59428571,38.39428571,38.39428571,0.436,15.38,0.722369554,2.993717176,4.048161629,4.717098779
2020-01-11 00:00:00+00:00,25.34857143,26.59428571,38.39428571,38.39428571,0.436,15.38,0.722369554,2.993717176,4.048161629,4.717098779
2020-01-12 00:00:00+00:00,25.34857143,26.59428571,38.39428571,38.39428571,0.436,15.38,0.722369554,2.993717176,4.048161629,4.717098779
2020-01-13 00:00:00+00:00,25.34857143,26.59428571,38.39428571,38.39428571,0.436,15.38,0.722369554,2.993717176,4.048161629,4.717098779
2020-01-14 00:00:00+00:00,25.34857143,26.59428571,38.39428571,38.39428571,0.436,15.38,0.722369554,2.993717176,4.048161629,4.717098779
2020-01-15 00:00:00+00:00,25.34857143,26.59428571,38.39428571,38.39428571,0.436,15.38,0.722369554,2.993717176,4.048161629,4.717098779
2020-01-16 00:00:00+00:00,25.34857143,26.59428571,38.39428571,38.39428571,0.436,15.38,0.722369554,2.993717176,4.048161629,4.717098779
2020-01-17 00:00:00+00:00,24.62571429,26.43285714,40.66428571,40.66428571,0.373,9.965714286,0.838705522,3.312662366,4.245064381,4.956990317
2020-01-18 00:00:00+00:00,24.62571429,26.43285714,40.66428571,40.66428571,0.373,9.965714286,0.838705522,3.312662366,4.245064381,4.956990317
2020-01-19 00:00:00+00:00,24.62571429,26.43285714,40.66428571,40.66428571,0.373,9.965714286,0.838705522,3.312662366,4.245064381,4.956990317
2020-01-20 00:00:00+00:00,24.62571429,26.43285714,40.66428571,40.66428571,0.373,9.965714286,0.838705522,3.312662366,4.245064381,4.956990317
2020-01-21 00:00:00+00:00,24.62571429,26.43285714,40.66428571,40.66428571,0.373,9.965714286,0.838705522,3.312662366,4.245064381,4.956990317
2020-01-22 00:00:00+00:00,24.62571429,26.43285714,40.66428571,40.66428571,0.373,9.965714286,0.838705522,3.312662366,4.245064381,4.956990317
2020-01-23 00:00:00+00:00,24.62571429,26.43285714,40.66428571,40.66428571,0.373,9.965714286,0.838705522,3.312662366,4.245064381,4.956990317
2020-01-24 00:00:00+00:00,16.80428571,18.07285714,32.01285714,32.01285714,0.421,10.50428571,0.71783501,3.317108958,4.309934639,5.043404305
2020-01-25 00:00:00+00:00,16.80428571,18.07285714,32.01285714,32.01285714,0.421,10.50428571,0.71783501,3.317108958,4.309934639,5.043404305
2020-01-26 00:00:00+00:00,16.80428571,18.07285714,32.01285714,32.01285714,0.421,10.50428571,0.71783501,3.317108958,4.309934639,5.043404305
2020-01-27 00:00:00+00:00,16.80428571,18.07285714,32.01285714,32.01285714,0.421,10.50428571,0.71783501,3.317108958,4.309934639,5.043404305
2020-01-28 00:00:00+00:00,16.80428571,18.07285714,32.01285714,32.01285714,0.421,10.50428571,0.71783501,3.317108958,4.309934639,5.043404305
2020-01-29 00:00:00+00:00,16.80428571,18.07285714,32.01285714,32.01285714,0.421,10.50428571,0.71783501,3.317108958,4.309934639,5.043404305
2020-01-30 00:00:00+00:00,16.80428571,18.07285714,32.01285714,32.01285714,0.421,10.50428571,0.71783501,3.317108958,4.309934639,5.043404305
2020-01-31 00:00:00+00:00,15.61142857,17.01,27.98571429,27.98571429,0.315,6.27,0.480735809,2.588290596,3.590842719,4.413943855
2020-02-01 00:00:00+00:00,15.61142857,17.01,27.98571429,27.98571429,0.315,6.27,0.480735809,2.588290596,3.590842719,4.413943855
2020-02-02 00:00:00+00:00,15.61142857,17.01,27.98571429,27.98571429,0.315,6.27,0.480735809,2.588290596,3.590842719,4.413943855
2020-02-03 00:00:00+00:00,15.61142857,17.01,27.98571429,27.98571429,0.315,6.27,0.480735809,2.588290596,3.590842719,4.413943855
2020-02-04 00:00:00+00:00,15.61142857,17.01,27.98571429,27.98571429,0.315,6.27,0.480735809,2.588290596,3.590842719,4.413943855
2020-02-05 00:00:00+00:00,15.61142857,17.01,27.98571429,27.98571429,0.315,6.27,0.480735809,2.588290596,3.590842719,4.413943855
2020-02-06 00:00:00+00:00,15.61142857,17.01,27.98571429,27.98571429,0.315,6.27,0.480735809,2.588290596,3.590842719,4.413943855
2020-02-07 00:00:00+00:00,21.67428571,23.64428571,38.18,38.18,0.562,11.47,0.508847332,1.586799927,2.517173028,3.64278041
2020-02-08 00:00:00+00:00,21.67428571,23.64428571,38.18,38.18,0.562,11.47,0.508847332,1.586799927,2.517173028,3.64278041
2020-02-09 00:00:00+00:00,21.67428571,23.64428571,38.18,38.18,0.562,11.47,0.508847332,1.586799927,2.517173028,3.64278041
2020-02-10 00:00:00+00:00,21.67428571,23.64428571,38.18,38.18,0.562,11.47,0.508847332,1.586799927,2.517173028,3.64278041
2020-02-11 00:00:00+00:00,21.67428571,23.64428571,38.18,38.18,0.562,11.47,0.508847332,1.586799927,2.517173028,3.64278041
2020-02-12 00:00:00+00:00,21.67428571,23.64428571,38.18,38.18,0.562,11.47,0.508847332,1.586799927,2.517173028,3.64278041
2020-02-13 00:00:00+00:00,21.67428571,23.64428571,38.18,38.18,0.562,11.47,0.508847332,1.586799927,2.517173028,3.64278041
2020-02-14 00:00:00+00:00,30.94428571,32.76857143,46.87428571,46.87428571,0.646,21.94285714,1.49992166,3.894282925,5.167478229,6.15954483
2020-02-15 00:00:00+00:00,30.94428571,32.76857143,46.87428571,46.87428571,0.646,21.94285714,1.49992166,3.894282925,5.167478229,6.15954483
2020-02-16 00:00:00+00:00,30.94428571,32.76857143,46.87428571,46.87428571,0.646,21.94285714,1.49992166,3.894282925,5.167478229,6.15954483
2020-02-17 00:00:00+00:00,30.94428571,32.76857143,46.87428571,46.87428571,0.646,21.94285714,1.49992166,3.894282925,5.167478229,6.15954483
2020-02-18 00:00:00+00:00,30.94428571,32.76857143,46.87428571,46.87428571,0.646,21.94285714,1.49992166,3.894282925,5.167478229,6.15954483
2020-02-19 00:00:00+00:00,30.94428571,32.76857143,46.87428571,46.87428571,0.646,21.94285714,1.49992166,3.894282925,5.167478229,6.15954483
2020-02-20 00:00:00+00:00,30.94428571,32.76857143,46.87428571,46.87428571,0.646,21.94285714,1.49992166,3.894282925,5.167478229,6.15954483
2020-02-21 00:00:00+00:00,25.61142857,27.47714286,42.14142857,42.14142857,0.494,14.3040872,0.717765879,3.484733629,4.497556639,5.134913716
2020-02-22 00:00:00+00:00,25.61142857,27.47714286,42.14142857,42.14142857,0.494,14.3040872,0.717765879,3.484733629,4.497556639,5.134913716
2020-02-23 00:00:00+00:00,25.61142857,27.47714286,42.14142857,42.14142857,0.494,14.3040872,0.717765879,3.484733629,4.497556639,5.134913716
2020-02-24 00:00:00+00:00,25.61142857,27.47714286,42.14142857,42.14142857,0.494,14.3040872,0.717765879,3.484733629,4.497556639,5.134913716
2020-02-25 00:00:00+00:00,25.61142857,27.47714286,42.14142857,42.14142857,0.494,14.3040872,0.717765879,3.484733629,4.497556639,5.134913716
2020-02-26 00:00:00+00:00,25.61142857,27.47714286,42.14142857,42.14142857,0.494,14.3040872,0.717765879,3.484733629,4.497556639,5.134913716
2020-02-27 00:00:00+00:00,25.61142857,27.47714286,42.14142857,42.14142857,0.494,14.3040872,0.717765879,3.484733629,4.497556639,5.134913716
2020-02-28 00:00:00+00:00,27.81857143,29.74714286,44.40714286,44.40714286,0.697,20.49879187,0.944210869,3.367612273,4.264360167,4.896322971
2020-02-29 00:00:00+00:00,27.81857143,29.74714286,44.40714286,44.40714286,0.697,20.49879187,0.944210869,3.367612273,4.264360167,4.896322971
2020-03-01 00:00:00+00:00,27.81857143,29.74714286,44.40714286,44.40714286,0.697,20.49879187,0.944210869,3.367612273,4.264360167,4.896322971
2020-03-02 00:00:00+00:00,27.81857143,29.74714286,44.40714286,44.40714286,0.697,20.49879187,0.944210869,3.367612273,4.264360167,4.896322971
2020-03-03 00:00:00+00:00,27.81857143,29.74714286,44.40714286,44.40714286,0.697,20.49879187,0.944210869,3.367612273,4.264360167,4.896322971
2020-03-04 00:00:00+00:00,27.81857143,29.74714286,44.40714286,44.40714286,0.697,20.49879187,0.944210869,3.367612273,4.264360167,4.896322971
2020-03-05 00:00:00+00:00,27.81857143,29.74714286,44.40714286,44.40714286,0.697,20.49879187,0.944210869,3.367612273,4.264360167,4.896322971
2020-03-06 00:00:00+00:00,16.53714286,17.50142857,29.90571429,29.90571429,0.627,5.211428571,0.454511643,1.309749135,2.101622902,2.726742344
2020-03-07 00:00:00+00:00,16.53714286,17.50142857,29.90571429,29.90571429,0.627,5.211428571,0.454511643,1.309749135,2.101622902,2.726742344
2020-03-08 00:00:00+00:00,16.53714286,17.50142857,29.90571429,29.90571429,0.627,5.211428571,0.454511643,1.309749135,2.101622902,2.726742344
