TIMESTAMP,CHOJLLA,YANACACHI,SISTEMA ZONGO,VALLE DE ZONGO - TIQUIMANI,VALLE DE ZONGO - BOTIJILACA,VALLE DE ZONGO - CUTICUCHO,VALLE DE ZONGO - SANTA ROSA,VALLE DE ZONGO - SAINANI,VALLE DE ZONGO - CHURURAQUI,VALLE DE ZONGO - HARCA,VALLE DE ZONGO - CAHUA,VALLE DE ZONGO - HUAJI
1979-12-31 00:00:00+00:00,43.52,125.42,0.8,6.15,15.82,31.61,36.15,43,78.03,86.41,104.4,106.68
1980-01-01 00:00:00+00:00,43.52,125.42,0.8,6.15,15.82,31.61,36.15,43,78.03,86.41,104.4,106.68
1980-01-02 00:00:00+00:00,38.95,112.27,0.68,5.24,13.47,26.93,30.79,36.62,66.46,73.6,88.93,90.87
1980-01-03 00:00:00+00:00,38.62,111.3,0.63,4.86,12.48,24.95,28.53,33.93,61.58,68.19,82.39,84.19
1980-01-04 00:00:00+00:00,33.61,96.86,0.63,4.83,12.41,24.8,28.36,33.73,61.21,67.78,81.9,83.69
1980-01-05 00:00:00+00:00,32.08,92.47,0.56,4.33,11.13,22.24,25.43,30.25,54.89,60.78,73.44,75.05
1980-01-06 00:00:00+00:00,29.05,83.72,0.53,4.11,10.57,21.13,24.16,28.74,52.14,57.74,69.77,71.29
1980-01-07 00:00:00+00:00,28.91,83.33,0.52,4.01,10.31,20.6,23.56,28.02,50.85,56.31,68.05,69.53
1980-01-08 00:00:00+00:00,26.94,77.65,0.49,3.77,9.69,19.37,22.15,26.35,47.81,52.95,63.98,65.37
1980-01-09 00:00:00+00:00,25.04,72.17,0.46,3.52,9.06,18.11,20.71,24.63,44.69,49.49,59.8,61.11
1980-01-10 00:00:00+00:00,25.12,72.41,0.44,3.41,8.76,17.51,20.02,23.81,43.21,47.85,57.82,59.08
1980-01-11 00:00:00+00:00,23.65,68.17,0.44,3.37,8.66,17.31,19.79,23.54,42.71,47.3,57.15,58.4
1980-01-12 00:00:00+00:00,22.39,64.54,0.41,3.13,8.05,16.09,18.4,21.88,39.71,43.97,53.13,54.29
1980-01-13 00:00:00+00:00,22.56,65.01,0.4,3.07,7.9,15.78,18.04,21.46,38.95,43.13,52.11,53.25
1980-01-14 00:00:00+00:00,20.14,58.04,0.38,2.92,7.5,14.99,17.14,20.39,37,40.97,49.51,50.59
1980-01-15 00:00:00+00:00,19.83,57.16,0.35,2.7,6.94,13.87,15.86,18.87,34.24,37.91,45.81,46.81
1980-01-16 00:00:00+00:00,19.4,55.91,0.36,2.77,7.11,14.21,16.25,19.33,35.07,38.84,46.93,47.95
