TIMESTAMP,SAN JACINTO,KILPANI,LANDARA,PUNUTUMA
01/01/1980 00:00,109.08,0.90,0.90,0.90
02/01/1980 00:00,53.63,0.81,0.81,0.81
03/01/1980 00:00,39.50,0.73,0.73,0.73
04/01/1980 00:00,33.68,0.65,0.65,0.65
05/01/1980 00:00,32.45,0.58,0.58,0.58
06/01/1980 00:00,34.83,0.53,0.53,0.53
07/01/1980 00:00,35.73,0.49,0.49,0.49
08/01/1980 00:00,37.90,0.46,0.46,0.46
09/01/1980 00:00,43.62,0.43,0.43,0.43
10/01/1980 00:00,53.62,0.42,0.42,0.42
11/01/1980 00:00,54.14,0.40,0.40,0.40
12/01/1980 00:00,42.28,0.40,0.40,0.40
13/01/1980 00:00,57.24,0.41,0.41,0.41
14/01/1980 00:00,61.55,0.40,0.40,0.40
15/01/1980 00:00,50.19,0.38,0.38,0.38
16/01/1980 00:00,41.74,0.36,0.36,0.36
17/01/1980 00:00,36.21,0.36,0.36,0.36
18/01/1980 00:00,40.43,0.36,0.36,0.36
19/01/1980 00:00,48.33,0.38,0.38,0.38
20/01/1980 00:00,68.31,0.48,0.48,0.48
21/01/1980 00:00,62.56,0.51,0.51,0.51
22/01/1980 00:00,40.46,0.51,0.51,0.51
23/01/1980 00:00,39.01,0.52,0.52,0.52
24/01/1980 00:00,41.38,0.50,0.50,0.50
25/01/1980 00:00,37.98,0.49,0.49,0.49
26/01/1980 00:00,31.78,0.46,0.46,0.46
27/01/1980 00:00,29.60,0.44,0.44,0.44
28/01/1980 00:00,41.12,0.49,0.49,0.49
29/01/1980 00:00,44.16,0.50,0.50,0.50
30/01/1980 00:00,34.07,0.46,0.46,0.46
31/01/1980 00:00,26.34,0.42,0.42,0.42
01/02/1980 00:00,22.08,0.41,0.41,0.41
02/02/1980 00:00,21.37,0.40,0.40,0.40
03/02/1980 00:00,23.05,0.39,0.39,0.39
04/02/1980 00:00,24.36,0.37,0.37,0.37
05/02/1980 00:00,23.17,0.35,0.35,0.35
06/02/1980 00:00,21.16,0.34,0.34,0.34
07/02/1980 00:00,19.84,0.34,0.34,0.34
08/02/1980 00:00,18.37,0.32,0.32,0.32
09/02/1980 00:00,16.93,0.31,0.31,0.31
10/02/1980 00:00,16.73,0.30,0.30,0.30
