,1990,1992,1994,1995,1996,1998,Baseline
Jan ,418.9899197,426.6524571,427.7626164,438.4970753,397.480494,379.4893054,365.7603813
Feb,416.6203954,410.0318351,429.169557,407.2129161,425.1514204,392.0156719,347.7666684
Mar,430.2785078,443.1555573,469.7857539,476.7800667,451.3699101,444.8173713,417.1722367
Apr,382.1960646,401.5123328,447.2176153,445.419253,437.3657903,433.1474542,318.8438695
May,397.3588084,382.4036605,424.9045073,399.0683119,389.6501554,408.2354721,229.3705656
Jun,450.5295951,392.7982428,386.9280686,373.157228,377.5207177,389.6997098,244.9662044
Jul,428.199648,423.4967284,384.6074166,372.5078917,378.2150686,398.4605459,253.573277
Aug,387.2985328,409.7133022,363.6332561,360.0540474,367.9305397,366.1435415,237.371289
Sep,370.1892675,417.6774402,346.3263561,348.4359719,385.2424585,353.9842805,237.0778529
Oct,405.9895124,420.2417056,392.8149756,352.0302215,414.7242455,379.5534098,263.3770368
Nov,466.61241,402.4040937,405.581701,343.2040369,447.8358426,432.7357721,182.9922288
Dec,496.7123223,449.833566,445.5060172,421.8256147,484.0017459,454.6205699,264.816348
