,2010,2012,2014,2015,Baseline
Jan ,447.4575267,439.493352,457.9880917,457.874318,365.7603813
Feb,426.5118957,432.1369386,473.1187881,429.693077,347.7666684
Mar,477.3069681,492.4325727,489.6870546,482.5218018,417.1722367
Apr,429.5452555,463.5170435,450.4448062,464.0503188,318.8438695
May,415.7460643,459.0443799,446.7687322,467.9111783,229.3705656
Jun,408.1836107,403.956898,419.4735514,434.7798411,244.9662044
Jul,398.2680908,394.0658048,414.9924266,434.5583401,253.573277
Aug,371.5897335,365.5072661,392.213744,404.2706296,237.371289
Sep,365.6639583,342.3307397,389.8748302,389.4403523,237.0778529
Oct,398.9293179,343.7801155,383.624791,396.477734,263.3770368
Nov,346.4133829,332.9516478,329.9044309,455.303565,182.9922288
Dec,403.5694442,428.0959012,413.8768477,486.9253824,264.816348
