,2020,CNDC
01/01/2020 00:00,0.185765727,0.188912331
01/01/2020 01:00,0.186539082,0.185124145
01/01/2020 02:00,0.187312438,0.18152583
01/01/2020 03:00,0.188085794,0.178150107
01/01/2020 04:00,0.18885915,0.175025868
01/01/2020 05:00,0.189632505,0.172178309
01/01/2020 06:00,0.190405861,0.169629068
01/01/2020 07:00,0.191179217,0.167396358
01/01/2020 08:00,0.191952573,0.165495097
01/01/2020 09:00,0.192725929,0.163937048
01/01/2020 10:00,0.193499284,0.16273095
01/01/2020 11:00,0.19427264,0.161882652
01/01/2020 12:00,0.195045996,0.161395248
01/01/2020 13:00,0.195819352,0.161269213
01/01/2020 14:00,0.196592707,0.161502532
01/01/2020 15:00,0.197366063,0.162090839
01/01/2020 16:00,0.198139419,0.163027551
01/01/2020 17:00,0.198912775,0.164303996
01/01/2020 18:00,0.19968613,0.165909558
01/01/2020 19:00,0.200324721,0.167831799
01/01/2020 20:00,0.201098076,0.170056604
01/01/2020 21:00,0.201819004,0.172568307
01/01/2020 22:00,0.20259236,0.17534983
01/01/2020 23:00,0.203365716,0.178382814
02/01/2020 00:00,0.204139072,0.181647757
02/01/2020 01:00,0.204912428,0.185124145
02/01/2020 02:00,0.205685783,0.188790586
02/01/2020 03:00,0.206459139,0.192624945
02/01/2020 04:00,0.207232495,0.196604481
02/01/2020 05:00,0.208005851,0.200705976
02/01/2020 06:00,0.208779206,0.204905873
02/01/2020 07:00,0.209552562,0.209180407
02/01/2020 08:00,0.210325918,0.213505743
02/01/2020 09:00,0.211099274,0.217858107
02/01/2020 10:00,0.211872629,0.222213923
02/01/2020 11:00,0.212645985,0.226549942
02/01/2020 12:00,0.213419341,0.230843383
02/01/2020 13:00,0.214192697,0.235072062
02/01/2020 14:00,0.214966053,0.239214528
02/01/2020 15:00,0.215739408,0.243250198
02/01/2020 16:00,0.216512764,0.247159488
02/01/2020 17:00,0.21728612,0.250923953
02/01/2020 18:00,0.218059476,0.254526414
02/01/2020 19:00,0.218475192,0.257951098
02/01/2020 20:00,0.218890908,0.261183768
02/01/2020 21:00,0.219664264,0.26421186
02/01/2020 22:00,0.22043762,0.267024617
02/01/2020 23:00,0.221210975,0.26961322
03/01/2020 00:00,0.221984414,0.271970927
03/01/2020 01:00,0.222757852,0.274093203
03/01/2020 02:00,0.223531291,0.275977853
03/01/2020 03:00,0.22430473,0.277625088
03/01/2020 04:00,0.225078168,0.279037419
03/01/2020 05:00,0.225851607,0.280219485
03/01/2020 06:00,0.226625045,0.28117788
03/01/2020 07:00,0.227398484,0.281920976
03/01/2020 08:00,0.228171923,0.282458754
03/01/2020 09:00,0.228945361,0.282802624
03/01/2020 10:00,0.2297188,0.282965256
03/01/2020 11:00,0.230492238,0.282960402
03/01/2020 12:00,0.231265677,0.282802723
03/01/2020 13:00,0.232039116,0.282507614
03/01/2020 14:00,0.232812554,0.282091032
03/01/2020 15:00,0.233585993,0.281569322
03/01/2020 16:00,0.234359431,0.280959037
03/01/2020 17:00,0.23513287,0.280276772
03/01/2020 18:00,0.235906308,0.279538985
03/01/2020 19:00,0.236322107,0.278761822
03/01/2020 20:00,0.236737907,0.277960946
03/01/2020 21:00,0.237511345,0.277151362
03/01/2020 22:00,0.238284784,0.276347239
03/01/2020 23:00,0.239058222,0.275561743
04/01/2020 00:00,0.239831661,0.274806855
04/01/2020 01:00,0.240605099,0.274093203
04/01/2020 02:00,0.241378538,0.273429886
04/01/2020 03:00,0.242151977,0.272824364
04/01/2020 04:00,0.242925415,0.272282492
04/01/2020 05:00,0.243698854,0.271808615
04/01/2020 06:00,0.244472292,0.27140567
04/01/2020 07:00,0.245245731,0.271075277
04/01/2020 08:00,0.24601917,0.270817844
04/01/2020 09:00,0.246792608,0.270632658
04/01/2020 10:00,0.247566047,0.270517985
04/01/2020 11:00,0.248339485,0.270471171
04/01/2020 12:00,0.249112924,0.270488733
04/01/2020 13:00,0.249886362,0.270566463
04/01/2020 14:00,0.250659801,0.270699522
04/01/2020 15:00,0.25143324,0.270882538
04/01/2020 16:00,0.252206678,0.271109703
04/01/2020 17:00,0.252980117,0.271374876
04/01/2020 18:00,0.253753555,0.27167167
04/01/2020 19:00,0.254169354,0.271993562
04/01/2020 20:00,0.254585153,0.27233398
04/01/2020 21:00,0.255000952,0.272686408
04/01/2020 22:00,0.255774391,0.27304448
04/01/2020 23:00,0.25654783,0.273402077
05/01/2020 00:00,0.257321268,0.273753427
05/01/2020 01:00,0.258094707,0.274093203
05/01/2020 02:00,0.258868145,0.274416616
05/01/2020 03:00,0.259641584,0.274719489
05/01/2020 04:00,0.260415023,0.274998254
05/01/2020 05:00,0.261188461,0.275249932
05/01/2020 06:00,0.2619619,0.275472104
05/01/2020 07:00,0.262735338,0.275662886
05/01/2020 08:00,0.263508777,0.275820902
05/01/2020 09:00,0.264282216,0.275945257
05/01/2020 10:00,0.265055654,0.276035515
05/01/2020 11:00,0.265829093,0.276091667
05/01/2020 12:00,0.266602531,0.276114112
05/01/2020 13:00,0.26737597,0.276103624
05/01/2020 14:00,0.268149408,0.276061329
05/01/2020 15:00,0.268922847,0.275988682
05/01/2020 16:00,0.269696286,0.275887434
05/01/2020 17:00,0.270469724,0.275759611
05/01/2020 18:00,0.271243163,0.275607489
05/01/2020 19:00,0.271658962,0.275433562
05/01/2020 20:00,0.272074761,0.275240521
05/01/2020 21:00,0.27249056,0.275031227
05/01/2020 22:00,0.273263998,0.274808685
05/01/2020 23:00,0.274037437,0.274576014
06/01/2020 00:00,0.274810876,0.274336428
06/01/2020 01:00,0.275584314,0.274093203
06/01/2020 02:00,0.276357753,0.273849656
06/01/2020 03:00,0.277131191,0.273609117
06/01/2020 04:00,0.27790463,0.273374897
06/01/2020 05:00,0.278678069,0.273150265
06/01/2020 06:00,0.279451507,0.272938417
06/01/2020 07:00,0.280224946,0.272742447
06/01/2020 08:00,0.280998384,0.272565318
06/01/2020 09:00,0.281771823,0.272409835
06/01/2020 10:00,0.282545261,0.272278613
06/01/2020 11:00,0.2833187,0.272174053
06/01/2020 12:00,0.284092139,0.272098311
06/01/2020 13:00,0.284865577,0.272053268
06/01/2020 14:00,0.285639016,0.272040502
06/01/2020 15:00,0.286412454,0.272061262
06/01/2020 16:00,0.287185893,0.272116435
06/01/2020 17:00,0.287959332,0.272206522
06/01/2020 18:00,0.28873277,0.272331606
06/01/2020 19:00,0.289148569,0.272491322
06/01/2020 20:00,0.289564368,0.272684835
06/01/2020 21:00,0.289980167,0.272910802
06/01/2020 22:00,0.290395966,0.273167353
06/01/2020 23:00,0.291169405,0.273452054
07/01/2020 00:00,0.291942843,0.273761884
07/01/2020 01:00,0.292716282,0.274093203
07/01/2020 02:00,0.293489721,0.274441726
07/01/2020 03:00,0.294263159,0.274802525
07/01/2020 04:00,0.295036598,0.275170098
07/01/2020 05:00,0.295810036,0.275538476
07/01/2020 06:00,0.296583475,0.275901322
07/01/2020 07:00,0.297356914,0.276252037
07/01/2020 08:00,0.298130352,0.276583857
07/01/2020 09:00,0.298903791,0.276889964
07/01/2020 10:00,0.299677229,0.277163581
07/01/2020 11:00,0.300450668,0.277398081
07/01/2020 12:00,0.301224107,0.277587086
07/01/2020 13:00,0.301997545,0.27772457
07/01/2020 14:00,0.302770984,0.277804963
07/01/2020 15:00,0.303544422,0.277823255
07/01/2020 16:00,0.304317861,0.277775096
07/01/2020 17:00,0.305091299,0.277656899
07/01/2020 18:00,0.305507098,0.277465945
07/01/2020 19:00,0.305922898,0.277200485
07/01/2020 20:00,0.306338697,0.276859843
07/01/2020 21:00,0.306754496,0.276444515
07/01/2020 22:00,0.307527934,0.275956278
07/01/2020 23:00,0.308301373,0.275398289
08/01/2020 00:00,0.309074811,0.274775188
08/01/2020 01:00,0.30984825,0.274093203
08/01/2020 02:00,0.310621689,0.273360246
08/01/2020 03:00,0.311395127,0.272585953
08/01/2020 04:00,0.312168566,0.271781547
08/01/2020 05:00,0.312942004,0.270959644
08/01/2020 06:00,0.313715443,0.270134052
08/01/2020 07:00,0.314488881,0.269319569
08/01/2020 08:00,0.31526232,0.268531786
08/01/2020 09:00,0.316035759,0.267786883
08/01/2020 10:00,0.316809197,0.267101434
08/01/2020 11:00,0.317582636,0.266492202
08/01/2020 12:00,0.318356074,0.265975941
08/01/2020 13:00,0.319129513,0.265569197
08/01/2020 14:00,0.319902952,0.265288105
08/01/2020 15:00,0.32067639,0.265148191
08/01/2020 16:00,0.321449829,0.265164172
08/01/2020 17:00,0.322223267,0.265349756
08/01/2020 18:00,0.322680035,0.265717438
08/01/2020 19:00,0.323095834,0.266278306
08/01/2020 20:00,0.323511633,0.267041836
08/01/2020 21:00,0.323927432,0.268015697
08/01/2020 22:00,0.32470087,0.269205543
08/01/2020 23:00,0.325474309,0.270614821
09/01/2020 00:00,0.325890108,0.272244566
09/01/2020 01:00,0.326305907,0.274093203
09/01/2020 02:00,0.326721706,0.276156349
09/01/2020 03:00,0.327137505,0.278426716
09/01/2020 04:00,0.327553304,0.28089426
09/01/2020 05:00,0.327969103,0.283546426
09/01/2020 06:00,0.328384902,0.286368402
09/01/2020 07:00,0.328800701,0.289343368
09/01/2020 08:00,0.3292165,0.292452748
09/01/2020 09:00,0.329632299,0.295676458
09/01/2020 10:00,0.330048098,0.29899316
09/01/2020 11:00,0.330463897,0.302380513
09/01/2020 12:00,0.330879696,0.305815419
09/01/2020 13:00,0.331295495,0.30927428
09/01/2020 14:00,0.331711294,0.312733246
09/01/2020 15:00,0.332127093,0.316168465
09/01/2020 16:00,0.332542893,0.319556335
09/01/2020 17:00,0.332958692,0.322873754
09/01/2020 18:00,0.333374491,0.326098373
09/01/2020 19:00,0.33379029,0.329208844
09/01/2020 20:00,0.334206089,0.332185071
09/01/2020 21:00,0.334621888,0.335008466
09/01/2020 22:00,0.335037687,0.33766219
09/01/2020 23:00,0.335453486,0.340131413
10/01/2020 00:00,0.335830609,0.342403562
10/01/2020 01:00,0.336207732,0.344468568
10/01/2020 02:00,0.336584855,0.346319119
10/01/2020 03:00,0.336961978,0.347950806
10/01/2020 04:00,0.337339101,0.349362024
10/01/2020 05:00,0.337716224,0.35055378
10/01/2020 06:00,0.338093347,0.351529487
10/01/2020 07:00,0.338470469,0.352294772
10/01/2020 08:00,0.338847592,0.35285727
10/01/2020 09:00,0.339224715,0.353226427
10/01/2020 10:00,0.339601838,0.353413301
10/01/2020 11:00,0.339978961,0.353430358
10/01/2020 12:00,0.340356084,0.35329128
10/01/2020 13:00,0.340733207,0.353010758
10/01/2020 14:00,0.34111033,0.352604297
10/01/2020 15:00,0.341487453,0.352088011
10/01/2020 16:00,0.341864576,0.351478431
10/01/2020 17:00,0.342241699,0.350792298
10/01/2020 18:00,0.342618822,0.350046369
10/01/2020 19:00,0.342995945,0.349257211
10/01/2020 20:00,0.343373068,0.34844101
10/01/2020 21:00,0.343750191,0.347613362
10/01/2020 22:00,0.344127314,0.346789079
10/01/2020 23:00,0.344504437,0.345981988
11/01/2020 00:00,0.34488156,0.345204732
11/01/2020 01:00,0.345258683,0.344468568
11/01/2020 02:00,0.345635806,0.343783173
11/01/2020 03:00,0.346012929,0.343156508
11/01/2020 04:00,0.346390052,0.342594858
11/01/2020 05:00,0.346767175,0.342102923
11/01/2020 06:00,0.347144298,0.341683927
11/01/2020 07:00,0.347521421,0.341339716
11/01/2020 08:00,0.347898544,0.34107086
11/01/2020 09:00,0.348275667,0.340876755
11/01/2020 10:00,0.34865279,0.340755723
11/01/2020 11:00,0.349029913,0.340705117
