PowerCapacity,Unit,Zone,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost,NoLoadCost,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,Nunits
16.19,ALT01,NO,GTUR,GAS,0.378759155,1,1,0.15,0.15,1212.365,43.1369863,0.8,0.2,0.378759155,0.133333333,0.42,,,,,,,1
30,ALT02,NO,GTUR,GAS,0.378759155,1,1,0.15,0.15,2344.265,83.4109589,0.8,0.2,0.378759155,0.133333333,0.42,,,,,,,1
5,SBU01,NO,GTUR,BIO,0.297002105,1,1,0.025,0.025,231,8.219178082,0.8,0.2,0.297002105,1,0,,,,,,,1
1.28,MOA02,NO,GTUR,OIL,0.300931458,1,1,0.15,0.15,100.1,3.561643836,0.8,0.2,0.300931458,1,0.55,,,,,,,1
1.1,MOA05,NO,GTUR,OIL,0.300931458,1,1,0.15,0.15,84.7,3.01369863,0.8,0.2,0.300931458,1,0.55,,,,,,,1
1.12,MOA06,NO,GTUR,OIL,0.300931458,1,1,0.15,0.15,84.7,3.179670439,0.8,0.2,0.300931458,1,0.55,,,,,,,1
1.1,MOA07,NO,GTUR,OIL,0.300931458,1,1,0.15,0.15,84.7,3.01369863,0.8,0.2,0.300931458,1,0.55,,,,,,,1
1.1,MOA08,NO,GTUR,OIL,0.300931458,1,1,0.15,0.15,84.7,3.01369863,0.8,0.2,0.300931458,1,0.55,,,,,,,1
1.39,MOS01,NO,GTUR,OIL,0.375515,1,1,0.15,0.15,110.11,3.946198134,0.8,0.2,0.375515,1,0.55,,,,,,,1
1.43,MOS02,NO,GTUR,OIL,0.375515,1,1,0.15,0.15,110.11,4.059757792,0.8,0.2,0.375515,1,0.55,,,,,,,1
1.4,MOS03,NO,GTUR,OIL,0.375515,1,1,0.15,0.15,110.11,3.974588048,0.8,0.2,0.375515,1,0.55,,,,,,,1
1.42,MOS04,NO,GTUR,OIL,0.375515,1,1,0.15,0.15,110.11,4.031367878,0.8,0.2,0.375515,1,0.55,,,,,,,1
1.39,MOS05,NO,GTUR,OIL,0.375515,1,1,0.15,0.15,110.11,3.946198134,0.8,0.2,0.375515,1,0.55,,,,,,,1
1.4,MOS06,NO,GTUR,OIL,0.375515,1,1,0.15,0.15,110.11,3.974588048,0.8,0.2,0.375515,1,0.55,,,,,,,1
1.41,MOS07,NO,GTUR,OIL,0.375515,1,1,0.15,0.15,110.11,4.002977963,0.8,0.2,0.375515,1,0.55,,,,,,,1
1.38,MOS08,NO,GTUR,OIL,0.375515,1,1,0.15,0.15,110.11,3.917808219,0.8,0.2,0.375515,1,0.55,,,,,,,1
1.4,MOS09,NO,GTUR,OIL,0.375515,1,1,0.15,0.15,110.11,3.974588048,0.8,0.2,0.375515,1,0.55,,,,,,,1
1.41,MOS10,NO,GTUR,OIL,0.375515,1,1,0.15,0.15,110.11,4.002977963,0.8,0.2,0.375515,1,0.55,,,,,,,1
1.39,MOS11,NO,GTUR,OIL,0.375515,1,1,0.15,0.15,110.11,3.946198134,0.8,0.2,0.375515,1,0.55,,,,,,,1
1.4,MOS12,NO,GTUR,OIL,0.375515,1,1,0.15,0.15,110.11,3.974588048,0.8,0.2,0.375515,1,0.55,,,,,,,1
1.38,MOS13,NO,GTUR,OIL,0.375515,1,1,0.15,0.15,110.11,3.917808219,0.8,0.2,0.375515,1,0.55,,,,,,,1
1.38,MOS14,NO,GTUR,OIL,0.375515,1,1,0.15,0.15,110.11,3.917808219,0.8,0.2,0.375515,1,0.55,,,,,,,1
1.2,RRE01,NO,GTUR,OIL,0.375515,1,1,0.15,0.15,110.11,3.406789756,0.8,0.2,0.375515,1,0.55,,,,,,,1
0.6,RRE02,NO,GTUR,OIL,0.375515,1,1,0.15,0.15,110.11,1.703394878,0.8,0.2,0.375515,1,0.55,,,,,,,1
0.35,YUC01,NO,GTUR,OIL,0.375515,1,1,0.15,0.15,110.11,0.993647012,0.8,0.2,0.375515,1,0.55,,,,,,,1
1.2,SBO01,NO,GTUR,OIL,0.375515,1,1,0.15,0.15,110.11,3.406789756,0.8,0.2,0.375515,1,0.55,,,,,,,1
0.6,SBO02,NO,GTUR,OIL,0.375515,1,1,0.15,0.15,110.11,1.703394878,0.8,0.2,0.375515,1,0.55,,,,,,,1
1,SAY01,NO,GTUR,OIL,0.375515,1,1,0.15,0.15,110.11,2.838991463,0.8,0.2,0.375515,1,0.55,,,,,,,1
0.62,SAY02,NO,GTUR,OIL,0.375515,1,1,0.15,0.15,110.11,1.760174707,0.8,0.2,0.375515,1,0.55,,,,,,,1
0.35,SIM01,NO,GTUR,OIL,0.375515,1,1,0.15,0.15,110.11,0.993647012,0.8,0.2,0.375515,1,0.55,,,,,,,1
0.38,SIM02,NO,GTUR,OIL,0.375515,1,1,0.15,0.15,110.11,1.078816756,0.8,0.2,0.375515,1,0.55,,,,,,,1
11,VALLE DE ZONGO - ZONGO,NO,HDAM,WAT,0.85,,,0.15,0.15,0,,0.05,0,,,0.006,,,3219.28,0,0,0,1
9.7,VALLE DE ZONGO - TIQUIMANI,NO,HROR,WAT,0.85,,,0.15,0.15,0,,0.05,0,,,0.006,,,8724.97,0,0,0,1
6.8,VALLE DE ZONGO - BOTIJILACA,NO,HROR,WAT,0.85,,,0.15,0.15,0,,0.05,0,,,0.006,,,,,,,1
23,VALLE DE ZONGO - CUTICUCHO,NO,HROR,WAT,0.85,,,0.15,0.15,0,,0.05,0,,,0.006,,,,,,,1
6.9,VALLE DE ZONGO - SANTA ROSA_1,NO,HROR,WAT,0.85,,,0.15,0.15,0,,0.05,0,,,0.006,,,,,,,1
10.7,VALLE DE ZONGO - SANTA ROSA_2,NO,HDAM,WAT,0.85,,,0.15,0.15,0,,0.05,0,,,0.006,,,1033.26,0,0,0,1
10.5,VALLE DE ZONGO - SAINANI,NO,HROR,WAT,0.85,,,0.15,0.15,0,,0.05,0,,,0.006,,,,,,,1
25.4,VALLE DE ZONGO - CHURURAQUI,NO,HROR,WAT,0.85,,,0.15,0.15,0,,0.05,0,,,0.006,,,,,,,1
25.8,VALLE DE ZONGO - HARCA,NO,HROR,WAT,0.85,,,0.15,0.15,0,,0.05,0,,,0.006,,,,,,,1
28.1,VALLE DE ZONGO - CAHUA,NO,HROR,WAT,0.85,,,0.15,0.15,0,,0.05,0,,,0.006,,,,,,,1
30.2,VALLE DE ZONGO - HUAJI,NO,HROR,WAT,0.64,,,0.15,0.15,0,,0.05,0,,,0.006,,,,,,,1
38.4,CHOJLLA,NO,HDAM,WAT,0.85,,,0.15,0.15,0,,0.05,0,,,0.006,,,8463.47,0,0,0,1
50.8,YANACACHI,NO,HROR,WAT,0.85,,,0.15,0.15,0,,0.05,0,,,0.006,,,,,,,1
2.5,MIGUILLA,NO,HDAM,WAT,0.85,,,0.15,0.15,0,,0.05,0,,,0.006,,,93882896035,0,0,0,1
6.2,ANGOSTURA,NO,HROR,WAT,0.85,,,0.15,0.15,0,,0.05,0,,,0.006,,,,,,,1
