,CE,NO,OR,SU
2020-01-01 00:00:00,248.9819,271.81494000000004,381.718,186.5124
2020-01-01 01:00:00,225.60502,231.17113999999998,365.49550000000005,169.53799999999998
2020-01-01 02:00:00,205.382,207.57693,344.741,163.88330000000002
2020-01-01 03:00:00,194.95015999999998,198.38830000000002,332.5046,159.5985
2020-01-01 04:00:00,193.71416,192.93959999999998,322.8947,157.6209
2020-01-01 05:00:00,169.40513,184.84380000000002,279.67589999999996,136.7325
2020-01-01 06:00:00,157.63119999999998,171.2581,269.3553,130.707
2020-01-01 07:00:00,161.44529,181.46540000000002,285.59839999999997,132.3859
2020-01-01 08:00:00,166.81674,192.87779999999998,306.0336,130.0478
2020-01-01 09:00:00,171.83902,208.2248,327.1486,137.87580000000003
2020-01-01 10:00:00,177.06421,218.1952,344.06120000000004,135.81580000000002
2020-01-01 11:00:00,178.98515999999998,224.56060000000002,369.5949,145.7038
2020-01-01 12:00:00,186.6978,218.257,378.4529,141.5014
2020-01-01 13:00:00,186.1107,217.4536,395.56120000000004,142.6653
2020-01-01 14:00:00,185.8635,214.35330000000002,405.5831,145.11669999999998
2020-01-01 15:00:00,184.42253,212.4787,399.49580000000003,146.9501
2020-01-01 16:00:00,177.62762,214.3739,388.95889999999997,143.34509999999997
2020-01-01 17:00:00,192.15268,220.9041,375.2908,143.067
2020-01-01 18:00:00,232.0384,251.4127,407.5298,153.60389999999998
2020-01-01 19:00:00,280.69766,312.38870000000003,448.3899,193.4134
2020-01-01 20:00:00,273.67512,311.26599999999996,450.6353,195.72060000000002
2020-01-01 21:00:00,256.85419,285.7735,442.0245,190.9723
2020-01-01 22:00:00,232.22071,249.49689999999998,420.12669999999997,178.97279999999998
2020-01-01 23:00:00,212.5199,204.7434,413.9879,166.1699
2020-01-02 00:00:00,195.2983,186.2343,360.8811,158.77450000000002
2020-01-02 01:00:00,184.6378,175.0485,340.53860000000003,148.81439999999998
2020-01-02 02:00:00,173.37990000000002,169.6616,328.2713,149.3912
2020-01-02 03:00:00,169.1363,165.24290000000002,319.38239999999996,144.55020000000002
