,CE -> NO,CE -> SU,NO -> CE,CE -> OR,SU -> CE,OR -> CE
2020-01-01 00:00:00,233.41493999999997,181.58240394170403,0.0,272.5,0.0,0.0
2020-01-01 01:00:00,192.77113999999997,159.305203941704,0.0,272.5,0.0,0.0
2020-01-01 02:00:00,174.61019999999996,156.30190394170404,0.0,272.5,0.0,0.0
2020-01-01 03:00:00,165.6892,155.45240394170403,0.0,272.5,0.0,0.0
2020-01-01 04:00:00,160.39919999999998,150.58670394170403,0.0,272.5,0.0,0.0
2020-01-01 05:00:00,141.06,125.167243941704,0.0,255.17781908405152,0.0,0.0
2020-01-01 06:00:00,127.87,130.619765324336,0.0,253.53381908405157,0.0,0.0
2020-01-01 07:00:00,137.78,124.16596532433599,0.0,269.30381908405155,0.0,0.0
2020-01-01 08:00:00,154.08212999999998,125.26286532433598,0.0,272.5,0.0,0.0
2020-01-01 09:00:00,175.23919999999998,137.579765324336,0.0,272.5,0.0,0.0
2020-01-01 10:00:00,173.44,124.26000000000003,0.0,272.5,0.0,0.0
2020-01-01 11:00:00,191.09920000000002,141.9438,0.0,272.5,0.0,0.0
2020-01-01 12:00:00,184.9792,133.18516532433597,0.0,272.5,0.0,0.0
2020-01-01 13:00:00,172.72,142.22976532433597,0.0,272.5,0.0,0.0
2020-01-01 14:00:00,181.1892,144.60976532433597,0.0,272.5,0.0,0.0
2020-01-01 15:00:00,172.8631,138.30596532433597,0.0,272.5,0.0,0.0
2020-01-01 16:00:00,169.73,139.64256532433595,0.0,272.5,0.0,0.0
2020-01-01 17:00:00,187.54919999999998,134.535965324336,0.0,272.5,0.0,0.0
2020-01-01 18:00:00,217.1692,149.6138,0.0,272.5,0.0,0.0
2020-01-01 19:00:00,264.89000000000004,187.92270394170401,0.0,272.5,0.0,0.0
2020-01-01 20:00:00,275.2792,182.43860394170403,0.0,272.5,0.0,0.0
2020-01-01 21:00:00,250.5292,185.912403941704,0.0,272.5,0.0,0.0
2020-01-01 22:00:00,215.30919999999998,173.709803941704,0.0,272.5,0.0,0.0
2020-01-01 23:00:00,160.38,153.74860394170403,0.0,272.5,0.0,0.0
2020-01-02 00:00:00,142.41,155.08694700988403,0.0,272.5,0.0,0.0
2020-01-02 01:00:00,136.64849999999998,138.20824700988402,0.0,272.5,0.0,0.0
2020-01-02 02:00:00,137.79919999999998,142.24434700988402,0.0,267.72971908405157,0.0,0.0
2020-01-02 03:00:00,133.50920000000002,141.27694700988405,0.0,271.52481908405156,0.0,0.0
2020-01-02 04:00:00,126.9,132.33494700988402,0.0,252.4483190840515,0.0,0.0
2020-01-02 05:00:00,136.4,128.89554700988404,0.0,240.55481908405156,0.0,0.0
2020-01-02 06:00:00,173.0092,133.7057,0.0,265.09481908405155,0.0,0.0
2020-01-02 07:00:00,187.47809999999998,144.90976532433598,0.0,272.5,0.0,0.0
2020-01-02 08:00:00,208.26,151.31916532433598,0.0,272.5,0.0,0.0
