,0
[9] - QOLLPANA II,15366.533454501177
[97] - ARJ08,6834.609395411432
[21] - CCERI40-41-42,394539.2196475513
[90] - WAR01,6864.9003474956
[103] - ARJ12,476.50180848047347
[82] - GCH10,162973.99941118254
[8] - QOLLPANA I,2830.368795440494
[26] - SANTA ISABEL,2720529.070730039
[34] - ALT01,3696.2537253406467
[68] - VALLE DE ZONGO - CUTICUCHO,55320.408285782134
[76] - YANACACHI,502643.00830115745
[6] - VHE07,92.02599999999995
[93] - WAR04,317.61102507378166
[104] - ARJ13,406.01172259469047
[105] - ARJ14,500.4936532433738
[85] - SCZ01,199.704
[20] - CCERI30-31-32,124434.88775394966
[43] - MOS02,1.43
[87] - UNA01,57875.400000003065
[96] - CCWAR40-41-42,365343.67801804084
[114] - YUNCHARA,4807.347609570493
[66] - VALLE DE ZONGO - TIQUIMANI,1516.6132643821184
[113] - UYUNI_COLCHAK,69259.75505036161
[69] - VALLE DE ZONGO - SANTA ROSA,54.970072337329704
[73] - VALLE DE ZONGO - CAHUA,80155.67233960044
[74] - VALLE DE ZONGO - HUAJI,74611.88088942792
[75] - CHOJLLA,185021.003719334
[78] - GCH02,567.1009190427002
[100] - ARJ03,28.931965324336016
[106] - ARJ15,490.0183878830083
[5] - VHE06,182.09399999999988
[98] - ARJ01,27.347508603680197
[95] - CCWAR30-31-32,99042.92674921943
[14] - BUL02,1572.2129742860734
[29] - MIGUILLA,21906.43768753998
[111] - CCSUR30-31-32,68004.57596766802
[116] - LANDARA,1011.9461040344462
[4] - VHE05,220.5889356993021
[32] - CARABUCO,130691.13180620487
[91] - WAR02,12349.100899348405
[83] - GCH11,15387.975062852513
[81] - GCH09,112210.96841034532
[45] - MOS04,1.42
[88] - GBE01,73689.0
[94] - WAR05,8594.140127327659
[77] - GCH01,432.882919084051
[99] - ARJ02,35.840000000000025
[112] - CCSUR40-41-42,161932.5678055165
[117] - PUNUTUMA,1098.5162144581432
[12] - CAR03,181.68828109235238
[7] - VHE08,543.9792266565229
[101] - ARJ09,799.5742140125551
[84] - GCH12,574429.5132744331
[27] - SAN JOSE 1,1157125.9136833618
[23] - ORURO I,85518.68355160202
[67] - VALLE DE ZONGO - BOTIJILACA,28493.10372892117
[118] - SAN JACINTO,37361.24825822975
[24] - ORURO II,94663.66639823341
[25] - CORANI,555672.0945601473
[115] - KILPANI,3052.5748225001666
[65] - SISTEMA ZONGO,3203.4953208911757
[28] - MISICUNI,872392.390603907
[36] - SBU01,7951.0
[72] - VALLE DE ZONGO - HARCA,63876.47908836241
[13] - BUL01,2681.5176671239788
[92] - WAR03,9160.365614365146
[33] - KANATA,35436.155878286765
[70] - VALLE DE ZONGO - SAINANI,24593.789186429392
[15] - BUL03,416.6349449025923
[71] - VALLE DE ZONGO - CHURURAQUI,58603.29756696267
[31] - CHOQUETANGA,196280.01874555548
