,0
[5] - VHE06,233.73053492348657
[112] - CCSUR40-41-42,142891.92239688072
[9] - QOLLPANA II,14568.819652743217
[32] - CARABUCO,267898.26615182444
[100] - ARJ03,28.231983217780105
[110] - SUR04,4288.4541656918245
[90] - WAR01,5529.196083860101
[117] - PUNUTUMA,1275.400414970409
[7] - VHE08,258.5597193043124
[70] - VALLE DE ZONGO - SAINANI,46523.15019606239
[104] - ARJ13,1040.557153579202
[20] - CCERI30-31-32,122535.99541720941
[72] - VALLE DE ZONGO - HARCA,171492.78157278788
[82] - GCH10,144422.81219333474
[99] - ARJ02,28.032001936320086
[91] - WAR02,10002.864086288459
[114] - YUNCHARA,5317.708331288765
[96] - CCWAR40-41-42,355406.30475504673
[76] - YANACACHI,651694.8103984683
[84] - GCH12,549230.5159514819
[85] - SCZ01,10.409747052828976
[77] - GCH01,18.052919084051624
[4] - VHE05,540.4080000000027
[94] - WAR05,7287.924036391404
[116] - LANDARA,1240.234796641934
[28] - MISICUNI,597189.2338718773
[86] - SCZ02,61.24200000000005
[115] - KILPANI,3456.296430090167
[102] - ARJ11,61.65278152772005
[31] - CHOQUETANGA,337119.03516906773
[79] - GCH04,351.1400000000003
[33] - KANATA,33902.187667647755
[105] - ARJ14,1003.7953277613827
[113] - UYUNI_COLCHAK,83153.78059960535
[29] - MIGUILLA,21566.29410035518
[65] - SISTEMA ZONGO,2167.992522328053
[81] - GCH09,103154.02407768244
[34] - ALT01,3417.6638530853115
[21] - CCERI40-41-42,323598.8798781879
[95] - CCWAR30-31-32,106756.05030085152
[106] - ARJ15,1041.5975934728117
[23] - ORURO I,77988.67891476044
[83] - GCH11,8496.66153666025
[39] - MOA06,1.344
[88] - GBE01,73356.4203236638
[97] - ARJ08,4259.026051736098
[14] - BUL02,2204.919320001515
[25] - CORANI,529118.2644388403
[118] - SAN JACINTO,23107.149073143974
[75] - CHOJLLA,202954.4818629673
[111] - CCSUR30-31-32,53240.52644842849
[78] - GCH02,353.96636113560675
[71] - VALLE DE ZONGO - CHURURAQUI,142059.98614954593
[87] - UNA01,57818.52000000306
[36] - SBU01,7836.0
[92] - WAR03,11366.173000289988
[108] - SUR02,1095.3781784090513
[26] - SANTA ISABEL,2381665.627349921
[12] - CAR03,357.6840000000002
[98] - ARJ01,41.59778995623464
[101] - ARJ09,1328.18496461189
[103] - ARJ12,884.0649447676597
[24] - ORURO II,90321.69986102612
[27] - SAN JOSE 1,933414.0018169029
[8] - QOLLPANA I,2663.2904639202266
[68] - VALLE DE ZONGO - CUTICUCHO,121011.91475766785
[74] - VALLE DE ZONGO - HUAJI,168393.56179675664
[73] - VALLE DE ZONGO - CAHUA,191709.07594860968
[6] - VHE07,512.9960000000027
[67] - VALLE DE ZONGO - BOTIJILACA,41553.47736971958
[93] - WAR04,260.2977009652096
