,[68] - VALLE DE ZONGO - BOTIJILACA,[31] - ANGOSTURA,[73] - VALLE DE ZONGO - HARCA,[71] - VALLE DE ZONGO - SAINANI,[34] - KANATA,[76] - CHOJLLA,[77] - YANACACHI,[119] - PUNUTUMA,[32] - CHOQUETANGA,[30] - MIGUILLA,[66] - SISTEMA ZONGO,[26] - SANTA ISABEL,[67] - VALLE DE ZONGO - TIQUIMANI,[74] - VALLE DE ZONGO - CAHUA,[117] - KILPANI,[69] - VALLE DE ZONGO - CUTICUCHO,[27] - SAN JOSE 1,[25] - CORANI,[78] - SISTEMA QUEHATA,[33] - CARABUCO,[72] - VALLE DE ZONGO - CHURURAQUI,[29] - MISICUNI,[75] - VALLE DE ZONGO - HUAJI,[118] - LANDARA,[28] - SAN JOSE 2,[120] - SAN JACINTO,[70] - VALLE DE ZONGO - SANTA ROSA,[8] - QOLLPANA I,[106] - ARJ13,[104] - ARJ11,[13] - BUL01,[20] - CCERI30-31-32,[98] - CCWAR40-41-42,[89] - UNA01,[83] - GCH09,[97] - CCWAR30-31-32,[94] - WAR03,[107] - ARJ14,[80] - GCH02,[95] - WAR04,[85] - GCH11,[105] - ARJ12,[86] - GCH12,[115] - UYUNI_COLCHAK,[114] - CCSUR40-41-42,[112] - SUR04,[22] - CCERI50-51-52,[84] - GCH10,[4] - VHE05,[9] - QOLLPANA II,[12] - CAR03,[23] - ORURO I,[5] - VHE06,[93] - WAR02,[7] - VHE08,[24] - ORURO II,[15] - BUL03,[14] - BUL02,[116] - YUNCHARA,[35] - ALT01,[113] - CCSUR30-31-32,[37] - SBU01,[92] - WAR01,[103] - ARJ09,[79] - GCH01,[99] - ARJ08,[96] - WAR05,[90] - GBE01,[108] - ARJ15,[6] - VHE07,[21] - CCERI40-41-42
01/01/2020 00:00,0,0,25.85,10.5,4.245566793,38.4,50.79,0.082370254,6.2,2.55,0,91.11,0,28.02,0.223919131,22.97,55,65.24,0.666745357,6.13,25.39,120,0,0.079971121,0,7.6,17.59,0.883376679,0,0,0,83.77333338,26.23070241,0,0,116.0502742,0,0,0,0,0,0,79.81,0,73.07596536,0,0,0,0,4.905015336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.66
01/01/2020 01:00,0,0,25.85,10.5,4.245566793,38.4,50.79,0.082370254,6.2,2.55,0,91.11,0,28.02,0.223919131,22.97,0,65.24,0.666745357,6.13,25.39,120,0,0.079971121,0,7.6,11.46293916,0.750970977,0,0,0,83.77333338,26.23070241,0,0,93.96887743,0,0,0,0,0,0,79.81,0,73.07596536,0,0,0,0,4.101038616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.66
01/01/2020 02:00,0,0,25.85,10.5,4.245566793,38.4,50.79,0.082370254,6.2,2.55,0,91.11,0,28.02,0.223919131,22.97,0,65.24,0.666745357,6.13,25.39,120,0,0.079971121,0,7.6,0,0.556921788,0,0,0,83.77333338,26.23070241,0,0,18.6075,0,0,0,0,0,0,79.81,0,73.07596536,0,0,0,0,2.847923304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.66
01/01/2020 03:00,0,0,25.85,10.5,4.245566793,38.4,50.79,0.082370254,6.2,2.55,0,91.11,0,28.02,0.223919131,22.97,55,65.24,0.666745357,6.13,25.39,120,0,0.079971121,0,7.6,0,0.370942233,0,0,0,83.77333338,18.6075,0,0,18.6075,0,0,0,0,0,0,79.81,0,11.90767303,0,0,0,0,1.6573698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.66
01/01/2020 04:00,0,0,25.85,10.5,4.245566793,38.4,50.79,0.082370254,6.2,0,0,91.11,0,28.02,0.223919131,22.97,0,65.24,0.666745357,6.13,25.39,120,0,0.079971121,0,7.6,0,0.241388094,0,0,0,83.77333338,18.6075,0,0,18.6075,0,0,0,0,0,0,79.81,0,11.90767303,0,0,0,0,0.96163284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.66
01/01/2020 05:00,0,0,25.85,10.5,4.245566793,0,50.79,0.082370254,6.2,0,0,91.11,0,28.02,0.223919131,22.97,0,65.24,0.666745357,6.13,25.39,120,0,0.079971121,0,7.6,0,0.172935228,0,0,0,83.73633515,18.6075,0,0,18.6075,0,0,0,0,0,0,46.77838022,0,11.61600001,0,0,0,0,0.677246736,0,0,0,0,0,0,0,0,0.00136,0,0,0,0,0,0,0,0,0,0,0,125.66
01/01/2020 06:00,0,0,25.85,10.5,4.245566793,0,50.79,0.082370254,6.2,0,0,91.11,0,28.02,0.223919131,22.97,0,65.24,0.666745357,6.13,25.39,120,0,0.079971121,0,0,0,0.133665,0,0,0,74.54778853,18.6075,0,0,18.6075,0,0,0,0,0,0,46.23557135,4.690458793,11.61600001,0,0,0,0,0.5500014,0,1.070871131,0,0,0,1.070871131,0,0,0.7325,0,0,0,0,0,0,0,0,0,0,0,125.66
01/01/2020 07:00,0,0,25.85,10.5,4.245566793,0,50.79,0.082370254,6.2,0,0,91.11,0,28.02,0.223919131,22.97,0,65.24,0.666745357,6.13,25.39,120,0,0.079971121,0,0,0,0.213672816,0,0,0,76.11759469,18.6075,0,0,18.6075,0,0,0,0,0,0,46.23557135,15.78491412,11.61600001,0,0,0,0,0.838627104,0,6.872007127,0,0,0,6.872007127,0,0,1.882833,0,0,0,0,0,0,0,0,0,0,0,125.66
01/01/2020 08:00,0,0,25.85,10.5,4.245566793,0,50.79,0.082370254,6.2,0,0,91.11,0,28.02,0.223919131,22.97,0,65.24,0.666745357,6.13,25.39,120,0,0.079971121,0,0,0,0.449915406,0,0,0,77.50633515,18.6075,0,0,18.6075,0,0,0,0,0,0,46.23557135,25.81075395,11.61600001,0,0,0,0,2.148998928,0,16.22603256,0,0,0,16.22603256,0,0,2.671583,0,0,0,0,0,0,0,0,0,0,0,125.66
01/01/2020 09:00,0,0,25.85,10.5,4.245566793,0,50.79,0.082370254,6.2,0,0,91.11,0,28.02,0.223919131,22.97,0,65.24,0.666745357,6.13,25.39,120,0,0.079971121,0,0,0,0.641397936,0,0,0,83.77333338,18.6075,0,0,18.6075,0,0,0,0,0,0,46.23557135,32.21792172,11.61600001,0,0,0,0,3.401476632,0,21.63623638,0,0,0,21.63623638,0,0,3.193688,0,0,0,0,0,0,0,0,0,0,0,125.66
