id,Scenario,Region,WAT,Fossil,CO2,Costs,Label_2,ShadowPrice
1983,Dry year,CE,1.399918283,1.901930634,180.97441,6.206465,,5.446341053
1987,Dry year,CE,1.900464375,1.747471286,152.328657,5.746453,,5.980210567
1988,Dry year,CE,1.898696197,1.59191099,143.901245,6.129492,,5.734750856
1989,Dry year,CE,1.376441978,1.923914758,183.872869,6.4374,,5.444036516
1990,Dry year,CE,1.768563784,1.78916206,156.649478,5.427526,,5.841519743
1991,Dry year,CE,1.883361073,1.705032791,154.116016,5.614117,,5.88887949
1992,Dry year,CE,1.695804975,1.862658615,163.575935,5.978969,,5.843354221
1993,Dry year,CE,2.04538055,1.636428777,141.914222,5.3895,,6.032669088
1998,Dry year,CE,1.319452685,1.917160731,185.382392,6.457471,CE,5.345590739
2009,Dry year,CE,2.114622209,1.614362942,136.116039,5.182131,,6.105899524
1983,Dry year,NO,1.410935362,0.043839089,16.127364,6.206465,,3.363017939
1990,Dry year,NO,1.718725714,0.029161352,10.597791,5.427526,,3.363057157
1992,Dry year,NO,1.465699287,0.043601652,15.445256,5.978969,,3.372517002
1995,Dry year,NO,1.182997261,0.04933565,30.923503,6.343433,NO,3.363057122
1996,Dry year,NO,1.720892826,0.034094003,16.53907,5.56342,,3.372513917
1998,Dry year,NO,1.292553496,0.043470296,21.112587,6.457471,,3.363041993
2000,Dry year,NO,1.445460694,0.041864966,22.097189,6.063937,,3.372526999
2005,Dry year,NO,1.508296317,0.035670319,22.664194,5.596041,,3.363055245
2009,Dry year,NO,1.693863371,0.038294511,21.512312,5.182131,,3.363052515
2012,Dry year,NO,1.525217914,0.041657664,29.693098,5.606832,,3.37252384
1983,Dry year,OR,0,2.771317704,332.71474,6.206465,OR,5.541297406
1987,Dry year,OR,0,2.453412257,330.802822,5.746453,,5.541319559
1988,Dry year,OR,0,2.505388924,331.696401,6.129492,,5.558316224
1989,Dry year,OR,0,2.826990969,333.600814,6.4374,,5.54131543
1990,Dry year,OR,0,2.398553333,329.998841,5.427526,,5.541343196
1991,Dry year,OR,0,2.494356011,331.579285,5.614117,,5.541311484
1992,Dry year,OR,0,2.597304661,331.217202,5.978969,,5.55832399
1993,Dry year,OR,0,2.291164791,329.519014,5.3895,,5.541312302
1998,Dry year,OR,0,2.833495587,333.726342,6.457471,,5.541312433
2009,Dry year,OR,0,2.331075238,330.46482,5.182131,,5.541317053
1983,Dry year,SU,0.021280977,1.438173229,307.889417,6.206465,,2.438027303
1990,Dry year,SU,0.031839058,1.251463524,289.565204,5.427526,,2.298818604
1992,Dry year,SU,0.029599025,1.319443788,297.458662,5.978969,,2.305580122
1995,Dry year,SU,0.03398332,1.498981694,300.862617,6.343433,,2.55155808
1996,Dry year,SU,0.037377056,1.255806452,285.229155,5.56342,,2.30558037
1998,Dry year,SU,0.024747665,1.556538155,314.611931,6.457471,,2.626185182
2000,Dry year,SU,0.032984956,1.282250819,283.72161,6.063937,,2.305585673
2005,Dry year,SU,0.035273841,1.239098499,280.81512,5.596041,,2.298828003
2009,Dry year,SU,0.040099003,1.155298603,270.448975,5.182131,SU,2.29882357
2012,Dry year,SU,0.036714967,1.221858155,272.497818,5.606832,,2.305585807
1980,Normal year,CE,2.501144124,1.203718048,108.407826,25.985068,,6.027913217
1985,Normal year,CE,2.501812403,1.291247665,106.407671,5.201683,,6.202239772
1986,Normal year,CE,2.396882461,1.228924563,108.994065,9.809422,,5.929561812
1997,Normal year,CE,2.247097964,1.295628339,120.400115,7.673625,,5.809927014
2001,Normal year,CE,2.340098582,1.219424631,108.501307,10.475678,,5.823445416
2003,Normal year,CE,1.905995135,1.440897696,135.582212,5.965581,CE,5.511747983
2006,Normal year,CE,2.287987111,1.277910237,115.012633,8.65286,,5.844325199
2014,Normal year,CE,2.136126898,1.348220389,122.63428,6.462643,,5.721364556
2015,Normal year,CE,2.16815435,1.150159829,99.745277,6.125262,,5.45532513
1980,Normal year,NO,1.917951586,0.03554717,14.238318,25.985068,,3.372528208
1981,Normal year,NO,2.098032126,0.023527762,10.160459,6.278629,,3.363065458
1984,Normal year,NO,2.099895048,0.030223358,12.499893,10.773638,,3.372526117
1986,Normal year,NO,1.902431063,0.037023476,20.073097,9.809422,,3.363055827
1988,Normal year,NO,1.714056541,0.044876242,22.96172,6.129492,NO,3.372501091
1997,Normal year,NO,1.746870321,0.042605528,21.062293,7.673625,,3.363058281
2007,Normal year,NO,2.321839912,0.032251955,13.151929,6.395088,,3.635681394
2008,Normal year,NO,1.983749663,0.040989762,22.778703,13.532471,,3.372527759
1980,Normal year,OR,0,2.327111118,329.481202,25.985068,OR,5.558299796
1985,Normal year,OR,0,2.121935746,328.988985,5.201683,,5.541351317
1986,Normal year,OR,0,2.319168436,330.30235,9.809422,,5.541305087
