Scenario,region,id,r,fuel_class,fraction
Baseline,CE,2020,1,BIO,0
Baseline,CE,2020,1,GAS,0.396
Baseline,CE,2020,1,OIL,0
Baseline,CE,2020,1,SUN,0.0563
Baseline,CE,2020,1,WIN,0.0055
Baseline,CE,2020,1,WAT,0.5423
Baseline,NO,2020,1,BIO,0
Baseline,NO,2020,1,GAS,0.0247
Baseline,NO,2020,1,OIL,0
Baseline,NO,2020,1,SUN,0
Baseline,NO,2020,1,WIN,0
Baseline,NO,2020,1,WAT,0.9753
Baseline,OR,2020,1,BIO,0
Baseline,OR,2020,1,GAS,1
Baseline,OR,2020,1,OIL,0
Baseline,OR,2020,1,SUN,0
Baseline,OR,2020,1,WIN,0
Baseline,OR,2020,1,WAT,0
Baseline,SU,2020,1,BIO,0
Baseline,SU,2020,1,GAS,0.857
Baseline,SU,2020,1,OIL,0
Baseline,SU,2020,1,SUN,0.0768
Baseline,SU,2020,1,WIN,0
Baseline,SU,2020,1,WAT,0.0662
Historical,CE,1980,36,BIO,0
Historical,CE,1980,36,GAS,0.3084
Historical,CE,1980,36,OIL,0
Historical,CE,1980,36,SUN,0.0463
Historical,CE,1980,36,WIN,0.0045
Historical,CE,1980,36,WAT,0.6408
Historical,CE,1981,35,BIO,0
Historical,CE,1981,35,GAS,0.3147
Historical,CE,1981,35,OIL,0
Historical,CE,1981,35,SUN,0.0487
Historical,CE,1981,35,WIN,0.0048
Historical,CE,1981,35,WAT,0.6319
Historical,CE,1982,29,BIO,0
Historical,CE,1982,29,GAS,0.3311
Historical,CE,1982,29,OIL,0
Historical,CE,1982,29,SUN,0.0512
Historical,CE,1982,29,WIN,0.005
Historical,CE,1982,29,WAT,0.6126
Historical,CE,1983,3,BIO,0
Historical,CE,1983,3,GAS,0.5393
Historical,CE,1983,3,OIL,0
Historical,CE,1983,3,SUN,0.0581
Historical,CE,1983,3,WIN,0.0056
Historical,CE,1983,3,WAT,0.397
Historical,CE,1984,34,BIO,0
Historical,CE,1984,34,GAS,0.3174
Historical,CE,1984,34,OIL,0
Historical,CE,1984,34,SUN,0.0499
Historical,CE,1984,34,WIN,0.0049
Historical,CE,1984,34,WAT,0.6278
Historical,CE,1985,32,BIO,0
Historical,CE,1985,32,GAS,0.3215
Historical,CE,1985,32,OIL,0
Historical,CE,1985,32,SUN,0.0506
Historical,CE,1985,32,WIN,0.0049
Historical,CE,1985,32,WAT,0.623
Historical,CE,1986,33,BIO,0
Historical,CE,1986,33,GAS,0.3201
Historical,CE,1986,33,OIL,0
Historical,CE,1986,33,SUN,0.0506
Historical,CE,1986,33,WIN,0.005
Historical,CE,1986,33,WAT,0.6243
Historical,CE,1987,10,BIO,0
Historical,CE,1987,10,GAS,0.4513
Historical,CE,1987,10,OIL,0
Historical,CE,1987,10,SUN,0.0528
Historical,CE,1987,10,WIN,0.0051
Historical,CE,1987,10,WAT,0.4908
Historical,CE,1988,14,BIO,0
Historical,CE,1988,14,GAS,0.4287
Historical,CE,1988,14,OIL,0
Historical,CE,1988,14,SUN,0.0547
Historical,CE,1988,14,WIN,0.0053
Historical,CE,1988,14,WAT,0.5113
Historical,CE,1989,2,BIO,0
Historical,CE,1989,2,GAS,0.5458
Historical,CE,1989,2,OIL,0
Historical,CE,1989,2,SUN,0.0581
Historical,CE,1989,2,WIN,0.0056
