Scenario,hour,Total,type,capacity,fraction,type_label
Scenario1,0,679.0334243,Solar,0,0,Solar power
Scenario1,1,634.8858757,Solar,0,0,Solar power
Scenario1,2,617.6042587,Solar,0,0,Solar power
Scenario1,3,615.6139413,Solar,0,0,Solar power
Scenario1,4,588.1662,Solar,0,0,Solar power
Scenario1,5,583.77,Solar,0,0,Solar power
Scenario1,6,560.5213,Solar,0,0,Solar power
Scenario1,7,579.0071,Solar,18.32179242,0.031643468,Solar power
Scenario1,8,626.1658,Solar,56.18181467,0.089723544,Solar power
Scenario1,9,675.4341,Solar,85.06745223,0.125944859,Solar power
Scenario1,10,718.8371,Solar,104.7208679,0.145680945,Solar power
Scenario1,11,748.1821,Solar,115.7634305,0.154726277,Solar power
Scenario1,12,754.4413442,Solar,118.740186,0.157388228,Solar power
Scenario1,13,758.6225558,Solar,113.7772324,0.14997871,Solar power
Scenario1,14,770.9077,Solar,100.8422605,0.130809772,Solar power
Scenario1,15,768.3496,Solar,79.51902798,0.10349329,Solar power
Scenario1,16,811.8444,Solar,50.0755339,0.061681196,Solar power
Scenario1,17,901.3376,Solar,16.73249498,0.018564071,Solar power
Scenario1,18,1100.5,Solar,0,0,Solar power
Scenario1,19,1084.36,Solar,0,0,Solar power
Scenario1,20,1035.5448,Solar,0,0,Solar power
Scenario1,21,989.1999,Solar,0,0,Solar power
Scenario1,22,857.7606,Solar,0,0,Solar power
Scenario1,23,728.0518,Solar,0,0,Solar power
Scenario1,0,679.0334243,Wind,1.496356647,0.002203657,Wind power
Scenario1,1,634.8858757,Wind,1.401687693,0.002207779,Wind power
Scenario1,2,617.6042587,Wind,1.191128904,0.001928628,Wind power
Scenario1,3,615.6139413,Wind,1.019024802,0.001655298,Wind power
Scenario1,4,588.1662,Wind,0.894883767,0.001521481,Wind power
Scenario1,5,583.77,Wind,0.803844378,0.001376988,Wind power
Scenario1,6,560.5213,Wind,0.670907952,0.001196936,Wind power
Scenario1,7,579.0071,Wind,0.562259391,0.000971075,Wind power
Scenario1,8,626.1658,Wind,0.798739701,0.001275604,Wind power
Scenario1,9,675.4341,Wind,0.727264089,0.001076736,Wind power
Scenario1,10,718.8371,Wind,0.808984173,0.001125407,Wind power
Scenario1,11,748.1821,Wind,1.221065208,0.001632043,Wind power
Scenario1,12,754.4413442,Wind,2.216970156,0.002938559,Wind power
Scenario1,13,758.6225558,Wind,3.814412235,0.005028076,Wind power
Scenario1,14,770.9077,Wind,5.580070647,0.007238312,Wind power
Scenario1,15,768.3496,Wind,7.463329236,0.009713455,Wind power
Scenario1,16,811.8444,Wind,8.934601245,0.011005312,Wind power
Scenario1,17,901.3376,Wind,7.36628226,0.008172612,Wind power
Scenario1,18,1100.5,Wind,4.028092491,0.003660239,Wind power
Scenario1,19,1084.36,Wind,3.519969642,0.003246126,Wind power
Scenario1,20,1035.5448,Wind,3.76767816,0.003638354,Wind power
Scenario1,21,989.1999,Wind,3.547184706,0.003585913,Wind power
Scenario1,22,857.7606,Wind,3.060007107,0.003567437,Wind power
Scenario1,23,728.0518,Wind,2.595748713,0.003565335,Wind power
Scenario1,0,679.0334243,Bio,0,0,Biomass
Scenario1,1,634.8858757,Bio,0,0,Biomass
Scenario1,2,617.6042587,Bio,0,0,Biomass
Scenario1,3,615.6139413,Bio,0,0,Biomass
Scenario1,4,588.1662,Bio,0,0,Biomass
Scenario1,5,583.77,Bio,0,0,Biomass
Scenario1,6,560.5213,Bio,0,0,Biomass
Scenario1,7,579.0071,Bio,0,0,Biomass
Scenario1,8,626.1658,Bio,0,0,Biomass
Scenario1,9,675.4341,Bio,0,0,Biomass
Scenario1,10,718.8371,Bio,0,0,Biomass
Scenario1,11,748.1821,Bio,0,0,Biomass
Scenario1,12,754.4413442,Bio,0,0,Biomass
Scenario1,13,758.6225558,Bio,0,0,Biomass
Scenario1,14,770.9077,Bio,0,0,Biomass
Scenario1,15,768.3496,Bio,0,0,Biomass
Scenario1,16,811.8444,Bio,0,0,Biomass
Scenario1,17,901.3376,Bio,0,0,Biomass
Scenario1,18,1100.5,Bio,0,0,Biomass
Scenario1,19,1084.36,Bio,0,0,Biomass
Scenario1,20,1035.5448,Bio,0,0,Biomass
Scenario1,21,989.1999,Bio,0,0,Biomass
Scenario1,22,857.7606,Bio,0,0,Biomass
Scenario1,23,728.0518,Bio,0,0,Biomass
Scenario1,0,679.0334243,Oil,0,0,Oil
Scenario1,1,634.8858757,Oil,0,0,Oil
Scenario1,2,617.6042587,Oil,0,0,Oil
Scenario1,3,615.6139413,Oil,0,0,Oil
Scenario1,4,588.1662,Oil,0,0,Oil
Scenario1,5,583.77,Oil,0,0,Oil
Scenario1,6,560.5213,Oil,0,0,Oil
Scenario1,7,579.0071,Oil,0,0,Oil
Scenario1,8,626.1658,Oil,0,0,Oil
Scenario1,9,675.4341,Oil,0,0,Oil
Scenario1,10,718.8371,Oil,0,0,Oil
Scenario1,11,748.1821,Oil,0,0,Oil
Scenario1,12,754.4413442,Oil,0,0,Oil
Scenario1,13,758.6225558,Oil,0,0,Oil
Scenario1,14,770.9077,Oil,0,0,Oil
Scenario1,15,768.3496,Oil,0,0,Oil
Scenario1,16,811.8444,Oil,0,0,Oil
Scenario1,17,901.3376,Oil,0,0,Oil
Scenario1,18,1100.5,Oil,0,0,Oil
Scenario1,19,1084.36,Oil,0,0,Oil
Scenario1,20,1035.5448,Oil,0,0,Oil
Scenario1,21,989.1999,Oil,0,0,Oil
Scenario1,22,857.7606,Oil,0,0,Oil
Scenario1,23,728.0518,Oil,0,0,Oil
Scenario1,0,679.0334243,Hydro,278.02582,0.409443497,Hydro-power
Scenario1,1,634.8858757,Hydro,278.02582,0.43791464,Hydro-power
Scenario1,2,617.6042587,Hydro,278.02582,0.450168236,Hydro-power
Scenario1,3,615.6139413,Hydro,278.02582,0.451623658,Hydro-power
Scenario1,4,588.1662,Hydro,278.02582,0.472699417,Hydro-power
Scenario1,5,583.77,Hydro,278.02582,0.476259177,Hydro-power
Scenario1,6,560.5213,Hydro,278.02582,0.496012944,Hydro-power
Scenario1,7,579.0071,Hydro,278.02582,0.480176875,Hydro-power
Scenario1,8,626.1658,Hydro,278.02582,0.444013103,Hydro-power
Scenario1,9,675.4341,Hydro,278.02582,0.411625383,Hydro-power
Scenario1,10,718.8371,Hydro,278.02582,0.386771662,Hydro-power
Scenario1,11,748.1821,Hydro,278.02582,0.371601807,Hydro-power
Scenario1,12,754.4413442,Hydro,278.02582,0.368518802,Hydro-power
Scenario1,13,758.6225558,Hydro,278.02582,0.366487679,Hydro-power
Scenario1,14,770.9077,Hydro,278.02582,0.360647351,Hydro-power
Scenario1,15,768.3496,Hydro,278.02582,0.36184807,Hydro-power
Scenario1,16,811.8444,Hydro,278.02582,0.342461955,Hydro-power
Scenario1,17,901.3376,Hydro,278.02582,0.308459139,Hydro-power
Scenario1,18,1100.5,Hydro,367.8626705,0.334268669,Hydro-power
Scenario1,19,1084.36,Hydro,352.2307934,0.32482828,Hydro-power
Scenario1,20,1035.5448,Hydro,303.1678849,0.292761728,Hydro-power
Scenario1,21,989.1999,Hydro,278.02582,0.28106131,Hydro-power
Scenario1,22,857.7606,Hydro,278.02582,0.324129856,Hydro-power
Scenario1,23,728.0518,Hydro,278.02582,0.381876427,Hydro-power
Scenario1,0,679.0334243,Gas,399.5112476,0.588352846,Gas
Scenario1,1,634.8858757,Gas,355.4583681,0.559877581,Gas
Scenario1,2,617.6042587,Gas,338.3873098,0.547903135,Gas
Scenario1,3,615.6139413,Gas,336.5690964,0.546721044,Gas
Scenario1,4,588.1662,Gas,309.2454962,0.525779102,Gas
Scenario1,5,583.77,Gas,304.9403356,0.522363834,Gas
Scenario1,6,560.5213,Gas,281.824572,0.502790121,Gas
Scenario1,7,579.0071,Gas,282.0972282,0.487208582,Gas
Scenario1,8,626.1658,Gas,291.1594256,0.464987749,Gas
Scenario1,9,675.4341,Gas,311.6135637,0.461353023,Gas
Scenario1,10,718.8371,Gas,335.2814279,0.466421986,Gas
Scenario1,11,748.1821,Gas,353.1717842,0.472039874,Gas
Scenario1,12,754.4413442,Gas,355.4583681,0.471154412,Gas
Scenario1,13,758.6225558,Gas,363.0050912,0.478505534,Gas
Scenario1,14,770.9077,Gas,386.4595489,0.501304565,Gas
Scenario1,15,768.3496,Gas,403.3414228,0.524945185,Gas
Scenario1,16,811.8444,Gas,474.8084449,0.584851537,Gas
Scenario1,17,901.3376,Gas,599.2130028,0.664804179,Gas
Scenario1,18,1100.5,Gas,728.609237,0.662071092,Gas
Scenario1,19,1084.36,Gas,728.609237,0.671925594,Gas
Scenario1,20,1035.5448,Gas,728.609237,0.703599919,Gas
Scenario1,21,989.1999,Gas,707.6268953,0.715352777,Gas
Scenario1,22,857.7606,Gas,576.6747729,0.672302706,Gas
Scenario1,23,728.0518,Gas,447.4302313,0.614558238,Gas
Scenario2,0,1199.534289,Solar,0,0,Solar power
Scenario2,1,1144.209137,Solar,0,0,Solar power
Scenario2,2,1111.957207,Solar,0,0,Solar power
Scenario2,3,1095.884487,Solar,0,0,Solar power
Scenario2,4,1092.208203,Solar,0,0,Solar power
Scenario2,5,1048.234454,Solar,0,0,Solar power
Scenario2,6,1134.097985,Solar,7.9338875,0.006995769,Solar power
Scenario2,7,1271.118385,Solar,38.90283509,0.030605202,Solar power
Scenario2,8,1407.555953,Solar,76.61095845,0.054428357,Solar power
Scenario2,9,1461.097676,Solar,106.0162262,0.072559301,Solar power
Scenario2,10,1475.947762,Solar,121.3523484,0.082219948,Solar power
Scenario2,11,1500.495646,Solar,128.0153353,0.085315366,Solar power
Scenario2,12,1505.578367,Solar,127.6675119,0.084796325,Solar power
Scenario2,13,1562.447302,Solar,118.7507201,0.076003024,Solar power
Scenario2,14,1554.163149,Solar,102.9272379,0.066226791,Solar power
Scenario2,15,1533.116939,Solar,81.49194475,0.053154422,Solar power
Scenario2,16,1508.979646,Solar,57.09316531,0.03783561,Solar power
Scenario2,17,1457.158123,Solar,31.77385529,0.021805359,Solar power
Scenario2,18,1585.974901,Solar,8.88530789,0.005602427,Solar power
Scenario2,19,1597.094137,Solar,0,0,Solar power
Scenario2,20,1578.87166,Solar,0,0,Solar power
Scenario2,21,1551.928693,Solar,0,0,Solar power
Scenario2,22,1419.863337,Solar,0,0,Solar power
Scenario2,23,1298.473701,Solar,0,0,Solar power
Scenario2,0,1199.534289,Wind,0.691755672,0.000576687,Wind power
Scenario2,1,1144.209137,Wind,0.638504079,0.000558031,Wind power
Scenario2,2,1111.957207,Wind,0.668916711,0.000601567,Wind power
Scenario2,3,1095.884487,Wind,0.609804225,0.000556449,Wind power
Scenario2,4,1092.208203,Wind,0.589107609,0.000539373,Wind power
Scenario2,5,1048.234454,Wind,0.648424713,0.000618587,Wind power
