,CORANI,SANTA ISABEL,SAN JOSE 1,SAN JOSE 2,KANATA,MISICUNI,MIGUILLA,ANGOSTURA,CHOQUETANGA,CARABUCO
2019-12-31 00:00:00+00:00,26.680,28.180,38.650,38.650,0.350,10.980,0.680,2.400,3.090,4.030
2020-01-01 00:00:00+00:00,26.680,28.180,38.650,38.650,0.350,10.980,0.680,2.400,3.090,4.030
2020-01-02 00:00:00+00:00,26.680,28.180,38.650,38.650,0.350,10.980,0.680,2.400,3.090,4.030
2020-01-03 00:00:00+00:00,26.683,28.176,38.653,38.653,0.351,10.980,0.675,2.403,3.090,4.033
2020-01-04 00:00:00+00:00,26.683,28.176,38.653,38.653,0.351,10.980,0.675,2.403,3.090,4.033
2020-01-05 00:00:00+00:00,26.683,28.176,38.653,38.653,0.351,10.980,0.675,2.403,3.090,4.033
2020-01-06 00:00:00+00:00,26.683,28.176,38.653,38.653,0.351,10.980,0.675,2.403,3.090,4.033
2020-01-07 00:00:00+00:00,26.683,28.176,38.653,38.653,0.351,10.980,0.675,2.403,3.090,4.033
2020-01-08 00:00:00+00:00,26.683,28.176,38.653,38.653,0.351,10.980,0.675,2.403,3.090,4.033
2020-01-09 00:00:00+00:00,26.683,28.176,38.653,38.653,0.351,10.980,0.675,2.403,3.090,4.033
2020-01-10 00:00:00+00:00,25.349,26.594,38.394,38.394,0.436,15.380,0.722,2.994,4.048,4.717
2020-01-11 00:00:00+00:00,25.349,26.594,38.394,38.394,0.436,15.380,0.722,2.994,4.048,4.717
2020-01-12 00:00:00+00:00,25.349,26.594,38.394,38.394,0.436,15.380,0.722,2.994,4.048,4.717
2020-01-13 00:00:00+00:00,25.349,26.594,38.394,38.394,0.436,15.380,0.722,2.994,4.048,4.717
2020-01-14 00:00:00+00:00,25.349,26.594,38.394,38.394,0.436,15.380,0.722,2.994,4.048,4.717
2020-01-15 00:00:00+00:00,25.349,26.594,38.394,38.394,0.436,15.380,0.722,2.994,4.048,4.717
2020-01-16 00:00:00+00:00,25.349,26.594,38.394,38.394,0.436,15.380,0.722,2.994,4.048,4.717
2020-01-17 00:00:00+00:00,24.626,26.433,40.664,40.664,0.373,9.966,0.839,3.313,4.245,4.957
2020-01-18 00:00:00+00:00,24.626,26.433,40.664,40.664,0.373,9.966,0.839,3.313,4.245,4.957
2020-01-19 00:00:00+00:00,24.626,26.433,40.664,40.664,0.373,9.966,0.839,3.313,4.245,4.957
2020-01-20 00:00:00+00:00,24.626,26.433,40.664,40.664,0.373,9.966,0.839,3.313,4.245,4.957
2020-01-21 00:00:00+00:00,24.626,26.433,40.664,40.664,0.373,9.966,0.839,3.313,4.245,4.957
2020-01-22 00:00:00+00:00,24.626,26.433,40.664,40.664,0.373,9.966,0.839,3.313,4.245,4.957
2020-01-23 00:00:00+00:00,24.626,26.433,40.664,40.664,0.373,9.966,0.839,3.313,4.245,4.957
2020-01-24 00:00:00+00:00,16.804,18.073,32.013,32.013,0.421,10.504,0.718,3.317,4.310,5.043
2020-01-25 00:00:00+00:00,16.804,18.073,32.013,32.013,0.421,10.504,0.718,3.317,4.310,5.043
2020-01-26 00:00:00+00:00,16.804,18.073,32.013,32.013,0.421,10.504,0.718,3.317,4.310,5.043
2020-01-27 00:00:00+00:00,16.804,18.073,32.013,32.013,0.421,10.504,0.718,3.317,4.310,5.043
2020-01-28 00:00:00+00:00,16.804,18.073,32.013,32.013,0.421,10.504,0.718,3.317,4.310,5.043
2020-01-29 00:00:00+00:00,16.804,18.073,32.013,32.013,0.421,10.504,0.718,3.317,4.310,5.043
2020-01-30 00:00:00+00:00,16.804,18.073,32.013,32.013,0.421,10.504,0.718,3.317,4.310,5.043
2020-01-31 00:00:00+00:00,15.611,17.010,27.986,27.986,0.315,6.270,0.481,2.588,3.591,4.414
2020-02-01 00:00:00+00:00,15.611,17.010,27.986,27.986,0.315,6.270,0.481,2.588,3.591,4.414
2020-02-02 00:00:00+00:00,15.611,17.010,27.986,27.986,0.315,6.270,0.481,2.588,3.591,4.414
2020-02-03 00:00:00+00:00,15.611,17.010,27.986,27.986,0.315,6.270,0.481,2.588,3.591,4.414
2020-02-04 00:00:00+00:00,15.611,17.010,27.986,27.986,0.315,6.270,0.481,2.588,3.591,4.414
2020-02-05 00:00:00+00:00,15.611,17.010,27.986,27.986,0.315,6.270,0.481,2.588,3.591,4.414
2020-02-06 00:00:00+00:00,15.611,17.010,27.986,27.986,0.315,6.270,0.481,2.588,3.591,4.414
2020-02-07 00:00:00+00:00,21.674,23.644,38.180,38.180,0.562,11.470,0.509,1.587,2.517,3.643
