TIMESTAMP,MIGUILLA,ANGOSTURA,CHOQUETANGA,CARABUCO,CORANI,SANTA ISABEL,SAN JOSE 1,SAN JOSE 2,MISICUNI,KANATA
1979-12-31 00:00:00+00:00,3.714,10.713,17.825,28.922,177.944,189.386,244.219,244.219,150.490,0.218
1980-01-01 00:00:00+00:00,3.714,10.713,17.825,28.922,177.944,189.386,244.219,244.219,150.490,0.218
1980-01-02 00:00:00+00:00,3.331,9.297,15.772,25.681,191.071,201.204,249.478,249.478,118.003,0.231
1980-01-03 00:00:00+00:00,3.215,8.865,14.915,24.196,157.859,166.913,209.870,209.870,99.308,0.199
1980-01-04 00:00:00+00:00,2.953,8.211,13.643,21.926,101.229,109.903,150.506,150.506,86.775,0.199
1980-01-05 00:00:00+00:00,2.626,7.321,12.359,20.028,97.530,105.187,141.364,141.364,75.159,0.199
1980-01-06 00:00:00+00:00,2.417,6.702,11.357,18.387,104.665,112.462,148.655,148.655,67.713,0.199
1980-01-07 00:00:00+00:00,2.257,6.262,10.607,17.184,92.437,99.070,130.047,130.047,62.568,0.199
1980-01-08 00:00:00+00:00,2.264,6.353,10.503,16.875,64.031,70.084,98.446,98.446,59.676,0.349
1980-01-09 00:00:00+00:00,2.032,5.718,9.573,15.425,68.858,74.731,102.215,102.215,54.995,0.305
1980-01-10 00:00:00+00:00,1.912,5.373,8.996,14.555,71.167,76.819,103.067,103.067,51.443,0.218
1980-01-11 00:00:00+00:00,1.825,5.126,8.556,13.801,65.405,70.572,94.614,94.614,48.819,0.218
1980-01-12 00:00:00+00:00,1.765,4.982,8.254,13.268,48.571,53.564,76.790,76.790,45.210,0.218
1980-01-13 00:00:00+00:00,1.713,4.906,8.077,13.019,55.220,59.970,82.082,82.082,43.142,0.274
1980-01-14 00:00:00+00:00,1.594,4.565,7.565,12.202,56.731,61.213,82.138,82.138,41.062,0.274
1980-01-15 00:00:00+00:00,1.583,4.527,7.432,11.956,55.645,59.999,80.289,80.289,42.124,0.274
1980-01-16 00:00:00+00:00,1.567,4.533,7.347,11.741,41.620,45.788,65.175,65.175,41.657,0.274
1980-01-17 00:00:00+00:00,1.525,4.417,7.132,11.370,47.922,51.994,70.881,70.881,39.615,0.231
1980-01-18 00:00:00+00:00,1.450,4.199,6.804,10.866,48.030,51.925,69.996,69.996,37.785,0.231
