TIMESTAMP,CHOJLLA,YANACACHI,SISTEMA ZONGO,VALLE DE ZONGO - TIQUIMANI,VALLE DE ZONGO - BOTIJILACA,VALLE DE ZONGO - CUTICUCHO,VALLE DE ZONGO - SANTA ROSA,VALLE DE ZONGO - SAINANI,VALLE DE ZONGO - CHURURAQUI,VALLE DE ZONGO - HARCA,VALLE DE ZONGO - CAHUA,VALLE DE ZONGO - HUAJI,QUEHATA
1979-12-31 00:00:00+00:00,42.426,99.1193,3.971132,3.61012,8.84128,19.61688,28.98068,35.69678,56.95908,71.63538,88.05448,132.67988,0.34
1980-01-01 00:00:00+00:00,42.426,99.1193,3.971132,3.61012,8.84128,19.61688,28.98068,35.69678,56.95908,71.63538,88.05448,132.67988,0.34
1980-01-02 00:00:00+00:00,37.6669,87.8973,3.293037,2.99367,7.73443,17.25436,25.71713,31.75213,50.50563,63.89553,78.83143,119.07933,0.34
1980-01-03 00:00:00+00:00,33.9684,79.9125,2.860836,2.60076,6.85452,15.39501,23.11384,28.58384,45.44734,57.80114,71.55284,109.00224,0.34
1980-01-04 00:00:00+00:00,31.0377,72.8171,2.541154,2.31014,6.33469,15.00518,23.64486,28.99206,47.15426,59.22266,73.11156,110.45386,0.21
1980-01-05 00:00:00+00:00,28.4451,67.0936,2.286977,2.07907,5.62211,12.93311,19.81273,24.50793,39.29593,50.10813,62.25253,95.18633,0.15
1980-01-06 00:00:00+00:00,26.1771,61.8808,2.077922,1.88902,5.12431,11.82226,18.15638,22.46268,35.93418,45.91478,57.08678,87.56328,0.17
1980-01-07 00:00:00+00:00,24.5913,58.058,1.902967,1.72997,4.7032,10.89446,16.78683,20.77523,33.19183,42.58443,53.13823,83.78853,0.33
1980-01-08 00:00:00+00:00,22.7766,54.1452,1.80004,1.6364,4.39782,10.26535,15.8194,19.5262,31.0788,39.8293,49.6334,77.5575,0.47
1980-01-09 00:00:00+00:00,21.7881,51.7787,1.702877,1.54807,4.26424,9.74962,15.01653,18.62053,29.46963,37.85253,47.11593,73.25223,0.47
1980-01-10 00:00:00+00:00,21.1689,50.03,1.75813,1.5983,4.29623,9.80355,15.0033,18.5001,29.0182,37.1412,46.1379,71.5239,0.47
