,Zongo Tiquimani,Zongo Botijilaca,Zongo Central,Zongo Cuticucho,Zongo Santa Rosa,Zongo Sainami,Zongo Chururaqui,Zongo Harca,Zongo Cahua,Chepete,Bala,Cachuela Esperanza,Binacional Madera
01/01/1980,0.10,9.01,3.29,11.02,11.97,2.62,1.67,37.97,16.22,2055.91,17878.86,711.14,5808.29
02/01/1980,0.10,6.43,2.35,7.87,8.55,1.87,1.19,27.11,11.58,1592.54,13849.19,695.35,5584.32
03/01/1980,0.10,5.34,1.95,6.53,7.09,1.55,0.99,22.51,9.61,1370.99,11922.53,690.63,6073.01
04/01/1980,0.10,4.80,1.75,5.86,6.37,1.40,0.89,20.21,8.63,1225.32,10655.80,684.25,5978.89
05/01/1980,0.10,4.41,1.61,5.39,5.85,1.28,0.82,18.57,7.93,1113.40,9682.43,677.35,5901.32
06/01/1980,0.10,4.10,1.50,5.01,5.45,1.19,0.76,17.28,7.38,1029.97,8956.91,669.78,5842.58
07/01/1980,0.10,3.92,1.43,4.80,5.21,1.14,0.73,16.54,7.07,1001.38,8708.35,670.87,5970.76
08/01/1980,0.10,3.80,1.39,4.65,5.05,1.11,0.70,16.01,6.84,1031.95,8974.17,683.40,6010.60
09/01/1980,0.10,3.65,1.33,4.47,4.85,1.06,0.68,15.40,6.58,980.88,8530.02,690.06,6043.06
10/01/1980,0.10,3.54,1.29,4.33,4.70,1.03,0.66,14.93,6.38,948.11,8245.04,685.69,6000.32
11/01/1980,0.10,3.52,1.29,4.31,4.68,1.02,0.65,14.84,6.34,926.29,8055.32,688.86,6125.15
12/01/1980,0.10,3.47,1.26,4.24,4.60,1.01,0.64,14.61,6.24,926.16,8054.20,743.65,6409.87
13/01/1980,0.10,3.40,1.24,4.16,4.52,0.99,0.63,14.35,6.13,889.51,7735.49,743.14,6166.17
14/01/1980,0.10,3.35,1.22,4.09,4.44,0.97,0.62,14.10,6.02,834.45,7256.66,736.97,6019.29
15/01/1980,0.10,3.19,1.16,3.90,4.24,0.93,0.59,13.45,5.74,786.06,6835.79,730.31,5922.87
16/01/1980,0.10,3.15,1.15,3.86,4.19,0.92,0.58,13.29,5.68,757.44,6586.90,723.63,5866.74
17/01/1980,0.10,3.15,1.15,3.86,4.19,0.92,0.59,13.29,5.68,732.54,6370.40,717.49,5825.38
18/01/1980,0.10,3.02,1.10,3.70,4.02,0.88,0.56,12.74,5.44,695.20,6045.68,709.83,5798.14
19/01/1980,0.10,2.90,1.06,3.54,3.85,0.84,0.54,12.21,5.21,664.04,5774.67,702.98,5777.63
20/01/1980,0.10,2.85,1.04,3.48,3.78,0.83,0.53,12.00,5.13,654.87,5694.94,698.34,5768.10
21/01/1980,0.10,2.81,1.03,3.43,3.73,0.82,0.52,11.84,5.06,637.03,5539.79,691.46,5740.70
22/01/1980,0.10,2.75,1.00,3.37,3.66,0.80,0.51,11.60,4.96,611.99,5322.04,682.13,5704.78
23/01/1980,0.10,2.81,1.03,3.44,3.74,0.82,0.52,11.86,5.07,622.42,5412.76,674.57,5679.04
24/01/1980,0.10,2.95,1.08,3.60,3.92,0.86,0.55,12.43,5.31,645.50,5613.46,668.37,5654.65
25/01/1980,0.10,3.03,1.11,3.71,4.03,0.88,0.56,12.79,5.46,671.62,5840.61,667.31,5699.13
26/01/1980,0.10,3.02,1.10,3.69,4.01,0.88,0.56,12.72,5.43,655.51,5700.49,665.35,5742.54
27/01/1980,0.10,3.29,1.20,4.02,4.37,0.96,0.61,13.86,5.92,706.72,6145.90,657.96,5723.02
28/01/1980,0.10,3.49,1.27,4.26,4.63,1.01,0.65,14.69,6.28,747.28,6498.57,648.67,5679.46
29/01/1980,0.10,3.31,1.21,4.04,4.39,0.96,0.61,13.94,5.95,711.17,6184.55,639.94,5671.68
30/01/1980,0.10,3.15,1.15,3.85,4.18,0.92,0.58,13.26,5.67,667.59,5805.60,630.16,5662.75
31/01/1980,0.10,3.11,1.13,3.80,4.13,0.90,0.58,13.09,5.59,658.71,5728.31,628.90,5704.40
