TIMESTAMP,SAN JACINTO,KILPANI,LANDARA,PUNUTUMA
1979-12-31 00:00:00+00:00,109.08,0.90,0.90,0.90
1980-01-01 00:00:00+00:00,109.08,0.90,0.90,0.90
1980-01-02 00:00:00+00:00,53.63,0.81,0.81,0.81
1980-01-03 00:00:00+00:00,39.50,0.73,0.73,0.73
1980-01-04 00:00:00+00:00,33.68,0.65,0.65,0.65
1980-01-05 00:00:00+00:00,32.45,0.58,0.58,0.58
1980-01-06 00:00:00+00:00,34.83,0.53,0.53,0.53
1980-01-07 00:00:00+00:00,35.73,0.49,0.49,0.49
1980-01-08 00:00:00+00:00,37.90,0.46,0.46,0.46
1980-01-09 00:00:00+00:00,43.62,0.43,0.43,0.43
1980-01-10 00:00:00+00:00,53.62,0.42,0.42,0.42
1980-01-11 00:00:00+00:00,54.14,0.40,0.40,0.40
1980-01-12 00:00:00+00:00,42.28,0.40,0.40,0.40
1980-01-13 00:00:00+00:00,57.24,0.41,0.41,0.41
1980-01-14 00:00:00+00:00,61.55,0.40,0.40,0.40
1980-01-15 00:00:00+00:00,50.19,0.38,0.38,0.38
1980-01-16 00:00:00+00:00,41.74,0.36,0.36,0.36
1980-01-17 00:00:00+00:00,36.21,0.36,0.36,0.36
1980-01-18 00:00:00+00:00,40.43,0.36,0.36,0.36
1980-01-19 00:00:00+00:00,48.33,0.38,0.38,0.38
1980-01-20 00:00:00+00:00,68.31,0.48,0.48,0.48
1980-01-21 00:00:00+00:00,62.56,0.51,0.51,0.51
1980-01-22 00:00:00+00:00,40.46,0.51,0.51,0.51
1980-01-23 00:00:00+00:00,39.01,0.52,0.52,0.52
1980-01-24 00:00:00+00:00,41.38,0.50,0.50,0.50
1980-01-25 00:00:00+00:00,37.98,0.49,0.49,0.49
1980-01-26 00:00:00+00:00,31.78,0.46,0.46,0.46
1980-01-27 00:00:00+00:00,29.60,0.44,0.44,0.44
1980-01-28 00:00:00+00:00,41.12,0.49,0.49,0.49
1980-01-29 00:00:00+00:00,44.16,0.50,0.50,0.50
1980-01-30 00:00:00+00:00,34.07,0.46,0.46,0.46
1980-01-31 00:00:00+00:00,26.34,0.42,0.42,0.42
1980-02-01 00:00:00+00:00,22.08,0.41,0.41,0.41
1980-02-02 00:00:00+00:00,21.37,0.40,0.40,0.40
1980-02-03 00:00:00+00:00,23.05,0.39,0.39,0.39
1980-02-04 00:00:00+00:00,24.36,0.37,0.37,0.37
1980-02-05 00:00:00+00:00,23.17,0.35,0.35,0.35
1980-02-06 00:00:00+00:00,21.16,0.34,0.34,0.34
1980-02-07 00:00:00+00:00,19.84,0.34,0.34,0.34
1980-02-08 00:00:00+00:00,18.37,0.32,0.32,0.32
1980-02-09 00:00:00+00:00,16.93,0.31,0.31,0.31
1980-02-10 00:00:00+00:00,16.73,0.30,0.30,0.30
1980-02-11 00:00:00+00:00,16.60,0.32,0.32,0.32
1980-02-12 00:00:00+00:00,15.73,0.34,0.34,0.34
1980-02-13 00:00:00+00:00,15.00,0.34,0.34,0.34
1980-02-14 00:00:00+00:00,19.28,0.34,0.34,0.34
1980-02-15 00:00:00+00:00,37.89,0.39,0.39,0.39
1980-02-16 00:00:00+00:00,46.39,0.46,0.46,0.46
1980-02-17 00:00:00+00:00,35.19,0.47,0.47,0.47
1980-02-18 00:00:00+00:00,30.13,0.54,0.54,0.54
1980-02-19 00:00:00+00:00,47.59,0.57,0.57,0.57
1980-02-20 00:00:00+00:00,58.20,0.52,0.52,0.52
1980-02-21 00:00:00+00:00,49.31,0.48,0.48,0.48
1980-02-22 00:00:00+00:00,36.74,0.46,0.46,0.46
1980-02-23 00:00:00+00:00,27.01,0.43,0.43,0.43
1980-02-24 00:00:00+00:00,26.56,0.41,0.41,0.41
1980-02-25 00:00:00+00:00,33.72,0.39,0.39,0.39
1980-02-26 00:00:00+00:00,33.90,0.38,0.38,0.38
1980-02-27 00:00:00+00:00,28.37,0.37,0.37,0.37
1980-02-28 00:00:00+00:00,23.18,0.34,0.34,0.34
1980-02-29 00:00:00+00:00,23.18,0.34,0.34,0.34
1980-03-01 00:00:00+00:00,43.29,0.34,0.34,0.34
1980-03-02 00:00:00+00:00,52.54,0.35,0.35,0.35
1980-03-03 00:00:00+00:00,35.32,0.41,0.41,0.41
1980-03-04 00:00:00+00:00,25.19,0.45,0.45,0.45
1980-03-05 00:00:00+00:00,19.86,0.46,0.46,0.46
1980-03-06 00:00:00+00:00,34.34,0.48,0.48,0.48
1980-03-07 00:00:00+00:00,68.98,0.50,0.50,0.50
1980-03-08 00:00:00+00:00,75.77,0.53,0.53,0.53
1980-03-09 00:00:00+00:00,52.91,0.55,0.55,0.55
1980-03-10 00:00:00+00:00,42.71,0.55,0.55,0.55
1980-03-11 00:00:00+00:00,47.25,0.52,0.52,0.52
1980-03-12 00:00:00+00:00,48.74,0.48,0.48,0.48
1980-03-13 00:00:00+00:00,38.53,0.44,0.44,0.44
1980-03-14 00:00:00+00:00,27.87,0.41,0.41,0.41
1980-03-15 00:00:00+00:00,25.63,0.37,0.37,0.37
1980-03-16 00:00:00+00:00,23.93,0.34,0.34,0.34
1980-03-17 00:00:00+00:00,19.70,0.33,0.33,0.33
1980-03-18 00:00:00+00:00,16.21,0.31,0.31,0.31
1980-03-19 00:00:00+00:00,13.91,0.33,0.33,0.33
1980-03-20 00:00:00+00:00,12.55,0.35,0.35,0.35
1980-03-21 00:00:00+00:00,12.97,0.36,0.36,0.36
1980-03-22 00:00:00+00:00,13.00,0.36,0.36,0.36
1980-03-23 00:00:00+00:00,29.08,0.35,0.35,0.35
1980-03-24 00:00:00+00:00,38.61,0.33,0.33,0.33
1980-03-25 00:00:00+00:00,32.74,0.31,0.31,0.31
1980-03-26 00:00:00+00:00,35.03,0.31,0.31,0.31
1980-03-27 00:00:00+00:00,31.14,0.31,0.31,0.31
1980-03-28 00:00:00+00:00,22.41,0.29,0.29,0.29
1980-03-29 00:00:00+00:00,20.83,0.28,0.28,0.28
1980-03-30 00:00:00+00:00,35.87,0.28,0.28,0.28
1980-03-31 00:00:00+00:00,41.73,0.29,0.29,0.29
1980-04-01 00:00:00+00:00,31.85,0.28,0.28,0.28
1980-04-02 00:00:00+00:00,24.16,0.27,0.27,0.27
1980-04-03 00:00:00+00:00,18.52,0.25,0.25,0.25
1980-04-04 00:00:00+00:00,15.83,0.24,0.24,0.24
1980-04-05 00:00:00+00:00,15.06,0.24,0.24,0.24
1980-04-06 00:00:00+00:00,14.54,0.23,0.23,0.23
1980-04-07 00:00:00+00:00,13.94,0.22,0.22,0.22
1980-04-08 00:00:00+00:00,12.51,0.22,0.22,0.22
1980-04-09 00:00:00+00:00,11.03,0.21,0.21,0.21
1980-04-10 00:00:00+00:00,10.68,0.21,0.21,0.21
1980-04-11 00:00:00+00:00,10.34,0.20,0.20,0.20
1980-04-12 00:00:00+00:00,9.57,0.20,0.20,0.20
1980-04-13 00:00:00+00:00,9.05,0.19,0.19,0.19
1980-04-14 00:00:00+00:00,8.67,0.19,0.19,0.19
1980-04-15 00:00:00+00:00,8.39,0.19,0.19,0.19
1980-04-16 00:00:00+00:00,8.17,0.18,0.18,0.18
1980-04-17 00:00:00+00:00,7.98,0.18,0.18,0.18
1980-04-18 00:00:00+00:00,7.81,0.18,0.18,0.18
1980-04-19 00:00:00+00:00,7.64,0.18,0.18,0.18
1980-04-20 00:00:00+00:00,7.50,0.18,0.18,0.18
1980-04-21 00:00:00+00:00,7.38,0.17,0.17,0.17
1980-04-22 00:00:00+00:00,7.27,0.17,0.17,0.17
1980-04-23 00:00:00+00:00,7.17,0.17,0.17,0.17
1980-04-24 00:00:00+00:00,7.09,0.17,0.17,0.17
1980-04-25 00:00:00+00:00,7.00,0.17,0.17,0.17
1980-04-26 00:00:00+00:00,6.92,0.16,0.16,0.16
1980-04-27 00:00:00+00:00,6.83,0.16,0.16,0.16
1980-04-28 00:00:00+00:00,6.76,0.16,0.16,0.16
1980-04-29 00:00:00+00:00,9.86,0.16,0.16,0.16
1980-04-30 00:00:00+00:00,14.18,0.16,0.16,0.16
