TIMESTAMP,CAMBARI,PROYECTO HIDROELECTRICO CARRIZAL,EL CONDOR,INCAHUASI
01/01/1980 00:00,1698.97,1168.37,14.64,315.95
01/02/1980 00:00,1090.85,1022.49,13.16,276.63
01/03/1980 00:00,863.12,884.47,11.8,239.96
01/04/1980 00:00,750.95,763.77,10.59,208.17
01/05/1980 00:00,990.77,669.27,9.49,183.6
01/06/1980 00:00,1375.21,617.51,8.6,170.44
01/07/1980 00:00,1337.96,579.2,7.94,160.62
01/08/1980 00:00,1246.89,547.36,7.42,152.71
01/09/1980 00:00,1318.92,538.59,7.03,151.49
01/10/1980 00:00,1236.37,548.72,6.77,154.5
01/11/1980 00:00,1074.98,582.48,6.47,163.5
01/12/1980 00:00,919.56,600.53,6.46,168.89
01/13/1980 00:00,820.07,614.75,6.62,174.01
01/14/1980 00:00,810.5,633.77,6.46,181.1
01/15/1980 00:00,826.31,600.6,6.15,172.47
01/16/1980 00:00,759.14,558.85,5.93,160.01
01/17/1980 00:00,656.22,555.38,5.93,157.83
01/18/1980 00:00,606,537.76,5.85,152.57
01/19/1980 00:00,648.44,619.11,6.14,173.52
01/20/1980 00:00,984.71,756.93,7.75,209.21
01/21/1980 00:00,1044.46,746.27,8.38,207.45
01/22/1980 00:00,865.36,673.09,8.29,187.92
01/23/1980 00:00,917.43,641.03,8.54,177.99
01/24/1980 00:00,1013.8,601.17,8.19,166.97
01/25/1980 00:00,1092.71,586.94,7.9,163.58
01/26/1980 00:00,954.36,559.44,7.55,156.35
01/27/1980 00:00,784.95,545.23,7.15,151.92
01/28/1980 00:00,888.39,602.16,7.95,167.67
01/29/1980 00:00,995.81,636.66,8.2,177.78
01/30/1980 00:00,912.5,590.53,7.48,165.21
01/31/1980 00:00,745.47,527.54,6.9,147.75
02/01/1980 00:00,622.85,482.32,6.71,135.69
02/02/1980 00:00,567.72,448.88,6.59,126.87
02/03/1980 00:00,535.57,450.15,6.32,126.59
02/04/1980 00:00,524.46,444.59,5.98,124.79
02/05/1980 00:00,523.8,422.45,5.63,118.77
02/06/1980 00:00,492.99,407.61,5.56,114.58
02/07/1980 00:00,464.1,388.82,5.46,109.4
02/08/1980 00:00,438.97,368.08,5.2,103.84
02/09/1980 00:00,403.63,351.64,5.08,99.28
02/10/1980 00:00,378.92,337.26,4.96,95.17
02/11/1980 00:00,376.49,329.26,5.13,92.85
02/12/1980 00:00,371.33,323.07,5.53,90.98
02/13/1980 00:00,362.02,322.47,5.53,90.52
02/14/1980 00:00,381.53,335.39,5.59,93.79
02/15/1980 00:00,545.69,360.02,6.36,101.05
02/16/1980 00:00,935.45,404,7.49,116.24
02/17/1980 00:00,982.61,451.58,7.7,130.05
02/18/1980 00:00,778.39,525.92,8.86,147.61
02/19/1980 00:00,763.08,639.54,9.27,181.14
02/20/1980 00:00,949.17,710.52,8.44,209.85
02/21/1980 00:00,921.42,745.1,7.85,220.5
02/22/1980 00:00,747.24,743.91,7.45,217.25
02/23/1980 00:00,651.36,716.51,7.07,207.81
02/24/1980 00:00,566.89,662.52,6.71,191.29
02/25/1980 00:00,560.84,626.29,6.39,181.36
02/26/1980 00:00,766.06,601.7,6.24,175.76
02/27/1980 00:00,914.32,559.04,5.98,163.41
02/28/1980 00:00,752.27,508.49,5.59,147.84
03/01/1980 00:00,777,490.42,5.56,141.92
03/02/1980 00:00,829.99,567.8,5.76,161.84
03/03/1980 00:00,675.07,631.93,6.7,178.04
03/04/1980 00:00,532.98,641.08,7.39,178.86
03/05/1980 00:00,444.66,612.4,7.56,169.68
03/06/1980 00:00,459.71,583.81,7.76,161.29
03/07/1980 00:00,934.28,705.69,8.22,192.47
03/08/1980 00:00,1361.29,985.45,8.55,264.83
03/09/1980 00:00,1101.92,1059.11,8.98,283.55
03/10/1980 00:00,841.69,1014.22,8.98,271.59
03/11/1980 00:00,1103.7,996.48,8.45,268.24
03/12/1980 00:00,1245.69,940.49,7.83,255.48
03/13/1980 00:00,1045.5,866.78,7.17,236.04
03/14/1980 00:00,876.48,762,6.6,207.75
03/15/1980 00:00,809.68,662.79,6.08,181.66
03/16/1980 00:00,734.73,575.47,5.61,159.26
03/17/1980 00:00,600.67,508.35,5.29,141.81
03/18/1980 00:00,493.26,462.07,5.09,129.29
03/19/1980 00:00,418.82,445.76,5.42,124.29
03/20/1980 00:00,363.94,429.91,5.74,119.53
03/21/1980 00:00,331.19,411.07,5.8,114.12
03/22/1980 00:00,307.15,418.39,5.91,115.77
03/23/1980 00:00,316.07,432.85,5.74,119.87
03/24/1980 00:00,324.59,415.48,5.36,115.55
03/25/1980 00:00,386.13,392.59,5.1,110.27
03/26/1980 00:00,563.27,415.96,5.09,118.51
03/27/1980 00:00,561.32,435.35,5.01,125.44
03/28/1980 00:00,443.67,413.33,4.78,119.03
03/29/1980 00:00,395.78,386.51,4.57,110.64
03/30/1980 00:00,430.63,391.97,4.62,112.45
03/31/1980 00:00,617.95,432.11,4.72,123.44
04/01/1980 00:00,676.98,431.62,4.55,123.2
04/02/1980 00:00,591.59,406.16,4.33,116.07
04/03/1980 00:00,506.62,373.68,4.13,106.88
04/04/1980 00:00,475.66,342.7,3.97,98.06
04/05/1980 00:00,556.07,322.09,3.83,92.27
04/06/1980 00:00,539.25,312.32,3.7,89.41
04/07/1980 00:00,438.58,302.77,3.6,86.69
04/08/1980 00:00,368.21,288.29,3.5,82.61
04/09/1980 00:00,317.25,273.1,3.42,78.16
04/10/1980 00:00,282.28,260.46,3.35,74.48
04/11/1980 00:00,257.74,249.73,3.28,71.36
04/12/1980 00:00,241.39,240.51,3.21,68.68
04/13/1980 00:00,230.19,233.53,3.16,66.65
04/14/1980 00:00,219.26,227.83,3.1,65.03
04/15/1980 00:00,209.86,222.66,3.05,63.55
04/16/1980 00:00,202.6,217.81,3.01,62.14
04/17/1980 00:00,195.52,213.25,2.96,60.81
04/18/1980 00:00,188.48,209.06,2.92,59.59
04/19/1980 00:00,182.19,205.15,2.89,58.46
04/20/1980 00:00,176.85,201.61,2.85,57.43
04/21/1980 00:00,172.16,198.39,2.82,56.49
04/22/1980 00:00,167.9,195.48,2.79,55.64
04/23/1980 00:00,164.08,193.09,2.76,54.94
04/24/1980 00:00,160.67,190.92,2.73,54.3
04/25/1980 00:00,158.33,188.7,2.7,53.65
04/26/1980 00:00,156.91,186.84,2.67,53.09
04/27/1980 00:00,154.71,185.04,2.65,52.55
04/28/1980 00:00,153.35,183.8,2.62,52.15
04/29/1980 00:00,163.4,183,2.6,51.98
04/30/1980 00:00,207.47,182.37,2.58,51.94
05/01/1980 00:00,274.31,181.76,2.55,51.77
05/02/1980 00:00,277.2,180.29,2.53,51.3
05/03/1980 00:00,239.09,178.48,2.51,50.74
05/04/1980 00:00,214.52,176.78,2.49,50.21
05/05/1980 00:00,197.06,175.16,2.47,49.71
05/06/1980 00:00,184.08,173.58,2.45,49.23
05/07/1980 00:00,174.31,172.01,2.43,48.75
05/08/1980 00:00,168.1,170.56,2.41,48.31
05/09/1980 00:00,162.92,169.24,2.4,47.9
05/10/1980 00:00,156.9,167.96,2.38,47.51
05/11/1980 00:00,151.38,166.63,2.36,47.11
05/12/1980 00:00,146.65,165.33,2.34,46.72
05/13/1980 00:00,142.53,164.08,2.32,46.34
05/14/1980 00:00,139.3,162.84,2.3,45.97
05/15/1980 00:00,144.15,162.28,2.29,45.81
05/16/1980 00:00,178.17,162.39,2.28,45.88
05/17/1980 00:00,219.1,163.12,2.28,46.46
05/18/1980 00:00,214.57,163.1,2.26,46.77
05/19/1980 00:00,191.53,161.64,2.24,46.21
05/20/1980 00:00,175.6,160.32,2.23,45.71
05/21/1980 00:00,163.82,158.98,2.21,45.23
05/22/1980 00:00,155.07,157.71,2.19,44.79
05/23/1980 00:00,148.03,156.44,2.18,44.36
05/24/1980 00:00,141.94,155.18,2.16,43.95
05/25/1980 00:00,136.86,154.01,2.14,43.56
05/26/1980 00:00,132.51,152.95,2.13,43.22
05/27/1980 00:00,128.74,151.87,2.11,42.87
05/28/1980 00:00,125.44,150.76,2.09,42.52
05/29/1980 00:00,122.52,149.7,2.08,42.19
05/30/1980 00:00,119.9,148.67,2.06,41.87
05/31/1980 00:00,120.6,147.67,2.05,41.56
06/01/1980 00:00,126.81,146.7,2.03,41.26
06/02/1980 00:00,130.7,145.76,2.02,40.97
06/03/1980 00:00,130.37,144.91,2,40.72
06/04/1980 00:00,127.81,144.1,1.99,40.47
06/05/1980 00:00,123.44,143.23,1.98,40.21
06/06/1980 00:00,119.73,142.35,1.96,39.94
06/07/1980 00:00,116.55,141.48,1.95,39.68
06/08/1980 00:00,113.71,140.63,1.93,39.42
06/09/1980 00:00,111.17,139.8,1.92,39.17
06/10/1980 00:00,112.07,138.98,1.91,38.92
06/11/1980 00:00,132.84,138.27,1.89,38.71
06/12/1980 00:00,159.11,137.63,1.88,38.53
06/13/1980 00:00,160.47,136.99,1.87,38.35
06/14/1980 00:00,149.98,136.32,1.86,38.15
06/15/1980 00:00,138.95,135.58,1.84,37.92
06/16/1980 00:00,130.59,134.81,1.83,37.69
06/17/1980 00:00,123.98,134.05,1.82,37.46
06/18/1980 00:00,118.6,133.29,1.81,37.23
06/19/1980 00:00,115.13,132.57,1.8,37.02
06/20/1980 00:00,113.76,131.87,1.78,36.82
06/21/1980 00:00,114.13,131.15,1.77,36.61
06/22/1980 00:00,112.68,130.44,1.76,36.4
06/23/1980 00:00,108.94,129.73,1.75,36.19
06/24/1980 00:00,105.78,129.03,1.74,35.98
06/25/1980 00:00,103.4,128.34,1.73,35.78
06/26/1980 00:00,102.8,127.7,1.72,35.59
06/27/1980 00:00,101.81,127.1,1.71,35.41
06/28/1980 00:00,99.68,126.45,1.7,35.22
06/29/1980 00:00,97.8,125.79,1.68,35.02
06/30/1980 00:00,96.51,125.13,1.67,34.82
07/01/1980 00:00,95.43,124.48,1.66,34.64
07/02/1980 00:00,94.12,123.87,1.65,34.47
07/03/1980 00:00,93.02,123.3,1.64,34.31
07/04/1980 00:00,91.59,122.75,1.63,34.15
07/05/1980 00:00,89.91,122.18,1.63,33.98
07/06/1980 00:00,88.35,121.59,1.62,33.81
07/07/1980 00:00,86.9,120.97,1.61,33.62
07/08/1980 00:00,86.07,120.35,1.6,33.44
07/09/1980 00:00,85.57,119.77,1.59,33.27
07/10/1980 00:00,84.72,119.22,1.58,33.11
07/11/1980 00:00,83.64,118.65,1.57,32.93
07/12/1980 00:00,82.46,118.64,1.57,32.9
07/13/1980 00:00,81.34,118.97,1.57,32.96
07/14/1980 00:00,80.51,118.48,1.56,32.81
07/15/1980 00:00,80.08,117.82,1.55,32.62
07/16/1980 00:00,79.42,117.15,1.54,32.42
07/17/1980 00:00,78.41,116.45,1.53,32.22
07/18/1980 00:00,77.44,115.76,1.52,32.03
07/19/1980 00:00,76.51,115.11,1.51,31.84
07/20/1980 00:00,75.64,114.61,1.5,31.69
07/21/1980 00:00,74.82,114.86,1.49,31.81
07/22/1980 00:00,74.04,115.03,1.48,31.93
07/23/1980 00:00,73.3,114.17,1.47,31.67
07/24/1980 00:00,72.58,113.35,1.46,31.42
07/25/1980 00:00,71.87,112.59,1.45,31.19
07/26/1980 00:00,71.18,111.86,1.44,30.97
07/27/1980 00:00,70.53,111.17,1.43,30.77
07/28/1980 00:00,69.91,110.52,1.43,30.57
07/29/1980 00:00,69.3,109.88,1.42,30.39
07/30/1980 00:00,68.71,109.28,1.41,30.21
07/31/1980 00:00,68.15,108.7,1.4,30.04
08/01/1980 00:00,67.6,108.13,1.39,29.87
08/02/1980 00:00,67.05,107.57,1.38,29.7
08/03/1980 00:00,66.56,107.02,1.38,29.54
08/04/1980 00:00,67.46,106.51,1.37,29.41
08/05/1980 00:00,70.19,106.08,1.36,29.33
08/06/1980 00:00,70.84,105.65,1.35,29.22
08/07/1980 00:00,69.6,105.14,1.35,29.06
08/08/1980 00:00,68.52,104.63,1.34,28.9
08/09/1980 00:00,67.54,104.18,1.33,28.76
08/10/1980 00:00,66.62,103.83,1.32,28.66
08/11/1980 00:00,67.29,103.54,1.31,28.57
08/12/1980 00:00,68.87,103.95,1.31,28.71
08/13/1980 00:00,68.53,105.22,1.35,29.05
08/14/1980 00:00,67.27,106.9,1.46,29.44
08/15/1980 00:00,66.1,107.74,1.56,29.6
08/16/1980 00:00,65.04,106.76,1.57,29.33
08/17/1980 00:00,64.07,105.56,1.54,28.99
08/18/1980 00:00,63.66,104.43,1.5,28.68
08/19/1980 00:00,64.34,103.4,1.47,28.39
08/20/1980 00:00,65.33,102.5,1.44,28.18
08/21/1980 00:00,67.51,101.68,1.41,27.99
08/22/1980 00:00,72.09,100.93,1.39,27.78
08/23/1980 00:00,81.62,100.35,1.37,27.6
08/24/1980 00:00,84.99,100.94,1.41,27.83
08/25/1980 00:00,79.73,102,1.47,28.18
08/26/1980 00:00,76,102.77,1.51,28.34
08/27/1980 00:00,73.09,102.94,1.52,28.36
08/28/1980 00:00,70.47,101.98,1.48,28.07
08/29/1980 00:00,68.11,100.87,1.45,27.75
08/30/1980 00:00,66.06,100.59,1.45,27.66
08/31/1980 00:00,64.3,102.34,1.56,28.13
09/01/1980 00:00,63.07,103.68,1.63,28.47
09/02/1980 00:00,61.99,103.37,1.6,28.36
09/03/1980 00:00,60.79,102.81,1.6,28.19
09/04/1980 00:00,59.72,102.88,1.63,28.16
09/05/1980 00:00,58.75,102.58,1.65,28.04
09/06/1980 00:00,57.86,101.72,1.62,27.79
09/07/1980 00:00,57.01,101.63,1.63,27.75
09/08/1980 00:00,56.23,100.79,1.61,27.51
09/09/1980 00:00,55.53,99.22,1.55,27.09
09/10/1980 00:00,55.03,98.05,1.52,26.78
09/11/1980 00:00,54.54,97.17,1.49,26.54
09/12/1980 00:00,53.93,96.8,1.5,26.42
09/13/1980 00:00,53.34,96.26,1.5,26.26
09/14/1980 00:00,52.78,95.17,1.45,25.97
09/15/1980 00:00,52.32,94.15,1.41,25.69
09/16/1980 00:00,51.9,93.24,1.37,25.45
09/17/1980 00:00,51.43,92.42,1.34,25.23
09/18/1980 00:00,50.98,91.65,1.31,25.02
09/19/1980 00:00,50.54,90.94,1.28,24.82
09/20/1980 00:00,50.12,90.28,1.26,24.64
09/21/1980 00:00,49.71,89.66,1.24,24.47
09/22/1980 00:00,49.31,89.12,1.22,24.32
09/23/1980 00:00,48.93,88.59,1.2,24.18
09/24/1980 00:00,48.56,88.03,1.18,24.03
09/25/1980 00:00,48.2,87.55,1.17,23.9
09/26/1980 00:00,47.95,87.11,1.15,23.78
09/27/1980 00:00,47.69,86.63,1.14,23.64
09/28/1980 00:00,47.41,86.15,1.12,23.51
09/29/1980 00:00,47.13,85.69,1.11,23.38
09/30/1980 00:00,46.86,85.28,1.1,23.26
10/01/1980 00:00,52.13,86.54,1.1,23.61
10/02/1980 00:00,63.45,89.8,1.12,24.54
10/03/1980 00:00,66.98,90.25,1.13,24.71
10/04/1980 00:00,64.49,89.05,1.12,24.36
10/05/1980 00:00,61.06,88.32,1.12,24.13
10/06/1980 00:00,58.34,87.92,1.14,24
10/07/1980 00:00,56.08,87.3,1.14,23.81
10/08/1980 00:00,54.18,86.44,1.14,23.57
10/09/1980 00:00,53.44,85.69,1.12,23.36
10/10/1980 00:00,52.91,85.06,1.1,23.18
10/11/1980 00:00,51.62,84.34,1.09,22.99
10/12/1980 00:00,50.36,83.58,1.07,22.78
10/13/1980 00:00,49.25,82.94,1.06,22.6
10/14/1980 00:00,48.25,82.34,1.05,22.43
10/15/1980 00:00,47.36,81.79,1.04,22.27
10/16/1980 00:00,46.61,81.89,1.05,22.28
10/17/1980 00:00,50.1,83.69,1.06,22.74
10/18/1980 00:00,61.02,85.12,1.06,23.17
