,AGUAS CALIENTES II ARENALES,MOLINEROS,CACHUELA ESPERANZA,CHEPETE,EL BALA,MIGUILLAS - PALILLADA,MUNECAS,PH_MADERA,OQUITAS
1980-01-01 00:00:00,28.60863834,14.51419753,2.583415901,6.661632281,5.945147144,174.7589937,4.364093153,1.348030535,10.39557844
1980-01-02 00:00:00,16.84775491,7.369741512,2.527112004,4.791079006,5.486018832,127.5624832,3.093391315,1.2928961,5.838203417
1980-01-03 00:00:00,11.32485129,4.877026749,2.50765388,4.035077841,3.655150602,109.3072362,2.555969234,1.405051929,4.10247822
1980-01-04 00:00:00,8.188273758,3.735934928,2.483484199,3.599373753,2.88742785,97.24478996,2.288388456,1.382388699,3.201890778
1980-01-05 00:00:00,8.065610091,3.127242798,2.455863605,3.29180582,2.496980617,88.83369512,2.101941115,1.364091818,2.780046978
1980-01-06 00:00:00,9.934274122,2.72811857,2.425211947,3.087218594,2.24201387,82.33208491,1.954383,1.350111638,2.988285888
1980-01-07 00:00:00,10.07689555,2.446462191,2.417219594,3.031174535,2.33045252,78.48517933,1.869638858,1.375982378,2.830535723
1980-01-08 00:00:00,8.502031178,2.273235597,2.451225142,2.97815955,3.51872928,76.14683456,1.809944614,1.386074615,2.464897337
1980-01-09 00:00:00,10.84720198,2.176751543,2.468086603,2.836809702,3.140512924,72.89346234,1.739939918,1.390936016,2.794173556
1980-01-10 00:00:00,11.99869925,2.121019805,2.449255903,2.807971952,3.35878704,71.67770426,1.68362112,1.38265952,2.937843743
1980-01-11 00:00:00,9.50599658,2.077431842,2.448144562,2.793007635,3.309863531,71.02958184,1.670364824,1.406942211,2.655309394
1980-01-12 00:00:00,7.751925598,2.049489455,2.588179093,2.692157245,3.742648416,68.94659006,1.640302901,1.463801567,2.47095854
1980-01-13 00:00:00,9.329439662,2.361158693,2.611720212,2.654127417,3.136749577,68.97014716,1.607438336,1.419117276,2.506278729
1980-01-14 00:00:00,10.03211821,2.610065586,2.587092742,2.563488999,3.115110333,66.19463687,1.576343322,1.385615738,2.548231558
1980-01-15 00:00:00,10.16781155,2.542217078,2.559032081,2.468133405,2.584478431,63.06644953,1.501101571,1.363758688,2.558888836
1980-01-16 00:00:00,10.05049588,2.65435571,2.529915638,2.434278894,2.251422237,62.43856205,1.47971352,1.350594806,2.476801955
1980-01-17 00:00:00,7.860441375,2.590027006,2.501607326,2.40105221,2.415127824,61.25693158,1.47770871,1.340926213,2.277698266
1980-01-18 00:00:00,6.122414392,2.3135018,2.468923637,2.303643801,2.202498728,58.61166491,1.414168504,1.334321264,2.085128367
1980-01-19 00:00:00,5.144775733,2.21878215,2.438006822,2.224340151,2.121586772,58.75195049,1.353308197,1.329457607,1.927445073
1980-01-20 00:00:00,4.819787514,2.428845165,2.41426609,2.23301642,2.006804694,60.07228097,1.328258299,1.326984108,2.136957229
1980-01-21 00:00:00,4.290238305,2.532971965,2.383912443,2.195961549,2.152634383,58.00801407,1.307995397,1.320886561,2.177654618
1980-01-22 00:00:00,3.415475714,2.261343879,2.344870772,2.131722512,2.535554922,54.8304474,1.280050799,1.312610611,1.916960215
1980-01-23 00:00:00,3.03158657,2.109038066,2.31134789,2.218653229,2.08207163,55.32205098,1.305796243,1.306649718,1.757879771
1980-01-24 00:00:00,3.710223426,2.262415123,2.282148069,2.355786731,2.272120645,57.34969867,1.366124661,1.301008258,1.940977362
1980-01-25 00:00:00,3.986326066,2.867254372,2.266339283,2.512597817,2.639987797,61.27769506,1.404400169,1.309208057,2.138689841
1980-01-26 00:00:00,3.257126304,3.897197788,2.2501445,2.45304209,3.43593565,60.26156836,1.395306923,1.318697572,2.125338708
1980-01-27 00:00:00,3.416253605,5.905790895,2.21790921,2.739775776,3.300455164,63.79385067,1.518326572,1.314593101,3.101395984
1980-01-28 00:00:00,5.141834334,5.82032536,2.179440413,2.971741898,3.28163843,68.57571665,1.610731952,1.304948073,3.943716197
1980-01-29 00:00:00,5.566076566,4.562044753,2.142027737,2.75906455,6.028881611,63.89570495,1.526652671,1.293356607,3.406546246
1980-01-30 00:00:00,4.509773694,3.582521862,2.11259945,2.537215314,6.341239398,58.62140486,1.44992777,1.282613173,2.787068404
1980-01-31 00:00:00,3.824354602,2.996406893,2.118128438,2.409761042,3.726654192,54.3957735,1.429838754,1.292565379,2.415549916
1980-02-01 00:00:00,3.226448233,2.840563272,2.176074305,2.364574367,3.301396001,52.01967696,1.418628183,1.320818812,2.10459783
1980-02-02 00:00:00,2.67217668,2.597327675,2.190736674,2.242827859,2.855439402,49.84849704,1.347314224,1.314104661,1.841270399
1980-02-03 00:00:00,2.24561536,2.26817644,2.160125809,2.093968825,2.507329821,47.2402271,1.271325783,1.298805483,1.608392738
1980-02-04 00:00:00,2.345204839,2.038452932,2.126836796,1.996315537,2.155456893,45.27902253,1.205586423,1.278779758,1.565299557
1980-02-05 00:00:00,3.062337569,1.847852366,2.102413659,2.033754008,1.99645549,44.37056389,1.216868594,1.262410762,1.93288724
1980-02-06 00:00:00,3.13251791,1.704206533,2.085228501,2.001428687,2.176155301,43.14264974,1.211498567,1.250947916,1.969481412
1980-02-07 00:00:00,2.612400628,1.563909465,2.108139558,1.911216854,4.207421749,41.37050605,1.164569645,1.273753563,1.643085222
1980-02-08 00:00:00,2.236095921,1.431246142,2.135050635,1.832415336,2.634342776,39.63188594,1.116433745,1.29201035,1.436893833
