Fecha,Chapete,Bala,Cachuela Esperanza
01/01/1980,3346.3,6319,7092.4
02/01/1980,2318.2,5831,9307.9
03/01/1980,2066.7,3885,9747.4
04/01/1980,1739.2,3069,7819
05/01/1980,1459.3,2654,6851.1
06/01/1980,1357.5,2383,6087.6
07/01/1980,1571.1,2477,7825.6
08/01/1980,1456.6,3740,22414.2
09/01/1980,1195.1,3338,13473.3
10/01/1980,1344.6,3570,8991.3
11/01/1980,1364.8,3518,10047.2
12/01/1980,1156.4,3978,31645.7
13/01/1980,1205.3,3334,23891.3
14/01/1980,1077.5,3311,21731.9
15/01/1980,1033.3,2747,19995.1
16/01/1980,1039.8,2393,18396.6
17/01/1980,1032.4,2567,17723.7
18/01/1980,928.6,2341,7376.2
19/01/1980,899.9,2255,7496.9
20/01/1980,963,2133,9187.8
21/01/1980,921.5,2288,5264.1
22/01/1980,897.1,2695,4809.9
23/01/1980,1090.1,2213,10510.8
24/01/1980,1293.4,2415,6419
25/01/1980,1619.1,2806,9684.2
26/01/1980,1372,3652,7234.9
27/01/1980,2334.3,3508,5241.5
28/01/1980,2527.8,3488,6399.3
29/01/1980,1853.3,6408,7332.4
30/01/1980,1537.8,6740,5164.8
31/01/1980,1450.1,3961,16302
01/02/1980,1435.1,3509,24787.2
02/02/1980,1151.9,3035,19455.2
03/02/1980,1032.5,2665,16622.1
04/02/1980,956.6,2291,15704.7
05/02/1980,1113.8,2122,9247.5
06/02/1980,966.3,2313,5865.2
07/02/1980,924.2,4472,20085.9
08/02/1980,837.7,2800,17930.9
09/02/1980,806.3,2570,14982.1
10/02/1980,804.2,2159,6449.5
11/02/1980,763.1,2831,7665.1
12/02/1980,766.7,2706,5239.8
13/02/1980,788.6,2137,6370.6
14/02/1980,886.8,2963,5452.6
15/02/1980,964.1,2248,4326.7
16/02/1980,1014.8,2403,4505.3
17/02/1980,1003.6,2450,22242.1
18/02/1980,1004.1,2877,18613.9
19/02/1980,978.6,2798,15755.1
20/02/1980,917,2585,15346
21/02/1980,871.1,3464,15958.2
22/02/1980,851.1,4010,22874.7
23/02/1980,859.7,2737,17901.5
24/02/1980,924.3,2468,16541.7
25/02/1980,1095.9,2413,20995.8
26/02/1980,1295.4,2984,22335.4
27/02/1980,1292.5,2904,19570.1
28/02/1980,1082.4,2694,17648.8
29/02/1980,986.3,2591,17927.4
01/03/1980,1029.1,2238,15812.8
02/03/1980,1057.4,2203,5831.8
03/03/1980,1297,3268,18571.4
04/03/1980,1738.2,2883,17365.5
05/03/1980,1552.8,2971,9624.1
06/03/1980,1865.1,2915,15970.1
07/03/1980,1997.3,3794,11511.1
08/03/1980,1847.8,4464,15903.8
09/03/1980,2112.7,4365,6435
10/03/1980,1754.8,4717,12978.1
11/03/1980,1680.3,5431,10357.5
12/03/1980,1601.3,4390,5815.4
13/03/1980,1375,4259,6638.9
14/03/1980,1193.1,4601,6415.6
15/03/1980,1155.2,3644,4613.1
16/03/1980,1151.7,3162,4329.5
17/03/1980,1277.2,3006,4243.7
18/03/1980,1365.7,2998,19257.7
19/03/1980,1357.7,3043,19459.8
20/03/1980,1380.7,2914,18171.3
21/03/1980,1274,3286,16574.4
22/03/1980,1329.2,2995,16824
23/03/1980,1461.3,2829,17369.6
24/03/1980,1488.9,4091,14070.2
25/03/1980,1691.1,4233,5375.6
26/03/1980,2180.1,3792,5712.7
27/03/1980,2148.2,4448,8024.7
28/03/1980,2006.8,7538,5954.5
29/03/1980,1823.1,9620,5260.2
30/03/1980,1554.5,5425,6599.8
31/03/1980,1411,4447,6150
01/04/1980,1393.1,3902,4370.8
02/04/1980,1313.8,3392,5748.1
03/04/1980,1228,3074,4112.6
04/04/1980,1174.1,2831,4022
05/04/1980,1182.5,2716,7643.2
06/04/1980,1102.7,3069,5031.6
07/04/1980,996.2,3919,6998.8
08/04/1980,909.8,2911,5096.2
09/04/1980,840.4,2463,12331.8
10/04/1980,787.2,2205,3908.8
11/04/1980,748.8,2047,3661.9
12/04/1980,712.9,1941,3477.6
13/04/1980,684.7,1843,3324.1
14/04/1980,672.8,1878,8629.2
15/04/1980,653.3,1999,3850.4
16/04/1980,627.4,1797,4456.4
17/04/1980,604.7,1696,3232.1
18/04/1980,589.3,1606,3110.1
19/04/1980,575.4,1517,3268.7
20/04/1980,559.2,1462,2878.8
21/04/1980,545,1407,2775.8
22/04/1980,536.6,1338,2684.6
23/04/1980,529.3,1287,2601.4
24/04/1980,518.9,1251,2529.2
25/04/1980,511.4,1218,2462.3
26/04/1980,507.8,1329,15084.9
27/04/1980,503,1473,8279.2
28/04/1980,514.4,1467,6976.1
29/04/1980,576.7,1639,3545.5
30/04/1980,642.8,1779,15634.4
01/05/1980,649.2,2013,19382.9
02/05/1980,632.2,1929,15452
03/05/1980,608.2,1718,14397.6
04/05/1980,583.6,1494,14095.8
05/05/1980,562.9,1302,13846.8
06/05/1980,545.3,1189,13232.5
07/05/1980,534,1116,3783.3
08/05/1980,525.6,1049,3586.3
09/05/1980,515.4,1064,3407.7
10/05/1980,504.8,1153,3252.9
11/05/1980,495.2,1047,3499.5
12/05/1980,489.8,1028,3025.1
13/05/1980,484.7,1128,2910.4
14/05/1980,480.5,1112,2824
15/05/1980,487.1,1014,2779.6
16/05/1980,519.5,1144,2964.7
17/05/1980,543.3,1399,3785.4
18/05/1980,533.2,1645,2842.4
19/05/1980,517.6,1347,3051.6
20/05/1980,508.6,1226,2684.5
21/05/1980,502.3,1196,2597
22/05/1980,492.8,1025,2517.9
23/05/1980,482.5,975.8,2444.5
24/05/1980,473.5,919.1,2370.6
25/05/1980,465.8,851.9,2305.8
26/05/1980,459.4,810.6,2246.7
27/05/1980,453.8,783.2,2194.5
28/05/1980,448.7,748.1,2144.4
29/05/1980,444.8,724,2097.2
30/05/1980,442.7,712.9,2053.2
31/05/1980,440.3,751.7,2012.4
01/06/1980,436.8,786.4,1972.8
02/06/1980,483.7,820.4,1942.3
03/06/1980,559.6,850.3,1987.8
04/06/1980,537.5,824.5,2062.2
05/06/1980,517.9,783,2011.4
06/06/1980,502.4,759.8,1957.4
07/06/1980,489.8,739,1910.3
08/06/1980,479.9,717.4,1868.1
09/06/1980,471.3,716.6,1830.5
10/06/1980,462.8,702.5,1795.7
11/06/1980,455.2,711.6,1762.5
12/06/1980,452.2,783,1731.7
13/06/1980,468.8,836.5,1709.8
14/06/1980,488.2,1024,1723.3
15/06/1980,483.3,997.5,1733
16/06/1980,472.7,856,1710.3
17/06/1980,463.7,766.4,1679.7
18/06/1980,463.5,734.1,1651.3
19/06/1980,472.1,793,1633.1
20/06/1980,471.4,1035,1624.7
21/06/1980,462.7,945.8,1607.9
22/06/1980,454.9,872.6,1584.2
23/06/1980,447.1,816.2,1562.1
24/06/1980,445.6,780.5,1540.6
25/06/1980,444.1,753.1,1525.7
26/06/1980,438.2,731.6,1523.2
27/06/1980,432.8,733.2,1514.7
28/06/1980,427.2,703.1,1497.7
29/06/1980,422.1,686.4,1479.3
30/06/1980,427,679.1,1461.7
01/07/1980,444.2,668,1454.7
02/07/1980,458.3,668.6,1461.1
03/07/1980,468.9,662.5,1465.4
04/07/1980,474.1,670.1,1466.4
05/07/1980,467.6,699.4,1461.7
06/07/1980,457,687.3,1445.4
07/07/1980,447.3,653.3,1425.1
08/07/1980,439.1,647.1,1406.1
09/07/1980,449.9,742.8,1389.3
10/07/1980,468.4,861,1392.2
11/07/1980,475.2,898.4,1403.1
12/07/1980,472.4,839.4,1402.3
13/07/1980,461.4,768.9,1391.9
14/07/1980,456.6,715.2,1373.4
